   1     1  1234567890ET                                                                                                                                                  
   2    13  1234567890ET                                                                                                                                                  =
   3    25  1234567890ET                                                                                                                                                  =
   4    37  1234567890ET                                                                                                                                                  =
   5    49  1234567890ET                                                                                                                                                  =
   6    61  1234567890ET                                                                                                                                                  =
   7    73  1234567890ET                                                                                                                                                  =
   8    85  1234567890ET                                                                                                                                                  =
   9    97  1234567890ET                                                                                                                                                  =
  10   109  1234567890ET                                                                                                                                                  =
  11   121  1234567890ET                                                                                                                                                  =
  12   133  213547698E0T                                                                                                                                                  3
  13   145  2314567890ET                                                                                                                                                  1
  14   157  324165879E0T                                                                                                                                                  9
  15   169  3246185970ET                                                                                                                                                  23
  16   181  243165879E0T                                                                                                                                                  ?
  17   193  4236185970ET                                                                                                                                                  3
  18   205  432165879E0T                                                                                                                                                  1
  19   217  3426185970ET                                                                                                                                                  3
  20   229  4362819507ET                                                                                                                                                  E
  21   241  463829105E7T                                                                                                                                                  1
  22   253  6432819507ET                                                                                                                                                  3
  23   265  634829105E7T                                                                                                                                                  1
  24   277  3642819507ET                                                                                                                                                  3
  25   289  346829105E7T                                                                                                                                                  1
  26   301  43869201E57T                                                                                                                                                  E
  27   313  3489602E175T                                                                                                                                                  3
  28   325  38469201E57T                                                                                                                                                  1
  29   337  8349602E175T                                                                                                                                                  3
  30   349  84369201E57T                                                                                                                                                  1
  31   361  4839602E175T                                                                                                                                                  3
  32   373  849306E2715T                                                                                                                                                  E
  33   385  89403E67251T                                                                                                                                                  1
  34   397  984306E2715T                                                                                                                                                  3
  35   409  94803E67251T                                                                                                                                                  1
  36   421  498306E2715T                                                                                                                                                  3
  37   433  48903E67251T                                                                                                                                                  1
  38   445  8409E376521T                                                                                                                                                  E
  39   457  408E9735612T                                                                                                                                                  ?
  40   469  4089E376521T                                                                                                                                                  23
  41   481  048E9735612T                                                                                                                                                  3
  42   493  0849E376521T                                                                                                                                                  1
  43   505  804E9735612T                                                                                                                                                  3
  44   517  08E47953162T                                                                                                                                                  E
  45   529  0E874591326T                                                                                                                                                  1
  46   541  E0847953162T                                                                                                                                                  3
  47   553  E8074591326T                                                                                                                                                  1
  48   565  8E047953162T                                                                                                                                                  3
  49   577  80E74591326T                                                                                                                                                  1
  50   589  087E5419236T                                                                                                                                                  E
  51   601  8075E142963T                                                                                                                                                  3
  52   613  870E5419236T                                                                                                                                                  1
  53   625  7805E142963T                                                                                                                                                  3
  54   637  708E5419236T                                                                                                                                                  1
  55   649  0785E142963T                                                                                                                                                  3
  56   661  70581E24693T                                                                                                                                                  E
  57   673  750182E6493T                                                                                                                                                  0E
  58   685  57018E24693T                                                                                                                                                  3450E
  59   697  507182E6439T                                                                                                                                                  45
  60   709  05178E24693T                                                                                                                                                  5
  61   721  071582E6439T                                                                                                                                                  ?
  62   733  7015286E349T                                                                                                                                                  34E
  63   745  10725683E94T                                                                                                                                                  ?
  64   757  1075286E349T                                                                                                                                                  23
  65   769  10725683E94T                                                                                                                                                  23
  66   781  7105286E349T                                                                                                                                                  ?
  67   793  71205683E94T                                                                                                                                                  ?
  68   805  172065389E4T                                                                                                                                                  34E
  69   817  1276035984ET                                                                                                                                                  1
  70   829  217065398E4T                                                                                                                                                  389
  71   841  2716035984ET                                                                                                                                                  89
  72   853  721065389E4T                                                                                                                                                  3
  73   865  7126035984ET                                                                                                                                                  1
  74   877  1762309548ET                                                                                                                                                  E
  75   889  716392045E8T                                                                                                                                                  ?
  76   901  7612039548ET                                                                                                                                                  ?
  77   913  671329045E8T                                                                                                                                                  ?
  78   925  6172309548ET                                                                                                                                                  1
  79   937  167329045E8T                                                                                                                                                  3
  80   949  6179324058ET                                                                                                                                                  ?
  81   961  631974250E8T                                                                                                                                                  ?
  82   973  3617924058ET                                                                                                                                                  3
  83   985  316974250E8T                                                                                                                                                  1
  84   997  1367924058ET                                                                                                                                                  3
  85  1009  163974250E8T                                                                                                                                                  1
  86  1021  61934752E08T                                                                                                                                                  E
  87  1033  1694357E280T                                                                                                                                                  3
  88  1045  19634752E08T                                                                                                                                                  1
  89  1057  9164357E280T                                                                                                                                                  3
  90  1069  96134752E08T                                                                                                                                                  1
  91  1081  6914357E280T                                                                                                                                                  3
  92  1093  964153E7208T                                                                                                                                                  9
  93  1105  94651E32780T                                                                                                                                                  1
  94  1117  496513E7208T                                                                                                                                                  345
  95  1129  46951E32780T                                                                                                                                                  45
  96  1141  649513E7208T                                                                                                                                                  345
  97  1153  695431E2780T                                                                                                                                                  ?
  98  1165  9654E132708T                                                                                                                                                  ?
  99  1177  695E4127380T                                                                                                                                                  ?
 100  1189  6594E123708T                                                                                                                                                  67
 101  1201  569E1423780T                                                                                                                                                  ?
 102  1213  5964E123708T                                                                                                                                                  ?
 103  1225  956E4127380T                                                                                                                                                  367
 104  1237  59E62417308T                                                                                                                                                  ?
 105  1249  5E926741380T                                                                                                                                                  ?
 106  1261  E5962471038T                                                                                                                                                  ?
 107  1273  E9526714380T                                                                                                                                                  ?
 108  1285  9E562471038T                                                                                                                                                  ?
 109  1297  95E26741380T                                                                                                                                                  ?
 110  1309  592E7613408T                                                                                                                                                  ?
 111  1321  952E7613480T                                                                                                                                                  3456789
 112  1333  925E7613408T                                                                                                                                                  456789
 113  1345  2957E163480T                                                                                                                                                  389
 114  1357  259E7163408T                                                                                                                                                  6789
 115  1369  52971E63480T                                                                                                                                                  ?
 116  1381  25719E36408T                                                                                                                                                  ?
 117  1393  275193E4680T                                                                                                                                                  45
 118  1405  7251E936408T                                                                                                                                                  ?
 119  1417  7521E934680T                                                                                                                                                  4567
 120  1429  57219E36408T                                                                                                                                                  347
 121  1441  52719E34680T                                                                                                                                                  4567
 122  1453  251739E4608T                                                                                                                                                  ?
 123  1465  5213749E680T                                                                                                                                                  ?
 124  1477  5127394E608T                                                                                                                                                  89
 125  1489  1523749E680T                                                                                                                                                  389
 126  1501  2517394E608T                                                                                                                                                  ?
 127  1513  21537469E80T                                                                                                                                                  ?
 128  1525  123547698E0T                                                                                                                                                  78E
 129  1537  1324567890ET                                                                                                                                                  1
 130  1549  132547698E0T                                                                                                                                                  23
 131  1561  1234567890ET                                                                                                                                                  1
 132  1573  1234567890ET                                                                                                                                                  =
 133  1585  1234567890ET                                                                                                                                                  =
 134  1597  1234567890ET                                                                                                                                                  =
