Bell No,Actual Time,Contest Model,HawkEar Model,RWP Model,Metronomic Model
1,1980,1980,1980,2348.74,1980
2,2250,2214.78,2214.78,2564.94,2189.01
3,2490,2449.57,2449.57,2781.13,2398.02
4,2790,2684.35,2684.35,2997.33,2607.02
5,2990,2919.13,2919.13,3213.53,2816.03
6,3260,3153.91,3153.91,3429.72,3025.04
7,3500,3388.7,3388.7,3645.92,3234.05
8,3800,3623.48,3623.48,3862.12,3443.06
9,4070,3858.26,3858.26,4078.31,3652.06
10,4220,4093.04,4093.04,4294.51,3861.07
11,4450,4327.83,4327.83,4510.71,4070.08
12,4720,4562.61,4562.61,4726.9,4279.09
1,5180,4797.39,4797.39,4943.1,4488.09
2,5430,5032.17,5032.17,5159.29,4697.1
3,5550,5266.96,5266.96,5375.49,4906.11
4,5890,5501.74,5501.74,5591.69,5115.12
5,6020,5736.52,5736.52,5807.88,5324.13
6,6190,5971.3,5971.3,6024.08,5533.13
7,6410,6206.09,6206.09,6240.28,5742.14
8,6630,6440.87,6440.87,6456.47,5951.15
9,6770,6675.65,6675.65,6672.67,6160.16
10,6950,6910.43,6910.43,6888.87,6369.17
11,7120,7145.22,7145.22,7105.06,6578.17
12,7380,7380,7380,7321.26,6787.18
1,7880,7900.12,7882.75,7885.41,7205.2
2,8130,8114.73,8098.47,8101.6,7414.21
3,8340,8329.34,8314.2,8317.8,7623.21
4,8600,8543.96,8529.92,8534,7832.22
5,8780,8758.57,8745.64,8750.19,8041.23
6,8970,8973.18,8961.36,8966.39,8250.24
7,9230,9187.8,9177.09,9182.59,8459.24
8,9490,9402.41,9392.81,9398.78,8668.25
9,9670,9617.02,9608.53,9614.98,8877.26
10,9710,9831.64,9824.25,9831.18,9086.27
11,10000,10046.3,10040,10047.4,9295.28
12,10200,10260.9,10255.7,10263.6,9504.28
1,10480,10475.5,10471.4,10479.8,9713.29
2,10700,10690.1,10687.1,10696,9922.3
3,10940,10904.7,10902.9,10912.2,10131.3
4,11090,11119.3,11118.6,11128.4,10340.3
5,11310,11333.9,11334.3,11344.6,10549.3
6,11560,11548.5,11550,11560.7,10758.3
7,11790,11763.2,11765.8,11776.9,10967.3
8,12040,11977.8,11981.5,11993.1,11176.3
9,12240,12192.4,12197.2,12209.3,11385.4
10,12360,12407,12412.9,12425.5,11594.4
11,12600,12621.6,12628.6,12641.7,11803.4
12,12810,12836.2,12844.4,12857.9,12012.4
1,13250,13263.1,13257.5,13237.7,12430.4
2,13470,13471.6,13466.3,13447.9,12639.4
3,13680,13680.1,13675.2,13658.1,12848.4
4,13910,13888.6,13884,13868.3,13057.4
5,14110,14097.1,14092.9,14078.5,13266.4
6,14210,14305.6,14301.8,14288.7,13475.4
7,14460,14514.1,14510.6,14498.9,13684.4
8,14670,14722.6,14719.5,14709.1,13893.4
9,14940,14931.1,14928.4,14919.3,14102.5
10,15050,15139.6,15137.2,15129.5,14311.5
11,15310,15348.1,15346.1,15339.7,14520.5
12,15570,15556.6,15554.9,15549.9,14729.5
1,15750,15765.1,15763.8,15760.1,14938.5
2,15980,15973.6,15972.7,15970.3,15147.5
3,16240,16182.1,16181.5,16180.5,15356.5
4,16460,16390.6,16390.4,16390.7,15565.5
5,16650,16599.1,16599.3,16600.9,15774.5
6,16820,16807.6,16808.1,16811.1,15983.5
7,17060,17016.1,17017,17021.3,16192.5
8,17190,17224.6,17225.8,17231.5,16401.5
9,17420,17433.1,17434.7,17441.7,16610.6
10,17610,17641.6,17643.6,17651.9,16819.6
11,17850,17850.1,17852.4,17862.1,17028.6
12,18060,18058.6,18061.3,18072.3,17237.6
1,18490,18494.9,18486.6,18486.5,17655.6
2,18720,18703.3,18695.6,18695.6,17864.6
3,18870,18911.8,18904.6,18904.8,18073.6
4,19120,19120.2,19113.6,19113.9,18282.6
5,19320,19328.7,19322.5,19323.1,18491.6
6,19520,19537.1,19531.5,19532.2,18700.6
7,19770,19745.6,19740.5,19741.4,18909.6
8,19970,19954,19949.5,19950.5,19118.6
9,20150,20162.4,20158.4,20159.7,19327.7
10,20350,20370.9,20367.4,20368.8,19536.7
11,20520,20579.3,20576.4,20577.9,19745.7
12,20800,20787.8,20785.3,20787.1,19954.7
1,21020,20996.2,20994.3,20996.2,20163.7
2,21240,21204.7,21203.3,21205.4,20372.7
3,21440,21413.1,21412.3,21414.5,20581.7
4,21660,21621.6,21621.2,21623.7,20790.7
5,21850,21830,21830.2,21832.8,20999.7
6,22040,22038.5,22039.2,22042,21208.7
7,22290,22246.9,22248.1,22251.1,21417.7
8,22440,22455.4,22457.1,22460.3,21626.7
9,22680,22663.8,22666.1,22669.4,21835.7
10,22810,22872.3,22875.1,22878.5,22044.8
11,23030,23080.7,23084,23087.7,22253.8
12,23300,23289.2,23293,23296.8,22462.8
1,23740,23727.1,23714.7,23720.3,22880.8
2,23970,23935.3,23923.7,23929.1,23089.8
3,24160,24143.6,24132.8,24138,23298.8
4,24370,24351.8,24341.8,24346.8,23507.8
5,24550,24560,24550.9,24555.7,23716.8
6,24760,24768.2,24759.9,24764.5,23925.8
7,24970,24976.5,24969,24973.4,24134.8
8,25170,25184.7,25178,25182.2,24343.8
9,25400,25392.9,25387,25391.1,24552.9
10,25530,25601.2,25596.1,25599.9,24761.9
11,25720,25809.4,25805.1,25808.8,24970.9
12,26010,26017.6,26014.2,26017.7,25179.9
1,26220,26225.8,26223.2,26226.5,25388.9
2,26440,26434.1,26432.3,26435.4,25597.9
3,26700,26642.3,26641.3,26644.2,25806.9
4,26920,26850.5,26850.4,26853.1,26015.9
5,27100,27058.8,27059.4,27061.9,26224.9
