Bell No,Actual Time,Contest Model,HawkEar Model,RWP Model,Metronomic Model
1,1990,1990,1990,2191.71,1990
2,2260,2213.48,2213.48,2401.42,2190.65
3,2460,2436.96,2436.96,2611.12,2391.29
4,2740,2660.43,2660.43,2820.83,2591.94
5,2910,2883.91,2883.91,3030.54,2792.58
6,3170,3107.39,3107.39,3240.24,2993.23
7,3270,3330.87,3330.87,3449.95,3193.87
8,3590,3554.35,3554.35,3659.66,3394.52
9,3820,3777.83,3777.83,3869.36,3595.17
10,4070,4001.3,4001.3,4079.07,3795.81
11,4230,4224.78,4224.78,4288.77,3996.46
12,4470,4448.26,4448.26,4498.48,4197.1
1,4810,4671.74,4671.74,4708.19,4397.75
2,5050,4895.22,4895.22,4917.89,4598.39
3,5220,5118.7,5118.7,5127.6,4799.04
4,5480,5342.17,5342.17,5337.3,4999.69
5,5670,5565.65,5565.65,5547.01,5200.33
6,5830,5789.13,5789.13,5756.72,5400.98
7,6020,6012.61,6012.61,5966.42,5601.62
8,6280,6236.09,6236.09,6176.13,5802.27
9,6430,6459.57,6459.57,6385.84,6002.91
10,6690,6683.04,6683.04,6595.54,6203.56
11,6890,6906.52,6906.52,6805.25,6404.2
12,7130,7130,7130,7014.95,6604.85
1,7600,7559.92,7565.5,7524.21,7006.14
2,7800,7766.62,7771.84,7733.92,7206.79
3,7930,7973.32,7978.19,7943.62,7407.43
4,8140,8180.03,8184.54,8153.33,7608.08
5,8330,8386.73,8390.88,8363.04,7808.72
6,8550,8593.43,8597.23,8572.74,8009.37
7,8790,8800.13,8803.58,8782.45,8210.02
8,9030,9006.84,9009.92,8992.16,8410.66
9,9220,9213.54,9216.27,9201.86,8611.31
10,9430,9420.24,9422.62,9411.57,8811.95
11,9630,9626.95,9628.96,9621.27,9012.6
12,9880,9833.65,9835.31,9830.98,9213.24
1,10050,10040.4,10041.7,10040.7,9413.89
2,10270,10247.1,10248,10250.4,9614.54
3,10450,10453.8,10454.3,10460.1,9815.18
4,10690,10660.5,10660.7,10669.8,10015.8
5,10880,10867.2,10867,10879.5,10216.5
6,11060,11073.9,11073.4,11089.2,10417.1
7,11270,11280.6,11279.7,11298.9,10617.8
8,11500,11487.3,11486.1,11508.6,10818.4
9,11620,11694,11692.4,11718.3,11019.1
10,11880,11900.7,11898.8,11928,11219.7
11,12120,12107.4,12105.1,12137.7,11420.3
12,12340,12314.1,12311.5,12347.5,11621
1,12750,12731.8,12726.1,12729.4,12022.3
2,12950,12937,12931.6,12934.6,12222.9
3,13120,13142.1,13137.1,13139.9,12423.6
4,13350,13347.3,13342.6,13345.2,12624.2
5,13540,13552.4,13548.2,13550.4,12824.9
6,13740,13757.6,13753.7,13755.7,13025.5
7,13960,13962.7,13959.2,13961,13226.2
8,14210,14167.9,14164.7,14166.3,13426.8
9,14370,14373,14370.2,14371.5,13627.4
10,14540,14578.2,14575.7,14576.8,13828.1
11,14710,14783.3,14781.3,14782.1,14028.7
12,15020,14988.5,14986.8,14987.4,14229.4
1,15220,15193.6,15192.3,15192.6,14430
2,15420,15398.8,15397.8,15397.9,14630.7
3,15590,15603.9,15603.3,15603.2,14831.3
4,15820,15809.1,15808.8,15808.5,15032
5,16030,16014.2,16014.3,16013.7,15232.6
6,16190,16219.4,16219.9,16219,15433.3
7,16390,16424.5,16425.4,16424.3,15633.9
8,16640,16629.7,16630.9,16629.6,15834.6
9,16820,16834.8,16836.4,16834.8,16035.2
10,17040,17040,17041.9,17040.1,16235.8
11,17230,17245.1,17247.4,17245.4,16436.5
12,17510,17450.3,17453,17450.6,16637.1
1,17890,17853.4,17856.1,17846.7,17038.4
2,18060,18057.6,18060.1,18051.4,17239.1
3,18230,18261.8,18264.2,18256.1,17439.7
4,18430,18466.1,18468.2,18460.8,17640.4
5,18630,18670.3,18672.3,18665.5,17841
6,18860,18874.5,18876.3,18870.2,18041.7
7,19070,19078.8,19080.4,19074.9,18242.3
8,19270,19283,19284.5,19279.7,18442.9
9,19460,19487.2,19488.5,19484.4,18643.6
10,19690,19691.4,19692.6,19689.1,18844.2
11,19890,19895.7,19896.6,19893.8,19044.9
12,20170,20099.9,20100.7,20098.5,19245.5
1,20370,20304.1,20304.8,20303.2,19446.2
2,20530,20508.4,20508.8,20507.9,19646.8
3,20690,20712.6,20712.9,20712.6,19847.5
4,20950,20916.8,20916.9,20917.3,20048.1
5,21130,21121.1,21121,21122,20248.8
6,21330,21325.3,21325.1,21326.7,20449.4
7,21530,21529.5,21529.1,21531.4,20650
8,21740,21733.7,21733.2,21736.1,20850.7
9,21880,21938,21937.2,21940.8,21051.3
10,22120,22142.2,22141.3,22145.5,21252
11,22330,22346.4,22345.4,22350.3,21452.6
12,22570,22550.7,22549.4,22555,21653.3
2,22980,22970.8,22968.5,22980.7,22054.6
1,23180,23175.3,23172.8,23184.7,22255.2
4,23380,23379.8,23377.1,23388.7,22455.9
3,23590,23584.3,23581.5,23592.7,22656.5
6,23830,23788.8,23785.8,23796.7,22857.2
5,24030,23993.3,23990.1,24000.7,23057.8
8,24190,24197.8,24194.5,24204.7,23258.4
7,24410,24402.3,24398.8,24408.7,23459.1
10,24600,24606.8,24603.2,24612.7,23659.7
9,24770,24811.3,24807.5,24816.7,23860.4
12,25010,25015.8,25011.8,25020.7,24061
11,25240,25220.3,25216.2,25224.7,24261.7
1,25420,25424.8,25420.5,25428.7,24462.3
2,25660,25629.2,25624.8,25632.7,24663
4,25850,25833.7,25829.2,25836.7,24863.6
6,26080,26038.2,26033.5,26040.7,25064.3
3,26260,26242.7,26237.9,26244.7,25264.9
8,26480,26447.2,26442.2,26448.7,25465.5
5,26720,26651.7,26646.5,26652.7,25666.2
10,26820,26856.2,26850.9,26856.7,25866.8
7,27040,27060.7,27055.2,27060.7,26067.5
12,27210,27265.2,27259.5,27264.7,26268.1
9,27400,27469.7,27463.9,27468.7,26468.8
11,27690,27674.2,27668.2,27672.7,26669.4
2,28060,28077.6,28064.3,28075,27070.7
1,28270,28279.8,28268.2,28277.3,27271.4
6,28520,28482,28472.1,28479.7,27472
4,28680,28684.2,28676,28682,27672.6
8,28890,28886.4,28879.9,28884.4,27873.3
3,29100,29088.6,29083.8,29086.8,28073.9
10,29290,29290.8,29287.7,29289.1,28274.6
5,29480,29493,29491.6,29491.5,28475.2
12,29750,29695.2,29695.5,29693.8,28675.9
7,29900,29897.4,29899.5,29896.2,28876.5
11,30060,30099.6,30103.4,30098.5,29077.2
9,30300,30301.8,30307.3,30300.9,29277.8
2,30470,30504,30511.2,30503.3,29478.5
6,30700,30706.2,30715.1,30705.6,29679.1
1,30910,30908.4,30919,30908,29879.7
4,31140,31110.6,31122.9,31110.3,30080.4
3,31290,31312.8,31326.8,31312.7,30281
8,31520,31515,31530.7,31515,30481.7
5,31780,31717.2,31734.6,31717.4,30682.3
10,31890,31919.4,31938.6,31919.8,30883
7,32070,32121.6,32142.5,32122.1,31083.6
12,32290,32323.8,32346.4,32324.5,31284.3
9,32530,32526,32550.3,32526.8,31484.9
11,32760,32728.2,32754.2,32729.2,31685.6
6,33160,33126.6,33131.7,33132.4,32086.9
2,33350,33328.6,33334.7,33333.6,32287.5
4,33530,33530.5,33537.8,33534.8,32488.1
1,33740,33732.5,33740.8,33735.9,32688.8
8,33900,33934.4,33943.9,33937.1,32889.4
3,34070,34136.4,34146.9,34138.3,33090.1
10,34300,34338.3,34350,34339.4,33290.7
5,34550,34540.3,34553,34540.6,33491.4
12,34780,34742.2,34756,34741.8,33692
7,34930,34944.2,34959.1,34942.9,33892.7
11,35060,35146.1,35162.1,35144.1,34093.3
9,35370,35348.1,35365.2,35345.3,34294
6,35540,35550,35568.2,35546.4,34494.6
2,35750,35752,35771.3,35747.6,34695.2
1,35950,35953.9,35974.3,35948.7,34895.9
4,36170,36155.9,36177.3,36149.9,35096.5
8,36320,36357.8,36380.4,36351.1,35297.2
10,36560,36559.8,36583.4,36552.2,35497.8
3,36750,36761.7,36786.5,36753.4,35698.5
12,36940,36963.7,36989.5,36954.6,35899.1
5,37180,37165.6,37192.6,37155.7,36099.8
11,37380,37367.6,37395.6,37356.9,36300.4
7,37620,37569.5,37598.7,37558.1,36501.1
9,37800,37771.5,37801.7,37759.2,36701.7
2,38150,38157.8,38167.7,38155,37103
6,38360,38358.6,38369.6,38355.6,37303.6
4,38510,38559.5,38571.5,38556.1,37504.3
1,38770,38760.3,38773.4,38756.7,37704.9
10,38930,38961.1,38975.4,38957.3,37905.6
8,39080,39162,39177.3,39157.9,38106.2
12,39390,39362.8,39379.2,39358.5,38306.9
3,39570,39563.7,39581.1,39559,38507.5
11,39770,39764.5,39783,39759.6,38708.2
5,39900,39965.3,39984.9,39960.2,38908.8
9,40120,40166.2,40186.9,40160.8,39109.5
7,40410,40367,40388.8,40361.4,39310.1
6,40660,40567.8,40590.7,40562,39510.7
2,40810,40768.7,40792.6,40762.5,39711.4
4,40940,40969.5,40994.5,40963.1,39912
10,41150,41170.3,41196.5,41163.7,40112.7
1,41320,41371.2,41398.4,41364.3,40313.3
8,41540,41572,41600.3,41564.9,40514
3,41730,41772.9,41802.2,41765.5,40714.6
12,41960,41973.7,42004.1,41966,40915.3
5,42190,42174.5,42206,42166.6,41115.9
11,42420,42375.4,42408,42367.2,41316.6
7,42610,42576.2,42609.9,42567.8,41517.2
9,42790,42777,42811.8,42768.4,41717.8
2,43150,43169.1,43185.4,43164.2,42119.1
6,43360,43370,43386.5,43365.2,42319.8
10,43560,43570.9,43587.5,43566.3,42520.4
4,43760,43771.8,43788.6,43767.3,42721.1
8,43970,43972.7,43989.7,43968.4,42921.7
1,44170,44173.6,44190.8,44169.4,43122.4
12,44400,44374.5,44391.9,44370.5,43323
3,44600,44575.4,44593,44571.5,43523.7
11,44750,44776.3,44794.1,44772.6,43724.3
5,44940,44977.2,44995.2,44973.6,43924.9
9,45150,45178.1,45196.2,45174.7,44125.6
7,45420,45379,45397.3,45375.7,44326.2
2,45580,45579.9,45598.4,45576.8,44526.9
10,45790,45780.8,45799.5,45777.8,44727.5
6,45930,45981.7,46000.6,45978.9,44928.2
4,46140,46182.6,46201.7,46179.9,45128.8
1,46380,46383.6,46402.8,46381,45329.5
8,46590,46584.5,46603.9,46582,45530.1
12,46770,46785.4,46804.9,46783.1,45730.8
11,47010,46986.3,47006,46984.1,45931.4
3,47160,47187.2,47207.1,47185.2,46132
9,47410,47388.1,47408.2,47386.2,46332.7
5,47610,47589,47609.3,47587.3,46533.3
7,47830,47789.9,47810.4,47788.3,46734
10,48230,48192.5,48208,48193.7,47135.3
2,48370,48394.5,48409,48395.6,47335.9
4,48570,48596.4,48610,48597.5,47536.6
6,48790,48798.4,48811,48799.3,47737.2
8,48950,49000.3,49012,49001.2,47937.9
1,49210,49202.3,49213,49203.1,48138.5
11,49370,49404.3,49414,49405,48339.2
12,49630,49606.2,49615,49606.9,48539.8
9,49850,49808.2,49816,49808.8,48740.4
3,50010,50010.2,50017,50010.7,48941.1
7,50230,50212.1,50218,50212.6,49141.7
5,50460,50414.1,50419,50414.5,49342.4
2,50620,50616.1,50620,50616.4,49543
10,50840,50818,50821,50818.3,49743.7
6,51010,51020,51022,51020.1,49944.3
4,51250,51221.9,51223,51222,50145
8,51430,51423.9,51424,51423.9,50345.6
11,51610,51625.9,51625,51625.8,50546.3
1,51800,51827.8,51826,51827.7,50746.9
12,52010,52029.8,52027,52029.6,50947.5
3,52180,52231.8,52228,52231.5,51148.2
9,52410,52433.7,52429,52433.4,51348.8
5,52640,52635.7,52630,52635.3,51549.5
7,52900,52837.7,52831,52837.2,51750.1
10,53280,53238.7,53247,53247.8,52151.4
