Bell No,Actual Time,Contest Model,HawkEar Model,RWP Model,Metronomic Model
1,1980,1980,1980,2442.74,1980
2,2280,2224.78,2224.78,2660.62,2194.22
3,2550,2469.57,2469.57,2878.49,2408.43
4,2860,2714.35,2714.35,3096.37,2622.65
5,3100,2959.13,2959.13,3314.25,2836.86
6,3400,3203.91,3203.91,3532.13,3051.08
7,3610,3448.7,3448.7,3750.01,3265.29
8,3910,3693.48,3693.48,3967.88,3479.51
9,4220,3938.26,3938.26,4185.76,3693.72
10,4340,4183.04,4183.04,4403.64,3907.94
11,4590,4427.83,4427.83,4621.52,4122.15
12,4880,4672.61,4672.61,4839.39,4336.37
1,5170,4917.39,4917.39,5057.27,4550.58
2,5510,5162.17,5162.17,5275.15,4764.8
3,5660,5406.96,5406.96,5493.03,4979.01
4,5920,5651.74,5651.74,5710.91,5193.23
5,6180,5896.52,5896.52,5928.78,5407.44
6,6410,6141.3,6141.3,6146.66,5621.66
7,6420,6386.09,6386.09,6364.54,5835.87
8,6750,6630.87,6630.87,6582.42,6050.09
9,6890,6875.65,6875.65,6800.29,6264.3
10,7190,7120.43,7120.43,7018.17,6478.52
11,7330,7365.22,7365.22,7236.05,6692.74
12,7610,7610,7610,7453.93,6906.95
1,8070,8101.88,8100.75,8076.91,7335.38
2,8330,8317.57,8316.52,8294.78,7549.6
3,8500,8533.26,8532.28,8512.66,7763.81
4,8730,8748.95,8748.04,8730.54,7978.03
5,8920,8964.64,8963.81,8948.42,8192.24
6,9180,9180.33,9179.57,9166.29,8406.46
7,9330,9396.02,9395.33,9384.17,8620.67
8,9650,9611.72,9611.09,9602.05,8834.89
9,9940,9827.41,9826.86,9819.93,9049.1
10,10050,10043.1,10042.6,10037.8,9263.32
11,10260,10258.8,10258.4,10255.7,9477.53
12,10510,10474.5,10474.1,10473.6,9691.75
1,10730,10690.2,10689.9,10691.4,9905.96
2,11000,10905.9,10905.7,10909.3,10120.2
3,11130,11121.6,11121.4,11127.2,10334.4
4,11340,11337.2,11337.2,11345.1,10548.6
5,11580,11552.9,11553,11562.9,10762.8
6,11720,11768.6,11768.7,11780.8,10977
7,11930,11984.3,11984.5,11998.7,11191.3
8,12180,12200,12200.3,12216.6,11405.5
9,12380,12415.7,12416,12434.5,11619.7
10,12590,12631.4,12631.8,12652.3,11833.9
11,12870,12847.1,12847.5,12870.2,12048.1
12,13060,13062.8,13063.3,13088.1,12262.3
1,13490,13488.6,13482.5,13463.5,12690.8
2,13740,13697.6,13691.9,13674.3,12905
3,13910,13906.6,13901.2,13885.1,13119.2
4,14130,14115.6,14110.6,14095.9,13333.4
5,14280,14324.6,14320,14306.6,13547.6
6,14490,14533.6,14529.4,14517.4,13761.8
7,14680,14742.6,14738.8,14728.2,13976.1
8,14930,14951.6,14948.2,14939,14190.3
9,15100,15160.6,15157.6,15149.8,14404.5
10,15320,15369.6,15367,15360.5,14618.7
11,15570,15578.6,15576.4,15571.3,14832.9
12,15840,15787.6,15785.7,15782.1,15047.1
1,16000,15996.6,15995.1,15992.9,15261.3
2,16280,16205.6,16204.5,16203.7,15475.6
3,16400,16414.6,16413.9,16414.5,15689.8
4,16630,16623.6,16623.3,16625.2,15904
5,16830,16832.6,16832.7,16836,16118.2
6,16990,17041.6,17042.1,17046.8,16332.4
7,17230,17250.6,17251.5,17257.6,16546.6
8,17470,17459.6,17460.9,17468.4,16760.9
9,17660,17668.5,17670.2,17679.1,16975.1
10,17860,17877.5,17879.6,17889.9,17189.3
11,18130,18086.5,18089,18100.7,17403.5
12,18340,18295.5,18298.4,18311.5,17617.7
1,18750,18758.3,18742.3,18752.3,18046.1
2,19030,18967.5,18952.5,18962.1,18260.4
3,19210,19176.6,19162.6,19172,18474.6
4,19390,19385.8,19372.8,19381.8,18688.8
5,19590,19594.9,19583,19591.6,18903
6,19770,19804.1,19793.2,19801.5,19117.2
7,19970,20013.3,20003.4,20011.3,19331.4
8,20210,20222.4,20213.6,20221.2,19545.7
9,20400,20431.6,20423.7,20431,19759.9
10,20640,20640.7,20633.9,20640.8,19974.1
11,20860,20849.9,20844.1,20850.7,20188.3
12,21080,21059.1,21054.3,21060.5,20402.5
1,21280,21268.2,21264.5,21270.3,20616.7
2,21530,21477.4,21474.7,21480.2,20830.9
3,21680,21686.5,21684.8,21690,21045.2
4,21910,21895.7,21895,21899.8,21259.4
5,22110,22104.9,22105.2,22109.7,21473.6
6,22310,22314,22315.4,22319.5,21687.8
7,22510,22523.2,22525.6,22529.4,21902
8,22760,22732.3,22735.8,22739.2,22116.2
9,22950,22941.5,22945.9,22949,22330.4
10,23140,23150.7,23156.1,23158.9,22544.7
11,23340,23359.8,23366.3,23368.7,22758.9
12,23550,23569,23576.5,23578.5,22973.1
1,24050,24025.8,24000.9,24021.6,23401.5
2,24270,24234.2,24211.1,24230.4,23615.7
3,24460,24442.7,24421.4,24439.2,23830
4,24670,24651.2,24631.6,24648.1,24044.2
5,24810,24859.6,24841.8,24856.9,24258.4
6,25040,25068.1,25052.1,25065.7,24472.6
7,25230,25276.6,25262.3,25274.5,24686.8
8,25480,25485,25472.5,25483.3,24901
9,25680,25693.5,25682.8,25692.1,25115.2
10,25890,25902,25893,25900.9,25329.5
11,26070,26110.4,26103.2,26109.7,25543.7
12,26330,26318.9,26313.5,26318.5,25757.9
1,26560,26527.4,26523.7,26527.3,25972.1
2,26800,26735.8,26733.9,26736.1,26186.3
3,26950,26944.3,26944.2,26944.9,26400.5
4,27170,27152.8,27154.4,27153.7,26614.8
5,27370,27361.3,27364.6,27362.5,26829
6,27550,27569.7,27574.9,27571.4,27043.2
7,27770,27778.2,27785.1,27780.2,27257.4
8,27980,27986.7,27995.3,27989,27471.6
9,28180,28195.1,28205.6,28197.8,27685.8
10,28420,28403.6,28415.8,28406.6,27900
11,28610,28612.1,28626,28615.4,28114.3
12,28810,28820.5,28836.3,28824.2,28328.5
1,29250,29265.6,29243.9,29253.6,28756.9
2,29510,29473.2,29453.8,29461.9,28971.1
3,29670,29680.8,29663.6,29670.2,29185.3
4,29900,29888.3,29873.4,29878.5,29399.6
5,30060,30095.9,30083.2,30086.8,29613.8
6,30260,30303.5,30293.1,30295.2,29828
7,30450,30511.1,30502.9,30503.5,30042.2
8,30680,30718.7,30712.7,30711.8,30256.4
9,30920,30926.3,30922.5,30920.1,30470.6
10,31130,31133.9,31132.4,31128.4,30684.8
11,31320,31341.5,31342.2,31336.7,30899.1
12,31570,31549.1,31552,31545,31113.3
1,31780,31756.7,31761.8,31753.3,31327.5
2,32020,31964.3,31971.6,31961.6,31541.7
3,32180,32171.9,32181.5,32169.9,31755.9
4,32420,32379.5,32391.3,32378.2,31970.1
5,32590,32587.1,32601.1,32586.6,32184.3
6,32780,32794.7,32810.9,32794.9,32398.6
7,32960,33002.3,33020.8,33003.2,32612.8
8,33220,33209.8,33230.6,33211.5,32827
9,33390,33417.4,33440.4,33419.8,33041.2
10,33630,33625,33650.2,33628.1,33255.4
11,33830,33832.6,33860,33836.4,33469.6
12,34060,34040.2,34069.9,34044.7,33683.9
1,34500,34495.6,34478.8,34483.6,34112.3
2,34730,34703.1,34688.3,34692.2,34326.5
3,34930,34910.6,34897.7,34900.7,34540.7
4,35140,35118.1,35107.2,35109.2,34754.9
5,35310,35325.6,35316.6,35317.7,34969.1
6,35490,35533.1,35526.1,35526.3,35183.4
7,35690,35740.6,35735.5,35734.8,35397.6
8,35930,35948.1,35945,35943.3,35611.8
9,36140,36155.5,36154.4,36151.8,35826
10,36340,36363,36363.9,36360.4,36040.2
11,36510,36570.5,36573.3,36568.9,36254.4
12,36810,36778,36782.8,36777.4,36468.7
1,37020,36985.5,36992.2,36985.9,36682.9
2,37270,37193,37201.7,37194.5,36897.1
3,37420,37400.5,37411.1,37403,37111.3
4,37660,37608,37620.6,37611.5,37325.5
5,37840,37815.5,37830.1,37820,37539.7
6,38030,38022.9,38039.5,38028.6,37753.9
7,38180,38230.4,38249,38237.1,37968.2
8,38450,38437.9,38458.4,38445.6,38182.4
9,38630,38645.4,38667.9,38654.1,38396.6
10,38840,38852.9,38877.3,38862.7,38610.8
11,39000,39060.4,39086.8,39071.2,38825
12,39300,39267.9,39296.2,39279.7,39039.2
1,39710,39735,39711.9,39728.4,39467.7
