   1     1  1234567890ET                                                                                                                                                  
   2    13  1234567890ET                                                                                                                                                  =
   3    25  1234567890ET                                                                                                                                                  =
   4    37  1234567890ET                                                                                                                                                  =
   5    49  1234567890ET                                                                                                                                                  =
   6    61  1234567890ET                                                                                                                                                  =
   7    73  1234567890ET                                                                                                                                                  =
   8    85  1234567890ET                                                                                                                                                  =
   9    97  1234567890ET                                                                                                                                                  =
  10   109  1234567890ET                                                                                                                                                  =
  11   121  1234567890ET                                                                                                                                                  =
  12   133  1234567890ET                                                                                                                                                  =
  13   145  1234567890ET                                                                                                                                                  =
  14   157  1234567890ET                                                                                                                                                  =
  15   169  1234567890ET                                                                                                                                                  =
  16   181  1234567890ET                                                                                                                                                  =
  17   193  2143658709TE                                                                                                                                                  -
  18   205  124638507T9E                                                                                                                                                  3
  19   217  21648305T7E9                                                                                                                                                  -
  20   229  261438507T9E                                                                                                                                                  4
  21   241  62418305T7E9                                                                                                                                                  -
  22   253  6214803T5E79                                                                                                                                                  25
  23   265  264108T3E597                                                                                                                                                  -
  24   277  6240183T5E79                                                                                                                                                  36
  25   289  260481T3E597                                                                                                                                                  -
  26   301  206418TE3957                                                                                                                                                  47
  27   313  024681ET9375                                                                                                                                                  -
  28   325  20648E1T3957                                                                                                                                                  58
  29   337  0246E8T19375                                                                                                                                                  -
  30   349  042E681T9735                                                                                                                                                  69
  31   361  40E286T17953                                                                                                                                                  -
  32   373  042E68T71935                                                                                                                                                  70
  33   385  40E2867T9153                                                                                                                                                  -
  34   397  4E08276T1935                                                                                                                                                  8
  35   409  E48072T69153                                                                                                                                                  -
  36   421  4E08276T9513                                                                                                                                                  9
  37   433  E48072T65931                                                                                                                                                  -
  38   445  E8470T256913                                                                                                                                                  0
  39   457  8E74T0529631                                                                                                                                                  -
  40   469  E8470T256931                                                                                                                                                  E
  41   481  8E74T0529613                                                                                                                                                  -
  42   493  87ET45092631                                                                                                                                                  0
  43   505  78TE54906213                                                                                                                                                  -
  44   517  87ET45096123                                                                                                                                                  9
  45   529  78TE54901632                                                                                                                                                  -
  46   541  7T85E9406123                                                                                                                                                  8
  47   553  T7589E041632                                                                                                                                                  -
  48   565  7T85E9014623                                                                                                                                                  70
  49   577  T7589E106432                                                                                                                                                  -
  50   589  T5798E106342                                                                                                                                                  6789
  51   601  5T97E8103624                                                                                                                                                  78
  52   613  T579E1806342                                                                                                                                                  58
  53   625  5T971E083624                                                                                                                                                  -
  54   637  59T7E1038264                                                                                                                                                  47
  55   649  957T1E302846                                                                                                                                                  -
  56   661  5971TE038264                                                                                                                                                  36
  57   673  9517ET302846                                                                                                                                                  -
  58   685  9571E3T20486                                                                                                                                                  25
  59   697  59173E2T4068                                                                                                                                                  -
  60   709  5197E3T20486                                                                                                                                                  4
  61   721  15793E2T4068                                                                                                                                                  -
  62   733  517392E4T608                                                                                                                                                  3
  63   745  1537294E6T80                                                                                                                                                  -
  64   757  157392E4T608                                                                                                                                                  2
  65   769  5137294E6T80                                                                                                                                                  -
  66   781  15327496E8T0                                                                                                                                                  3
  67   793  512347698E0T                                                                                                                                                  -
  68   805  52137496E8T0                                                                                                                                                  4
  69   817  253147698E0T                                                                                                                                                  -
  70   829  2513467890ET                                                                                                                                                  25
  71   841  5231648709TE                                                                                                                                                  -
  72   853  2536147890ET                                                                                                                                                  36
  73   865  5263418709TE                                                                                                                                                  -
  74   877  562314807T9E                                                                                                                                                  47
  75   889  65324108T7E9                                                                                                                                                  -
  76   901  562340187T9E                                                                                                                                                  58
  77   913  65320481T7E9                                                                                                                                                  -
  78   925  63502418TE79                                                                                                                                                  69
  79   937  36054281ET97                                                                                                                                                  -
  80   949  6350248E1T79                                                                                                                                                  70
  81   961  360542E8T197                                                                                                                                                  -
  82   973  30645E281T79                                                                                                                                                  8
  83   985  0346E582T197                                                                                                                                                  -
  84   997  30645E28T917                                                                                                                                                  9
  85  1009  0346E5829T71                                                                                                                                                  -
  86  1021  043E68592T17                                                                                                                                                  0
  87  1033  40E38695T271                                                                                                                                                  -
  88  1045  043E68592T71                                                                                                                                                  E
  89  1057  40E38695T217                                                                                                                                                  -
  90  1069  4E08396T5271                                                                                                                                                  0
  91  1081  E48093T62517                                                                                                                                                  -
  92  1093  4E08396T2157                                                                                                                                                  9
  93  1105  E48093T61275                                                                                                                                                  -
  94  1117  E8490T362157                                                                                                                                                  8
  95  1129  8E94T0631275                                                                                                                                                  -
  96  1141  E8490T613257                                                                                                                                                  70
  97  1153  8E94T0162375                                                                                                                                                  -
  98  1165  89ET40612735                                                                                                                                                  69
  99  1177  98TE04167253                                                                                                                                                  -
 100  1189  89ET01462735                                                                                                                                                  58
 101  1201  98TE10647253                                                                                                                                                  -
 102  1213  9T8E01674523                                                                                                                                                  47
 103  1225  T9E810765432                                                                                                                                                  -
 104  1237  9TE180674523                                                                                                                                                  36
 105  1249  T91E08765432                                                                                                                                                  -
 106  1261  T9E107856342                                                                                                                                                  25
 107  1273  9T1E70583624                                                                                                                                                  -
 108  1285  91TE07856342                                                                                                                                                  4
 109  1297  19ET70583624                                                                                                                                                  -
 110  1309  91E7T5038264                                                                                                                                                  3
 111  1321  197E5T302846                                                                                                                                                  -
 112  1333  19E7T5038264                                                                                                                                                  2
 113  1345  917E5T302846                                                                                                                                                  -
 114  1357  1975E3T20486                                                                                                                                                  3
 115  1369  91573E2T4068                                                                                                                                                  -
 116  1381  9517E3T20486                                                                                                                                                  4
 117  1393  59713E2T4068                                                                                                                                                  -
 118  1405  591732E4T608                                                                                                                                                  25
 119  1417  9571234E6T80                                                                                                                                                  -
 120  1429  597213E4T608                                                                                                                                                  36
 121  1441  9527314E6T80                                                                                                                                                  -
 122  1453  92571346E8T0                                                                                                                                                  47
 123  1465  297531648E0T                                                                                                                                                  -
 124  1477  92573614E8T0                                                                                                                                                  58
 125  1489  297563418E0T                                                                                                                                                  -
 126  1501  2796531480ET                                                                                                                                                  69
 127  1513  7269354108TE                                                                                                                                                  -
 128  1525  2796534018ET                                                                                                                                                  70
 129  1537  7269350481TE                                                                                                                                                  -
 130  1549  7623905418ET                                                                                                                                                  8
 131  1561  6732094581TE                                                                                                                                                  -
 132  1573  762390548T1E                                                                                                                                                  9
 133  1585  67320945T8E1                                                                                                                                                  -
 134  1597  6370249T581E                                                                                                                                                  0
 135  1609  360742T985E1                                                                                                                                                  -
 136  1621  6370249T58E1                                                                                                                                                  E
 137  1633  360742T9851E                                                                                                                                                  -
 138  1645  30647T2895E1                                                                                                                                                  0
 139  1657  0346T782591E                                                                                                                                                  -
 140  1669  30647T28519E                                                                                                                                                  9
