   1     1  1234567890ET                                                                                                                                                  
   2    13  1234567980ET                                                                                                                                                  (89)
   3    25  1234567890ET                                                                                                                                                  (89)
   4    37  1234567890ET                                                                                                                                                  =
   5    49  1234567890ET                                                                                                                                                  =
   6    61  1234567890ET                                                                                                                                                  =
   7    73  1234567890ET                                                                                                                                                  =
   8    85  1234567890ET                                                                                                                                                  =
   9    97  1234567890ET                                                                                                                                                  =
  10   109  1234567890ET                                                                                                                                                  =
  11   121  1234567890ET                                                                                                                                                  =
  12   133  1234567890ET                                                                                                                                                  =
  13   145  1234567890ET                                                                                                                                                  =
  14   157  1234567890ET                                                                                                                                                  =
  15   169  1234567890ET                                                                                                                                                  =
  16   181  1234567890ET                                                                                                                                                  =
  17   193  1234567890ET                                                                                                                                                  =
  18   205  1234567890ET                                                                                                                                                  =
  19   217  213547698E0T                                                                                                                                                  3
  20   229  2314567890ET                                                                                                                                                  1
  21   241  3241658709ET                                                                                                                                                  E
  22   253  342618507E9T                                                                                                                                                  1
  23   265  43628105E79T                                                                                                                                                  E
  24   277  4638201E597T                                                                                                                                                  1
  25   289  648302E1957T                                                                                                                                                  E
  26   301  68403E29175T                                                                                                                                                  1
  27   313  8604E392715T                                                                                                                                                  E
  28   325  806E4937251T                                                                                                                                                  1
  29   337  08E69473521T                                                                                                                                                  E
  30   349  0E896745312T                                                                                                                                                  1
  31   361  E0987654132T                                                                                                                                                  E
  32   373  E9078561423T                                                                                                                                                  1
  33   385  9E705816243T                                                                                                                                                  E
  34   397  97E50182634T                                                                                                                                                  1
  35   409  795E1028364T                                                                                                                                                  E
  36   421  7591E203846T                                                                                                                                                  1
  37   433  57192E30486T                                                                                                                                                  E
  38   445  517293E4068T                                                                                                                                                  1
  39   457  15792E30486T                                                                                                                                                  3
  40   469  175293E4068T                                                                                                                                                  1
  41   481  71592E30486T                                                                                                                                                  3
  42   493  751293E4068T                                                                                                                                                  1
  43   505  5721394E608T                                                                                                                                                  E
  44   517  52731496E80T                                                                                                                                                  1
  45   529  253741698E0T                                                                                                                                                  E
  46   541  2354761890ET                                                                                                                                                  1
  47   553  3245678109ET                                                                                                                                                  E
  48   565  342658701E9T                                                                                                                                                  1
  49   577  43628507E19T                                                                                                                                                  E
  50   589  4638205E971T                                                                                                                                                  ?
  51   601  648302E5971T                                                                                                                                                  90E
  52   613  68403E29517T                                                                                                                                                  1
  53   625  8604E392157T                                                                                                                                                  E
  54   637  806E4931275T                                                                                                                                                  1
  55   649  08E69413725T                                                                                                                                                  E
  56   661  0E896147352T                                                                                                                                                  1
  57   673  E0981674532T                                                                                                                                                  E
  58   685  E9018765423T                                                                                                                                                  1
  59   697  9E107856243T                                                                                                                                                  E
  60   709  91E70582634T                                                                                                                                                  1
  61   721  19E07856243T                                                                                                                                                  3
  62   733  1E970582634T                                                                                                                                                  1
  63   745  E1907856243T                                                                                                                                                  3
  64   757  E9170582634T                                                                                                                                                  1
  65   769  9E715028364T                                                                                                                                                  E
  66   781  97E51203846T                                                                                                                                                  1
  67   793  795E2103486T                                                                                                                                                  78E
  68   805  7592E314068T                                                                                                                                                  ?
  69   817  57293E41608T                                                                                                                                                  E
  70   829  527394E6180T                                                                                                                                                  1
  71   841  2537496E810T                                                                                                                                                  E
  72   853  23547698E01T                                                                                                                                                  1
  73   865  324567890E1T                                                                                                                                                  E
  74   877  3426587091ET                                                                                                                                                  1
  75   889  4362850719ET                                                                                                                                                  E
  76   901  463820517E9T                                                                                                                                                  1
  77   913  64830215E79T                                                                                                                                                  E
  78   925  6840312E597T                                                                                                                                                  1
  79   937  860413E2957T                                                                                                                                                  E
  80   949  80614E39275T                                                                                                                                                  1
  81   961  0816E493725T                                                                                                                                                  E
  82   973  018E6947352T                                                                                                                                                  1
  83   985  10E89674532T                                                                                                                                                  E
  84   997  1E098765423T                                                                                                                                                  1
  85  1009  E1089674532T                                                                                                                                                  3
  86  1021  E0198765423T                                                                                                                                                  1
  87  1033  0E917856243T                                                                                                                                                  E
  88  1045  09E71582634T                                                                                                                                                  1
  89  1057  907E5128364T                                                                                                                                                  E
  90  1069  9705E213846T                                                                                                                                                  1
  91  1081  79502E31486T                                                                                                                                                  E
  92  1093  759203E4168T                                                                                                                                                  1
  93  1105  5729304E618T                                                                                                                                                  E
  94  1117  52739406E81T                                                                                                                                                  1
  95  1129  253749608E1T                                                                                                                                                  E
  96  1141  2354769801ET                                                                                                                                                  1
  97  1153  3245678910ET                                                                                                                                                  E
  98  1165  342658719E0T                                                                                                                                                  1
  99  1177  43628517E90T                                                                                                                                                  E
 100  1189  4638215E709T                                                                                                                                                  1
 101  1201  648312E5079T                                                                                                                                                  E
 102  1213  68413E20597T                                                                                                                                                  1
 103  1225  8614E302957T                                                                                                                                                  E
 104  1237  816E4309275T                                                                                                                                                  67
 105  1249  1864E302957T                                                                                                                                                  367
 106  1261  168E4309275T                                                                                                                                                  67
 107  1273  6184E302957T                                                                                                                                                  367
 108  1285  681E4039275T                                                                                                                                                  1
 109  1297  86E10493725T                                                                                                                                                  E
 110  1309  8E601947352T                                                                                                                                                  1
 111  1321  E8069174532T                                                                                                                                                  E
 112  1333  E0896715423T                                                                                                                                                  1
 113  1345  0E987651243T                                                                                                                                                  E
 114  1357  09E78562134T                                                                                                                                                  1
 115  1369  907E5826314T                                                                                                                                                  E
 116  1381  9705E283641T                                                                                                                                                  1
 117  1393  79502E38461T                                                                                                                                                  E
 118  1405  759203E4816T                                                                                                                                                  1
 119  1417  5729304E186T                                                                                                                                                  E
 120  1429  52739401E68T                                                                                                                                                  1
 121  1441  253749106E8T                                                                                                                                                  E
 122  1453  2354719608ET                                                                                                                                                  1
 123  1465  3245176980ET                                                                                                                                                  E
 124  1477  342156789E0T                                                                                                                                                  1
 125  1489  43126587E90T                                                                                                                                                  E
 126  1501  4136285E709T                                                                                                                                                  1
 127  1513  14326587E90T                                                                                                                                                  3
 128  1525  1346285E709T                                                                                                                                                  1
 129  1537  31426587E90T                                                                                                                                                  3
 130  1549  3416285E709T                                                                                                                                                  1
 131  1561  436182E5079T                                                                                                                                                  E
 132  1573  46381E20597T                                                                                                                                                  1
 133  1585  6483E102957T                                                                                                                                                  E
 134  1597  684E3019275T                                                                                                                                                  1
 135  1609  86E40391725T                                                                                                                                                  E
 136  1621  8E604937152T                                                                                                                                                  1
 137  1633  E8069473512T                                                                                                                                                  E
 138  1645  E0896745321T                                                                                                                                                  1
 139  1657  0E987654231T                                                                                                                                                  E
 140  1669  09E78562413T                                                                                                                                                  1
 141  1681  907E5826143T                                                                                                                                                  E
 142  1693  9705E281634T                                                                                                                                                  1
 143  1705  79502E18364T                                                                                                                                                  E
 144  1717  759201E3846T                                                                                                                                                  1
 145  1729  5729103E486T                                                                                                                                                  E
 146  1741  52719034E68T                                                                                                                                                  67
 147  1753  251793406E8T                                                                                                                                                  ?
 148  1765  2157349608ET                                                                                                                                                  ?
 149  1777  1253476980ET                                                                                                                                                  ?
 150  1789  132456789E0T                                                                                                                                                  ?
 151  1801  3125476980ET                                                                                                                                                  3
 152  1813  321456789E0T                                                                                                                                                  1
 153  1825  23416587E90T                                                                                                                                                  E
 154  1837  2436185E709T                                                                                                                                                  1
 155  1849  426381E5079T                                                                                                                                                  E
 156  1861  46283E10597T                                                                                                                                                  1
 157  1873  6482E301957T                                                                                                                                                  E
 158  1885  684E2039175T                                                                                                                                                  1
 159  1897  86E40293715T                                                                                                                                                  E
 160  1909  8E604927351T                                                                                                                                                  1
 161  1921  E8069472531T                                                                                                                                                  E
 162  1933  E0896745213T                                                                                                                                                  1
 163  1945  0E987654123T                                                                                                                                                  E
 164  1957  09E78561432T                                                                                                                                                  1
 165  1969  907E5816342T                                                                                                                                                  E
 166  1981  9705E183624T                                                                                                                                                  1
 167  1993  79501E38264T                                                                                                                                                  E
 168  2005  759103E2846T                                                                                                                                                  1
 169  2017  5719302E486T                                                                                                                                                  E
 170  2029  51739204E68T                                                                                                                                                  1
 171  2041  1579302E486T                                                                                                                                                  3
 172  2053  17539204E68T                                                                                                                                                  1
 173  2065  7159302E486T                                                                                                                                                  3
 174  2077  75139204E68T                                                                                                                                                  1
 175  2089  573129406E8T                                                                                                                                                  E
 176  2101  5372149608ET                                                                                                                                                  1
 177  2113  3527416980ET                                                                                                                                                  E
 178  2125  325476189E0T                                                                                                                                                  1
 179  2137  23456781E90T                                                                                                                                                  E
 180  2149  2436587E109T                                                                                                                                                  1
 181  2161  426385E7019T                                                                                                                                                  E
 182  2173  46283E50791T                                                                                                                                                  1
 183  2185  6482E305971T                                                                                                                                                  E
 184  2197  684E2039517T                                                                                                                                                  1
 185  2209  86E40293157T                                                                                                                                                  E
 186  2221  8E604921375T                                                                                                                                                  1
 187  2233  E8069412735T                                                                                                                                                  E
 188  2245  E0896147253T                                                                                                                                                  1
 189  2257  0E981674523T                                                                                                                                                  E
 190  2269  09E18765432T                                                                                                                                                  1
 191  2281  901E7856342T                                                                                                                                                  E
 192  2293  9107E583624T                                                                                                                                                  1
 193  2305  190E7856342T                                                                                                                                                  3
 194  2317  1097E583624T                                                                                                                                                  1
 195  2329  019E7856342T                                                                                                                                                  3
 196  2341  0917E583624T                                                                                                                                                  1
 197  2353  90715E38264T                                                                                                                                                  E
 198  2365  970513E2846T                                                                                                                                                  1
 199  2377  7950312E486T                                                                                                                                                  E
 200  2389  75930214E68T                                                                                                                                                  1
 201  2401  573920416E8T                                                                                                                                                  E
 202  2413  5372940618ET                                                                                                                                                  1
 203  2425  3527496081ET                                                                                                                                                  E
 204  2437  325476980E1T                                                                                                                                                  1
 205  2449  23456789E01T                                                                                                                                                  E
 206  2461  2436587E910T                                                                                                                                                  1
 207  2473  426385E7190T                                                                                                                                                  E
 208  2485  46283E51709T                                                                                                                                                  1
 209  2497  6482E315079T                                                                                                                                                  E
 210  2509  684E2130597T                                                                                                                                                  1
 211  2521  86E41203957T                                                                                                                                                  E
 212  2533  8E614029375T                                                                                                                                                  1
 213  2545  E8160492735T                                                                                                                                                  E
 214  2557  E1806947253T                                                                                                                                                  1
 215  2569  1E089674523T                                                                                                                                                  E
 216  2581  10E98765432T                                                                                                                                                  1
 217  2593  01E89674532T                                                                                                                                                  30E
 218  2605  0E198765432T                                                                                                                                                  0E
 219  2617  E0917856342T                                                                                                                                                  E
 220  2629  E9071586324T                                                                                                                                                  89
 221  2641  9E705183264T                                                                                                                                                  ?
 222  2653  97E50123846T                                                                                                                                                  ?
 223  2665  795E0321846T                                                                                                                                                  ?
 224  2677  759E3204168T                                                                                                                                                  ?
 225  2689  57932E40618T                                                                                                                                                  ?
 226  2701  573924E6801T                                                                                                                                                  ?
 227  2713  35274968E01T                                                                                                                                                  ?
 228  2725  32547698E10T                                                                                                                                                  89
 229  2737  234567891E0T                                                                                                                                                  E
 230  2749  2436587190ET                                                                                                                                                  1
 231  2761  4263851709ET                                                                                                                                                  E
 232  2773  462831507E9T                                                                                                                                                  1
 233  2785  64821305E79T                                                                                                                                                  E
 234  2797  6841203E597T                                                                                                                                                  1
 235  2809  861402E3957T                                                                                                                                                  E
 236  2821  81604E29375T                                                                                                                                                  1
 237  2833  186402E3957T                                                                                                                                                  3
 238  2845  16804E29375T                                                                                                                                                  1
 239  2857  618402E3957T                                                                                                                                                  3
 240  2869  68104E29375T                                                                                                                                                  1
 241  2881  8601E492735T                                                                                                                                                  E
 242  2893  806E1947253T                                                                                                                                                  1
 243  2905  08E69174523T                                                                                                                                                  E
 244  2917  0E896715432T                                                                                                                                                  1
 245  2929  E0987651342T                                                                                                                                                  E
 246  2941  E9078563124T                                                                                                                                                  1
 247  2953  9E705836214T                                                                                                                                                  E
 248  2965  97E50382641T                                                                                                                                                  1
 249  2977  795E3028461T                                                                                                                                                  E
 250  2989  7593E204816T                                                                                                                                                  1
 251  3001  57392E40186T                                                                                                                                                  E
 252  3013  537294E1068T                                                                                                                                                  1
 253  3025  3527491E608T                                                                                                                                                  E
 254  3037  32547196E80T                                                                                                                                                  1
 255  3049  234517698E0T                                                                                                                                                  E
 256  3061  2431567890ET                                                                                                                                                  1
 257  3073  4213657809ET                                                                                                                                                  78E
 258  3085  412638750E9T                                                                                                                                                  ?
 259  3097  1423658709ET                                                                                                                                                  ?
 260  3109  124638570E9T                                                                                                                                                  89
 261  3121  2143658709ET                                                                                                                                                  389
 262  3133  241638507E9T                                                                                                                                                  1
 263  3145  42618305E79T                                                                                                                                                  E
 264  3157  4628103E597T                                                                                                                                                  1
 265  3169  648201E3957T                                                                                                                                                  E
 266  3181  68402E19375T                                                                                                                                                  1
 267  3193  8604E291735T                                                                                                                                                  E
 268  3205  806E4927153T                                                                                                                                                  1
 269  3217  08E69472513T                                                                                                                                                  E
 270  3229  0E896745231T                                                                                                                                                  1
 271  3241  E0987654321T                                                                                                                                                  E
 272  3253  E9078563412T                                                                                                                                                  1
 273  3265  9E705836142T                                                                                                                                                  E
 274  3277  97E50381624T                                                                                                                                                  1
