   1     1  1234567890ET                                                                                                                                                  
   2    13  1234567890ET                                                                                                                                                  =
   3    25  1234567890ET                                                                                                                                                  =
   4    37  1234567890ET                                                                                                                                                  =
   5    49  1234567890ET                                                                                                                                                  =
   6    61  1234567890ET                                                                                                                                                  =
   7    73  1234567890ET                                                                                                                                                  =
   8    85  1234567890ET                                                                                                                                                  =
   9    97  1234567890ET                                                                                                                                                  =
  10   109  1234567890ET                                                                                                                                                  =
  11   121  1234567890ET                                                                                                                                                  =
  12   133  1234567890ET                                                                                                                                                  =
  13   145  1234567890ET                                                                                                                                                  =
  14   157  1234567890ET                                                                                                                                                  =
  15   169  1234567890ET                                                                                                                                                  =
  16   181  1234567890ET                                                                                                                                                  =
  17   193  213547698E0T                                                                                                                                                  3
  18   205  2314567890ET                                                                                                                                                  1
  19   217  324165879E0T                                                                                                                                                  9
  20   229  2346185970ET                                                                                                                                                  3
  21   241  243165879E0T                                                                                                                                                  1
  22   253  4236185970ET                                                                                                                                                  3
  23   265  432165879E0T                                                                                                                                                  1
  24   277  3426185970ET                                                                                                                                                  3
  25   289  4362819507ET                                                                                                                                                  E
  26   301  463829105E7T                                                                                                                                                  1
  27   313  6432819507ET                                                                                                                                                  3
  28   325  634829105E7T                                                                                                                                                  1
  29   337  3642819507ET                                                                                                                                                  3
  30   349  346829105E7T                                                                                                                                                  1
  31   361  4386920157ET                                                                                                                                                  9
  32   373  348960251E7T                                                                                                                                                  3
  33   385  3846920157ET                                                                                                                                                  1
  34   397  834960251E7T                                                                                                                                                  3
  35   409  8436920157ET                                                                                                                                                  1
  36   421  483960251E7T                                                                                                                                                  3
  37   433  84930652E17T                                                                                                                                                  E
  38   445  8940356E271T                                                                                                                                                  1
  39   457  98430652E17T                                                                                                                                                  3
  40   469  9480356E271T                                                                                                                                                  1
  41   481  49830652E17T                                                                                                                                                  3
  42   493  4890356E271T                                                                                                                                                  1
  43   505  840953E6721T                                                                                                                                                  E
  44   517  48059E37612T                                                                                                                                                  3
  45   529  408953E6721T                                                                                                                                                  1
  46   541  04859E37612T                                                                                                                                                  3
  47   553  084953E6721T                                                                                                                                                  1
  48   565  80459E37612T                                                                                                                                                  3
  49   577  0854E973162T                                                                                                                                                  E
  50   589  058E4791326T                                                                                                                                                  1
  51   601  5084E973162T                                                                                                                                                  3
  52   613  580E4791326T                                                                                                                                                  1
  53   625  8504E973162T                                                                                                                                                  3
  54   637  805E4791326T                                                                                                                                                  1
  55   649  08E57419236T                                                                                                                                                  E
  56   661  80E75142963T                                                                                                                                                  3
  57   673  8E057419236T                                                                                                                                                  1
  58   685  E8075142963T                                                                                                                                                  3
  59   697  E0857419236T                                                                                                                                                  1
  60   709  0E875142963T                                                                                                                                                  3
  61   721  E0781524693T                                                                                                                                                  E
  62   733  E7018256439T                                                                                                                                                  1
  63   745  7E081524693T                                                                                                                                                  3
  64   757  70E18256439T                                                                                                                                                  1
  65   769  07E81524693T                                                                                                                                                  3
  66   781  0E718256439T                                                                                                                                                  1
  67   793  E0172865349T                                                                                                                                                  E
  68   805  0E127683594T                                                                                                                                                  3
  69   817  01E72865349T                                                                                                                                                  1
  70   829  10E27683594T                                                                                                                                                  3
  71   841  1E072865349T                                                                                                                                                  1
  72   853  E1027683594T                                                                                                                                                  3
  73   865  1E206738954T                                                                                                                                                  E
  74   877  12E60379845T                                                                                                                                                  1
  75   889  21E06738954T                                                                                                                                                  3
  76   901  2E160379845T                                                                                                                                                  1
  77   913  E2106738954T                                                                                                                                                  3
  78   925  E1260379845T                                                                                                                                                  1
  79   937  1E623097485T                                                                                                                                                  E
  80   949  E1632904758T                                                                                                                                                  3
  81   961  E6123097485T                                                                                                                                                  1
  82   973  6E132904758T                                                                                                                                                  3
  83   985  61E23097485T                                                                                                                                                  1
  84   997  16E32904758T                                                                                                                                                  3
  85  1009  613E9240578T                                                                                                                                                  E
  86  1021  6319E425087T                                                                                                                                                  1
  87  1033  361E9240578T                                                                                                                                                  3
  88  1045  3169E425087T                                                                                                                                                  1
  89  1057  136E9240578T                                                                                                                                                  3
  90  1069  1639E425087T                                                                                                                                                  1
  91  1081  61934E52807T                                                                                                                                                  E
  92  1093  169435E8270T                                                                                                                                                  3
  93  1105  19634E52807T                                                                                                                                                  1
  94  1117  916435E8270T                                                                                                                                                  3
  95  1129  96134E52807T                                                                                                                                                  1
  96  1141  691435E8270T                                                                                                                                                  3
  97  1153  9641538E207T                                                                                                                                                  9
  98  1165  94651832E70T                                                                                                                                                  1
  99  1177  4961538E207T                                                                                                                                                  3
 100  1189  46951832E70T                                                                                                                                                  1
 101  1201  6491538E207T                                                                                                                                                  3
 102  1213  69451832E70T                                                                                                                                                  1
 103  1225  965481237E0T                                                                                                                                                  E
 104  1237  6958421730ET                                                                                                                                                  3
 105  1249  659481237E0T                                                                                                                                                  1
 106  1261  5698421730ET                                                                                                                                                  3
 107  1273  596481237E0T                                                                                                                                                  1
 108  1285  9568421730ET                                                                                                                                                  3
 109  1297  5986247103ET                                                                                                                                                  E
 110  1309  589267401E3T                                                                                                                                                  1
 111  1321  8596247103ET                                                                                                                                                  3
 112  1333  895267401E3T                                                                                                                                                  1
 113  1345  9856247103ET                                                                                                                                                  3
 114  1357  958267401E3T                                                                                                                                                  1
 115  1369  5928760413ET                                                                                                                                                  9
 116  1381  952780614E3T                                                                                                                                                  3
 117  1393  9258760413ET                                                                                                                                                  1
 118  1405  295780614E3T                                                                                                                                                  3
 119  1417  2598760413ET                                                                                                                                                  1
 120  1429  529780614E3T                                                                                                                                                  3
 121  1441  25790816E43T                                                                                                                                                  E
 122  1453  2750918E634T                                                                                                                                                  1
 123  1465  72590816E43T                                                                                                                                                  3
 124  1477  7520918E634T                                                                                                                                                  1
 125  1489  57290816E43T                                                                                                                                                  3
 126  1501  5270918E634T                                                                                                                                                  1
 127  1513  250719E8364T                                                                                                                                                  E
 128  1525  52017E93846T                                                                                                                                                  3
 129  1537  502719E8364T                                                                                                                                                  1
 130  1549  05217E93846T                                                                                                                                                  3
 131  1561  025719E8364T                                                                                                                                                  1
 132  1573  20517E93846T                                                                                                                                                  3
 133  1585  0215E739486T                                                                                                                                                  E
 134  1597  012E5374968T                                                                                                                                                  1
 135  1609  1025E739486T                                                                                                                                                  3
 136  1621  120E5374968T                                                                                                                                                  1
 137  1633  2105E739486T                                                                                                                                                  3
 138  1645  201E5374968T                                                                                                                                                  1
 139  1657  02E13547698T                                                                                                                                                  E
 140  1669  20E31456789T                                                                                                                                                  3
 141  1681  2E013547698T                                                                                                                                                  1
 142  1693  E2031456789T                                                                                                                                                  3
