Bell No,Actual Time,Contest Model,HawkEar Model,RWP Model,Metronomic Model
1,1990,1990,1990,2190.81,1990
2,2200,2217.83,2217.83,2404.25,2197.45
3,2450,2445.65,2445.65,2617.69,2404.89
4,2690,2673.48,2673.48,2831.14,2612.34
5,2910,2901.3,2901.3,3044.58,2819.78
6,3120,3129.13,3129.13,3258.03,3027.23
7,3340,3356.96,3356.96,3471.47,3234.67
8,3580,3584.78,3584.78,3684.92,3442.12
9,3820,3812.61,3812.61,3898.36,3649.56
10,4130,4040.43,4040.43,4111.81,3857.01
11,4370,4268.26,4268.26,4325.25,4064.46
12,4590,4496.09,4496.09,4538.69,4271.9
1,4830,4723.91,4723.91,4752.14,4479.35
2,5070,4951.74,4951.74,4965.58,4686.79
3,5250,5179.57,5179.57,5179.03,4894.24
4,5530,5407.39,5407.39,5392.47,5101.68
5,5720,5635.22,5635.22,5605.92,5309.13
6,5900,5863.04,5863.04,5819.36,5516.57
7,6140,6090.87,6090.87,6032.81,5724.02
8,6320,6318.7,6318.7,6246.25,5931.47
9,6510,6546.52,6546.52,6459.69,6138.91
10,6810,6774.35,6774.35,6673.14,6346.36
11,6990,7002.17,7002.17,6886.58,6553.8
12,7230,7230,7230,7100.03,6761.25
1,7670,7673.94,7677.73,7660.39,7176.14
2,7900,7886.28,7889.82,7873.83,7383.58
3,8070,8098.61,8101.92,8087.28,7591.03
4,8320,8310.95,8314.01,8300.72,7798.48
5,8490,8523.28,8526.1,8514.17,8005.92
6,8700,8735.62,8738.2,8727.61,8213.37
7,8940,8947.96,8950.29,8941.06,8420.81
8,9140,9160.29,9162.39,9154.5,8628.26
9,9340,9372.63,9374.48,9367.94,8835.7
10,9590,9584.96,9586.57,9581.39,9043.15
11,9780,9797.3,9798.67,9794.83,9250.59
12,10040,10009.6,10010.8,10008.3,9458.04
1,10290,10222,10222.9,10221.7,9665.49
2,10490,10434.3,10434.9,10435.2,9872.93
3,10670,10646.6,10647,10648.6,10080.4
4,10910,10859,10859.1,10862.1,10287.8
5,11130,11071.3,11071.2,11075.5,10495.3
6,11290,11283.6,11283.3,11288.9,10702.7
7,11460,11496,11495.4,11502.4,10910.2
8,11670,11708.3,11707.5,11715.8,11117.6
9,11860,11920.6,11919.6,11929.3,11325.1
10,12110,12133,12131.7,12142.7,11532.5
11,12360,12345.3,12343.8,12356.2,11739.9
12,12540,12557.7,12555.9,12569.6,11947.4
