   1     1  1234567890ET                                                                                                                                                  
   2    13  1234567890ET                                                                                                                                                  =
   3    25  1234567890ET                                                                                                                                                  =
   4    37  1234567890ET                                                                                                                                                  =
   5    49  1234567890ET                                                                                                                                                  =
   6    61  1234567890ET                                                                                                                                                  =
   7    73  1234567890ET                                                                                                                                                  =
   8    85  1234567890ET                                                                                                                                                  =
   9    97  1234567890ET                                                                                                                                                  =
  10   109  1234567890ET                                                                                                                                                  =
  11   121  1234567890ET                                                                                                                                                  =
  12   133  1234567890ET                                                                                                                                                  =
  13   145  2143658709TE                                                                                                                                                  -
  14   157  124638507T9E                                                                                                                                                  3
  15   169  21648305T7E9                                                                                                                                                  -
  16   181  261438507T9E                                                                                                                                                  4
  17   193  62418305T7E9                                                                                                                                                  -
  18   205  6214803T5E79                                                                                                                                                  25
  19   217  264108T3E597                                                                                                                                                  -
  20   229  6240183T5E79                                                                                                                                                  36
  21   241  260481T3E597                                                                                                                                                  -
  22   253  206418TE3957                                                                                                                                                  47
  23   265  024681ET9375                                                                                                                                                  -
  24   277  20648E1T3957                                                                                                                                                  58
  25   289  0246E8T19375                                                                                                                                                  -
  26   301  042E681T9735                                                                                                                                                  69
  27   313  40E286T17953                                                                                                                                                  -
  28   325  042E68T71935                                                                                                                                                  70
  29   337  40E2867T9153                                                                                                                                                  -
  30   349  4E08276T1935                                                                                                                                                  8
  31   361  E48072T69153                                                                                                                                                  -
  32   373  4E08276T9513                                                                                                                                                  9
  33   385  E48072T65931                                                                                                                                                  -
  34   397  E8470T256913                                                                                                                                                  0
  35   409  8E74T0529631                                                                                                                                                  -
  36   421  E8470T256931                                                                                                                                                  E
  37   433  8E74T0529613                                                                                                                                                  -
  38   445  87ET45092631                                                                                                                                                  0
  39   457  78TE54906213                                                                                                                                                  -
  40   469  87ET45096123                                                                                                                                                  9
  41   481  78TE54901632                                                                                                                                                  -
  42   493  7T85E9406123                                                                                                                                                  8
  43   505  T7589E041632                                                                                                                                                  -
  44   517  7T85E9014623                                                                                                                                                  70
  45   529  T7589E106432                                                                                                                                                  -
  46   541  T5798E016342                                                                                                                                                  69
  47   553  5T97E8103624                                                                                                                                                  -
  48   565  T579E1806342                                                                                                                                                  58
  49   577  5T971E083624                                                                                                                                                  -
  50   589  59T7E1038264                                                                                                                                                  47
  51   601  957T1E302846                                                                                                                                                  -
  52   613  5971TE038264                                                                                                                                                  36
  53   625  9517ET302846                                                                                                                                                  -
  54   637  9571E3T20486                                                                                                                                                  25
  55   649  59173E2T4068                                                                                                                                                  -
  56   661  5197E3T20486                                                                                                                                                  4
  57   673  15793E2T4068                                                                                                                                                  -
  58   685  517392E4T608                                                                                                                                                  3
  59   697  1537294E6T80                                                                                                                                                  -
  60   709  157392E4T608                                                                                                                                                  2
  61   721  5137294E6T80                                                                                                                                                  -
  62   733  15327496E8T0                                                                                                                                                  3
  63   745  512347698E0T                                                                                                                                                  -
  64   757  52137496E8T0                                                                                                                                                  4
  65   769  253147698E0T                                                                                                                                                  -
  66   781  2513467890ET                                                                                                                                                  25
  67   793  5231648709TE                                                                                                                                                  -
  68   805  2536147890ET                                                                                                                                                  36
  69   817  5263418709TE                                                                                                                                                  -
  70   829  562314807T9E                                                                                                                                                  47
  71   841  65324108T7E9                                                                                                                                                  -
  72   853  562340187T9E                                                                                                                                                  58
  73   865  65320481T7E9                                                                                                                                                  -
  74   877  63502418TE79                                                                                                                                                  69
  75   889  36054281ET97                                                                                                                                                  -
  76   901  6350248E1T79                                                                                                                                                  70
  77   913  360542E8T197                                                                                                                                                  -
  78   925  30645E281T79                                                                                                                                                  8
  79   937  0346E582T197                                                                                                                                                  -
  80   949  30645E28T917                                                                                                                                                  9
  81   961  0346E5829T71                                                                                                                                                  -
  82   973  043E68592T17                                                                                                                                                  0
  83   985  40E38695T271                                                                                                                                                  -
  84   997  043E68592T71                                                                                                                                                  E
  85  1009  40E38695T217                                                                                                                                                  -
  86  1021  4E08396T5271                                                                                                                                                  0
  87  1033  E48093T62517                                                                                                                                                  -
  88  1045  4E08396T2157                                                                                                                                                  9
  89  1057  E48093T61275                                                                                                                                                  -
  90  1069  E8490T362157                                                                                                                                                  8
  91  1081  8E94T0631275                                                                                                                                                  -
  92  1093  E8490T613257                                                                                                                                                  70
  93  1105  8E94T0162375                                                                                                                                                  -
  94  1117  89ET40612735                                                                                                                                                  69
  95  1129  98TE04167253                                                                                                                                                  -
  96  1141  89ET01462735                                                                                                                                                  58
  97  1153  98TE10647253                                                                                                                                                  -
  98  1165  9T8E01674523                                                                                                                                                  47
  99  1177  T9E810765432                                                                                                                                                  -
 100  1189  9TE180674523                                                                                                                                                  36
 101  1201  T91E08765432                                                                                                                                                  -
 102  1213  T9E107856342                                                                                                                                                  25
 103  1225  9T1E70583624                                                                                                                                                  -
 104  1237  91TE07856342                                                                                                                                                  4
 105  1249  19ET70583624                                                                                                                                                  -
 106  1261  91E7T5038264                                                                                                                                                  3
 107  1273  197E5T302846                                                                                                                                                  -
 108  1285  19E7T5038264                                                                                                                                                  2
 109  1297  917E5T302846                                                                                                                                                  -
 110  1309  1975E3T20486                                                                                                                                                  3
 111  1321  91573E2T4068                                                                                                                                                  -
 112  1333  9517E3T20486                                                                                                                                                  4
 113  1345  59713E2T4068                                                                                                                                                  -
 114  1357  591732E4T608                                                                                                                                                  25
 115  1369  9571234E6T80                                                                                                                                                  -
 116  1381  597213E4T608                                                                                                                                                  36
 117  1393  9527314E6T80                                                                                                                                                  -
 118  1405  92571346E8T0                                                                                                                                                  47
 119  1417  297531648E0T                                                                                                                                                  -
 120  1429  92573614E8T0                                                                                                                                                  58
 121  1441  297563418E0T                                                                                                                                                  -
 122  1453  2796531480ET                                                                                                                                                  69
 123  1465  7269354108TE                                                                                                                                                  -
 124  1477  2796534018ET                                                                                                                                                  70
 125  1489  7269350481TE                                                                                                                                                  -
 126  1501  7623905418ET                                                                                                                                                  8
 127  1513  6732094581TE                                                                                                                                                  -
 128  1525  762390548T1E                                                                                                                                                  9
 129  1537  67320945T8E1                                                                                                                                                  -
 130  1549  6370249T581E                                                                                                                                                  0
 131  1561  360742T985E1                                                                                                                                                  -
 132  1573  6370249T58E1                                                                                                                                                  E
 133  1585  360742T9851E                                                                                                                                                  -
 134  1597  30647T2895E1                                                                                                                                                  0
 135  1609  0346T782591E                                                                                                                                                  -
 136  1621  30647T28519E                                                                                                                                                  9
 137  1633  0346T78215E9                                                                                                                                                  -
 138  1645  043T6872519E                                                                                                                                                  8
 139  1657  40T3862715E9                                                                                                                                                  -
 140  1669  043T6821759E                                                                                                                                                  70
