   1     1  1234567890ET                                                                                                                                                  
   2    13  1234568790ET                                                                                                                                                  (78)
   3    25  1253467890ET                                                                                                                                                  ?
   4    37  1234567890ET                                                                                                                                                  ?(345)
   5    49  1234567890ET                                                                                                                                                  =
   6    61  1234567890ET                                                                                                                                                  =
   7    73  1234567890ET                                                                                                                                                  =
   8    85  1234567890ET                                                                                                                                                  =
   9    97  1234567890ET                                                                                                                                                  =
  10   109  1234567890ET                                                                                                                                                  =
  11   121  1234567890ET                                                                                                                                                  =
  12   133  1234567890ET                                                                                                                                                  =
  13   145  1234567890ET                                                                                                                                                  =
  14   157  1234567890ET                                                                                                                                                  =
  15   169  1234567890ET                                                                                                                                                  =
  16   181  1234567890ET                                                                                                                                                  =
  17   193  1234567890ET                                                                                                                                                  =
  18   205  1234567890ET                                                                                                                                                  =
  19   217  1234567890ET                                                                                                                                                  =
  20   229  1234567890ET                                                                                                                                                  =
  21   241  1234567890ET                                                                                                                                                  =
  22   253  1234567890ET                                                                                                                                                  =
  23   265  1234567890ET                                                                                                                                                  =
  24   277  1234567890ET                                                                                                                                                  =
  25   289  1234567890ET                                                                                                                                                  =
  26   301  1234567890ET                                                                                                                                                  =
  27   313  1234567890ET                                                                                                                                                  =
  28   325  1234567890ET                                                                                                                                                  =
  29   337  1234567890ET                                                                                                                                                  =
  30   349  1234567890ET                                                                                                                                                  =
  31   361  1234567890ET                                                                                                                                                  =
  32   373  1234567890ET                                                                                                                                                  =
  33   385  1234567890ET                                                                                                                                                  =
  34   397  1234567890ET                                                                                                                                                  =
  35   409  1234567890ET                                                                                                                                                  =
  36   421  1234567890ET                                                                                                                                                  =
  37   433  1234567890ET                                                                                                                                                  =
  38   445  1234567890ET                                                                                                                                                  =
  39   457  1234567890ET                                                                                                                                                  =
  40   469  1234567890ET                                                                                                                                                  =
  41   481  1234576890ET                                                                                                                                                  (67)
  42   493  1234567890ET                                                                                                                                                  (67)
  43   505  1234567890ET                                                                                                                                                  =
  44   517  1324567890ET                                                                                                                                                  (23)
  45   529  1234567890ET                                                                                                                                                  (23)
  46   541  1234567890ET                                                                                                                                                  =
  47   553  1234567890ET                                                                                                                                                  =
  48   565  1234567890ET                                                                                                                                                  =
  49   577  1423567890ET                                                                                                                                                  ?(243)
  50   589  1234567890ET                                                                                                                                                  ?(234)
  51   601  1234567890ET                                                                                                                                                  =
  52   613  1234567890ET                                                                                                                                                  =
  53   625  1234567890ET                                                                                                                                                  =
  54   637  1234567890ET                                                                                                                                                  =
  55   649  1234567890ET                                                                                                                                                  =
  56   661  1234567890ET                                                                                                                                                  =
