   1     1  1234567890ET                                                                                                                                                  
   2    13  1234567890ET                                                                                                                                                  =
   3    25  1234567890ET                                                                                                                                                  =
   4    37  1234567890ET                                                                                                                                                  =
   5    49  1234567890ET                                                                                                                                                  =
   6    61  1234567890ET                                                                                                                                                  =
   7    73  1234567890ET                                                                                                                                                  =
   8    85  1234567890ET                                                                                                                                                  =
   9    97  1234567890ET                                                                                                                                                  =
  10   109  1234567890ET                                                                                                                                                  =
  11   121  1234567890ET                                                                                                                                                  =
  12   133  1234567890ET                                                                                                                                                  =
  13   145  1234567890ET                                                                                                                                                  =
  14   157  1234567890ET                                                                                                                                                  =
  15   169  1234567890ET                                                                                                                                                  =
  16   181  1234567890ET                                                                                                                                                  =
  17   193  1234567890ET                                                                                                                                                  =
  18   205  1234567890ET                                                                                                                                                  =
  19   217  2143658709TE                                                                                                                                                  -
  20   229  124638507T9E                                                                                                                                                  3
  21   241  21648305T7E9                                                                                                                                                  -
  22   253  261438507T9E                                                                                                                                                  4
  23   265  62418305T7E9                                                                                                                                                  -
  24   277  6214803T5E79                                                                                                                                                  25
  25   289  264108T3E597                                                                                                                                                  -
  26   301  6240183T5E79                                                                                                                                                  36
  27   313  260481T3E597                                                                                                                                                  -
  28   325  206418TE3957                                                                                                                                                  47
  29   337  024681ET9375                                                                                                                                                  -
  30   349  20648E1T3957                                                                                                                                                  58
  31   361  0246E8T19375                                                                                                                                                  -
  32   373  042E681T9735                                                                                                                                                  69
  33   385  40E286T17953                                                                                                                                                  -
  34   397  042E68T71935                                                                                                                                                  70
  35   409  40E2867T9153                                                                                                                                                  -
  36   421  4E08276T1935                                                                                                                                                  8
  37   433  E48072T69153                                                                                                                                                  -
  38   445  4E08276T9513                                                                                                                                                  9
  39   457  E48072T65931                                                                                                                                                  -
  40   469  E8470T256913                                                                                                                                                  0
  41   481  8E74T0529631                                                                                                                                                  -
  42   493  E8470T256931                                                                                                                                                  E
  43   505  8E74T0529613                                                                                                                                                  -
  44   517  87ET45092631                                                                                                                                                  0
  45   529  78TE54906213                                                                                                                                                  -
  46   541  87ET45096123                                                                                                                                                  9
  47   553  78TE54901632                                                                                                                                                  -
  48   565  7T85E9406123                                                                                                                                                  8
  49   577  T7589E041632                                                                                                                                                  -
  50   589  7T85E9014623                                                                                                                                                  70
  51   601  T7589E106432                                                                                                                                                  -
  52   613  T5798E016342                                                                                                                                                  69
  53   625  5T97E8103624                                                                                                                                                  -
  54   637  T579E1806342                                                                                                                                                  58
  55   649  5T971E083624                                                                                                                                                  -
  56   661  59T7E1038264                                                                                                                                                  47
  57   673  957T1E302846                                                                                                                                                  -
  58   685  5971TE038264                                                                                                                                                  36
  59   697  9517ET302846                                                                                                                                                  -
  60   709  9571E3T20486                                                                                                                                                  25
  61   721  59173E2T4068                                                                                                                                                  -
  62   733  5197E3T20486                                                                                                                                                  4
  63   745  15793E2T4068                                                                                                                                                  -
  64   757  517392E4T608                                                                                                                                                  3
  65   769  1537294E6T80                                                                                                                                                  -
  66   781  157392E4T608                                                                                                                                                  2
  67   793  5137294E6T80                                                                                                                                                  -
  68   805  15327496E8T0                                                                                                                                                  3
  69   817  512347698E0T                                                                                                                                                  -
  70   829  52137496E8T0                                                                                                                                                  4
  71   841  253147698E0T                                                                                                                                                  -
  72   853  2513467890ET                                                                                                                                                  25
  73   865  5231648709TE                                                                                                                                                  -
  74   877  2536147890ET                                                                                                                                                  36
  75   889  5263418709TE                                                                                                                                                  -
  76   901  562314807T9E                                                                                                                                                  47
  77   913  65324108T7E9                                                                                                                                                  -
  78   925  562340187T9E                                                                                                                                                  58
  79   937  65320481T7E9                                                                                                                                                  -
  80   949  63502418TE79                                                                                                                                                  69
  81   961  36054281ET97                                                                                                                                                  -
  82   973  6350248E1T79                                                                                                                                                  70
  83   985  360542E8T197                                                                                                                                                  -
  84   997  30645E281T79                                                                                                                                                  8
  85  1009  0346E582T197                                                                                                                                                  -
  86  1021  30645E28T917                                                                                                                                                  9
  87  1033  0346E5829T71                                                                                                                                                  -
  88  1045  043E68592T17                                                                                                                                                  0
  89  1057  40E38695T271                                                                                                                                                  -
  90  1069  043E68592T71                                                                                                                                                  E
  91  1081  40E38695T217                                                                                                                                                  -
  92  1093  4E08396T5271                                                                                                                                                  0
  93  1105  E48093T62517                                                                                                                                                  -
  94  1117  4E08396T2157                                                                                                                                                  9
  95  1129  E48093T61275                                                                                                                                                  -
  96  1141  E8490T362157                                                                                                                                                  8
  97  1153  8E94T0631275                                                                                                                                                  -
  98  1165  E8490T613257                                                                                                                                                  70
  99  1177  8E94T0162375                                                                                                                                                  -
 100  1189  89ET40612735                                                                                                                                                  69
 101  1201  98TE04167253                                                                                                                                                  -
 102  1213  89ET01462735                                                                                                                                                  58
 103  1225  98TE10647253                                                                                                                                                  -
 104  1237  9T8E01674523                                                                                                                                                  47
 105  1249  T9E810765432                                                                                                                                                  -
 106  1261  9TE180674523                                                                                                                                                  36
 107  1273  T91E08765432                                                                                                                                                  -
 108  1285  T9E107856342                                                                                                                                                  25
 109  1297  9T1E70583624                                                                                                                                                  -
 110  1309  91TE07856342                                                                                                                                                  4
 111  1321  19ET70583624                                                                                                                                                  -
 112  1333  91E7T5038264                                                                                                                                                  3
 113  1345  197E5T302846                                                                                                                                                  -
 114  1357  19E7T5038264                                                                                                                                                  2
 115  1369  917E5T302846                                                                                                                                                  -
 116  1381  1975E3T20486                                                                                                                                                  3
 117  1393  91573E2T4068                                                                                                                                                  -
 118  1405  9517E3T20486                                                                                                                                                  4
 119  1417  59713E2T4068                                                                                                                                                  -
 120  1429  591732E4T608                                                                                                                                                  25
 121  1441  9571234E6T80                                                                                                                                                  -
 122  1453  597213E4T608                                                                                                                                                  36
 123  1465  9527314E6T80                                                                                                                                                  -
 124  1477  92571346E8T0                                                                                                                                                  47
 125  1489  297531648E0T                                                                                                                                                  -
 126  1501  92573614E8T0                                                                                                                                                  58
 127  1513  297563418E0T                                                                                                                                                  -
 128  1525  2796531480ET                                                                                                                                                  69
 129  1537  7269354108TE                                                                                                                                                  -
 130  1549  2796534018ET                                                                                                                                                  70
 131  1561  7269350481TE                                                                                                                                                  -
 132  1573  7623905418ET                                                                                                                                                  8
 133  1585  6732094581TE                                                                                                                                                  -
 134  1597  762390548T1E                                                                                                                                                  9
 135  1609  67320945T8E1                                                                                                                                                  -
 136  1621  6370249T581E                                                                                                                                                  0
 137  1633  360742T985E1                                                                                                                                                  -
 138  1645  6370249T58E1                                                                                                                                                  E
 139  1657  360742T9851E                                                                                                                                                  -
 140  1669  30647T2895E1                                                                                                                                                  0
