Bell No,Actual Time,Contest Model,HawkEar Model,RWP Model,Metronomic Model
1,1990,1990,1990,2208.32,1990
2,2280,2214.35,2214.35,2418.47,2190.75
3,2510,2438.7,2438.7,2628.61,2391.5
4,2720,2663.04,2663.04,2838.76,2592.25
5,2900,2887.39,2887.39,3048.9,2793.01
6,3210,3111.74,3111.74,3259.05,2993.76
7,3370,3336.09,3336.09,3469.2,3194.51
8,3650,3560.43,3560.43,3679.34,3395.26
9,3870,3784.78,3784.78,3889.49,3596.01
10,4080,4009.13,4009.13,4099.63,3796.76
11,4240,4233.48,4233.48,4309.78,3997.51
12,4490,4457.83,4457.83,4519.93,4198.26
1,4830,4682.17,4682.17,4730.07,4399.02
2,5110,4906.52,4906.52,4940.22,4599.77
3,5270,5130.87,5130.87,5150.37,4800.52
4,5550,5355.22,5355.22,5360.51,5001.27
5,5670,5579.57,5579.57,5570.66,5202.02
6,5870,5803.91,5803.91,5780.8,5402.77
7,5990,6028.26,6028.26,5990.95,5603.52
8,6270,6252.61,6252.61,6201.1,5804.28
9,6410,6476.96,6476.96,6411.24,6005.03
10,6680,6701.3,6701.3,6621.39,6205.78
11,6890,6925.65,6925.65,6831.53,6406.53
12,7150,7150,7150,7041.68,6607.28
1,7620,7592.74,7594.55,7548.74,7008.78
2,7800,7799.09,7800.79,7758.88,7209.54
3,7980,8005.45,8007.03,7969.03,7410.29
4,8210,8211.8,8213.27,8179.17,7611.04
5,8360,8418.16,8419.5,8389.32,7811.79
6,8590,8624.51,8625.74,8599.47,8012.54
7,8810,8830.87,8831.98,8809.61,8213.29
8,9070,9037.22,9038.22,9019.76,8414.04
9,9310,9243.58,9244.46,9229.91,8614.79
10,9490,9449.93,9450.7,9440.05,8815.55
11,9620,9656.29,9656.94,9650.2,9016.3
12,9900,9862.64,9863.18,9860.34,9217.05
1,10010,10069,10069.4,10070.5,9417.8
2,10290,10275.4,10275.7,10280.6,9618.55
3,10490,10481.7,10481.9,10490.8,9819.3
4,10760,10688.1,10688.1,10700.9,10020.1
5,10910,10894.4,10894.4,10911.1,10220.8
6,11110,11100.8,11100.6,11121.2,10421.6
7,11250,11307.1,11306.9,11331.4,10622.3
8,11510,11513.5,11513.1,11541.5,10823.1
9,11650,11719.8,11719.3,11751.7,11023.8
10,11900,11926.2,11925.6,11961.8,11224.6
11,12160,12132.5,12131.8,12172,11425.3
12,12370,12338.9,12338.1,12382.1,11626.1
1,12810,12784.7,12768.7,12764.7,12027.6
2,13000,12989.1,12974.1,12970.9,12228.3
3,13190,13193.5,13179.5,13177,12429.1
4,13430,13397.9,13384.9,13383.2,12629.8
5,13580,13602.3,13590.4,13589.3,12830.6
6,13790,13806.7,13795.8,13795.5,13031.3
7,13980,14011.1,14001.2,14001.6,13232.1
8,14270,14215.5,14206.6,14207.8,13432.8
9,14370,14419.9,14412.1,14413.9,13633.6
10,14590,14624.3,14617.5,14620,13834.3
11,14780,14828.7,14822.9,14826.2,14035.1
12,15050,15033.1,15028.3,15032.3,14235.8
1,15210,15237.5,15233.8,15238.5,14436.6
2,15480,15441.9,15439.2,15444.6,14637.3
3,15670,15646.3,15644.6,15650.8,14838.1
4,15910,15850.7,15850,15856.9,15038.8
5,16070,16055.1,16055.4,16063.1,15239.6
6,16260,16259.5,16260.9,16269.2,15440.3
7,16430,16463.9,16466.3,16475.4,15641.1
8,16710,16668.3,16671.7,16681.5,15841.8
9,16820,16872.7,16877.1,16887.7,16042.6
10,17070,17077.1,17082.6,17093.8,16243.3
11,17300,17281.5,17288,17300,16444.1
12,17480,17485.9,17493.4,17506.1,16644.8
1,17980,17941.4,17925.1,17922.2,17046.4
2,18180,18144.3,18129.1,18126.9,17247.1
3,18350,18347.3,18333,18331.5,17447.9
4,18540,18550.2,18537,18536.2,17648.6
5,18720,18753.1,18741,18740.9,17849.4
6,18930,18956.1,18945,18945.5,18050.1
7,19130,19159,19148.9,19150.2,18250.9
8,19300,19361.9,19352.9,19354.8,18451.6
9,19590,19564.9,19556.9,19559.5,18652.4
10,19750,19767.8,19760.9,19764.2,18853.1
11,19940,19970.7,19964.8,19968.8,19053.9
12,20200,20173.7,20168.8,20173.5,19254.6
1,20400,20376.6,20372.8,20378.2,19455.4
2,20600,20579.5,20576.8,20582.8,19656.1
3,20780,20782.5,20780.8,20787.5,19856.9
4,21080,20985.4,20984.7,20992.2,20057.6
5,21260,21188.3,21188.7,21196.8,20258.4
6,21420,21391.3,21392.7,21401.5,20459.1
7,21570,21594.2,21596.7,21606.2,20659.9
8,21740,21797.1,21800.6,21810.8,20860.6
9,21990,22000.1,22004.6,22015.5,21061.4
10,22180,22203,22208.6,22220.1,21262.1
11,22360,22405.9,22412.6,22424.8,21462.9
12,22630,22608.9,22616.5,22629.5,21663.6
1,23080,23056.3,23024.7,23035.7,22065.1
2,23270,23257.8,23228.6,23238.8,22265.9
3,23480,23459.2,23432.5,23441.9,22466.6
4,23670,23660.7,23636.4,23645,22667.4
5,23830,23862.1,23840.3,23848.2,22868.1
6,24030,24063.6,24044.2,24051.3,23068.9
7,24200,24265,24248.1,24254.4,23269.6
