Bell No,Actual Time,Contest Model,HawkEar Model,RWP Model,Metronomic Model
1,1990,1990,1990,2214.64,1990
2,2290,2223.48,2223.48,2433.66,2198.98
3,2500,2456.96,2456.96,2652.68,2407.96
4,2750,2690.43,2690.43,2871.69,2616.93
5,2940,2923.91,2923.91,3090.71,2825.91
6,3210,3157.39,3157.39,3309.73,3034.89
7,3400,3390.87,3390.87,3528.74,3243.87
8,3670,3624.35,3624.35,3747.76,3452.85
9,3990,3857.83,3857.83,3966.78,3661.83
10,4210,4091.3,4091.3,4185.79,3870.8
11,4510,4324.78,4324.78,4404.81,4079.78
12,4690,4558.26,4558.26,4623.83,4288.76
1,4970,4791.74,4791.74,4842.84,4497.74
2,5250,5025.22,5025.22,5061.86,4706.72
3,5370,5258.7,5258.7,5280.87,4915.7
4,5590,5492.17,5492.17,5499.89,5124.67
5,5820,5725.65,5725.65,5718.91,5333.65
6,6030,5959.13,5959.13,5937.92,5542.63
7,6160,6192.61,6192.61,6156.94,5751.61
8,6350,6426.09,6426.09,6375.96,5960.59
9,6620,6659.57,6659.57,6594.97,6169.57
10,6830,6893.04,6893.04,6813.99,6378.54
11,7100,7126.52,7126.52,7033.01,6587.52
12,7360,7360,7360,7252.02,6796.5
1,7810,7821.26,7822.93,7727.56,7214.46
2,8070,8032.16,8033.72,7946.58,7423.44
3,8250,8243.06,8244.52,8165.59,7632.41
4,8480,8453.97,8455.31,8384.61,7841.39
5,8640,8664.87,8666.11,8603.63,8050.37
6,8860,8875.77,8876.9,8822.64,8259.35
7,9060,9086.67,9087.7,9041.66,8468.33
8,9270,9297.57,9298.5,9260.68,8677.31
9,9500,9508.47,9509.29,9479.69,8886.28
10,9720,9719.38,9720.09,9698.71,9095.26
11,9900,9930.28,9930.88,9917.73,9304.24
12,10200,10141.2,10141.7,10136.7,9513.22
1,10380,10352.1,10352.5,10355.8,9722.2
2,10610,10563,10563.3,10574.8,9931.18
3,10770,10773.9,10774.1,10793.8,10140.2
4,10910,10984.8,10984.9,11012.8,10349.1
5,11190,11195.7,11195.7,11231.8,10558.1
6,11410,11406.6,11406.4,11450.8,10767.1
7,11600,11617.5,11617.2,11669.9,10976.1
8,11840,11828.4,11828,11888.9,11185
9,12040,12039.3,12038.8,12107.9,11394
10,12230,12250.2,12249.6,12326.9,11603
11,12490,12461.1,12460.4,12545.9,11812
12,12680,12672,12671.2,12764.9,12021
1,13190,13147.8,13123.5,13080.9,12438.9
2,13390,13355.5,13332.7,13294.4,12647.9
3,13580,13563.2,13541.9,13508,12856.9
4,13800,13770.9,13751.2,13721.6,13065.9
5,13960,13978.6,13960.4,13935.2,13274.8
6,14200,14186.3,14169.7,14148.8,13483.8
7,14320,14393.9,14378.9,14362.4,13692.8
8,14540,14601.6,14588.1,14575.9,13901.8
9,14780,14809.3,14797.4,14789.5,14110.7
10,14980,15017,15006.6,15003.1,14319.7
11,15190,15224.7,15215.8,15216.7,14528.7
12,15450,15432.3,15425.1,15430.3,14737.7
1,15670,15640,15634.3,15643.9,14946.7
2,15900,15847.7,15843.6,15857.5,15155.6
3,16060,16055.4,16052.8,16071,15364.6
4,16310,16263.1,16262,16284.6,15573.6
5,16500,16470.7,16471.3,16498.2,15782.6
6,16710,16678.4,16680.5,16711.8,15991.5
7,16870,16886.1,16889.7,16925.4,16200.5
8,17070,17093.8,17099,17139,16409.5
9,17280,17301.5,17308.2,17352.6,16618.5
10,17490,17509.2,17517.5,17566.1,16827.5
11,17720,17716.8,17726.7,17779.7,17036.4
12,17930,17924.5,17935.9,17993.3,17245.4
1,18390,18406.5,18382.8,18338.1,17663.4
2,18650,18613,18590.9,18550.6,17872.4
3,18840,18819.5,18798.9,18763.1,18081.3
4,19040,19026,19006.9,18975.7,18290.3
5,19220,19232.6,19215,19188.2,18499.3
6,19440,19439.1,19423,19400.7,18708.3
7,19640,19645.6,19631,19613.2,18917.2
8,19810,19852.2,19839.1,19825.7,19126.2
9,20080,20058.7,20047.1,20038.3,19335.2
10,20270,20265.2,20255.1,20250.8,19544.2
11,20440,20471.7,20463.2,20463.3,19753.2
12,20670,20678.3,20671.2,20675.8,19962.1
1,20880,20884.8,20879.3,20888.3,20171.1
2,21090,21091.3,21087.3,21100.9,20380.1
3,21300,21297.8,21295.3,21313.4,20589.1
4,21530,21504.4,21503.4,21525.9,20798
5,21730,21710.9,21711.4,21738.4,21007
6,21920,21917.4,21919.4,21950.9,21216
7,22140,22123.9,22127.5,22163.5,21425
8,22330,22330.5,22335.5,22376,21634
9,22510,22537,22543.6,22588.5,21842.9
10,22740,22743.5,22751.6,22801,22051.9
11,22940,22950,22959.6,23013.6,22260.9
12,23170,23156.6,23167.7,23226.1,22469.9
2,23690,23644.9,23605.1,23594.3,22887.8
1,23840,23851.3,23813.6,23805.3,23096.8
4,24070,24057.6,24022.1,24016.2,23305.8
3,24300,24264,24230.7,24227.2,23514.8
6,24480,24470.3,24439.2,24438.2,23723.7
5,24690,24676.7,24647.7,24649.1,23932.7
8,24830,24883,24856.3,24860.1,24141.7
7,25070,25089.4,25064.8,25071.1,24350.7
10,25290,25295.8,25273.4,25282,24559.7
9,25530,25502.1,25481.9,25493,24768.6
12,25670,25708.5,25690.4,25704,24977.6
11,25830,25914.8,25899,25914.9,25186.6
1,26130,26121.2,26107.5,26125.9,25395.6
2,26400,26327.5,26316.1,26336.9,25604.6
4,26550,26533.9,26524.6,26547.8,25813.5
6,26810,26740.3,26733.1,26758.8,26022.5
3,27020,26946.6,26941.7,26969.8,26231.5
8,27080,27153,27150.2,27180.7,26440.5
5,27370,27359.3,27358.8,27391.7,26649.4
10,27640,27565.7,27567.3,27602.7,26858.4
7,27720,27772.1,27775.8,27813.6,27067.4
12,27950,27978.4,27984.4,28024.6,27276.4
9,28130,28184.8,28192.9,28235.6,27485.4
11,28400,28391.1,28401.5,28446.5,27694.3
2,28880,28854.7,28803.8,28776.4,28112.3
1,29020,29058.1,29011.8,28986.2,28321.3
6,29240,29261.4,29219.8,29196,28530.2
4,29450,29464.8,29427.8,29405.7,28739.2
8,29590,29668.1,29635.8,29615.5,28948.2
3,29890,29871.5,29843.8,29825.3,29157.2
10,30120,30074.8,30051.7,30035,29366.2
5,30330,30278.2,30259.7,30244.8,29575.1
12,30470,30481.5,30467.7,30454.6,29784.1
7,30670,30684.9,30675.7,30664.3,29993.1
11,30900,30888.2,30883.7,30874.1,30202.1
9,31060,31091.6,31091.6,31083.9,30411.1
2,31290,31295,31299.6,31293.6,30620
6,31450,31498.3,31507.6,31503.4,30829
