Bell No,Actual Time,Contest Model,HawkEar Model,RWP Model,Metronomic Model
1,1980,1980,1980,2323.44,1980
2,2230,2212.61,2212.61,2535.39,2188.57
3,2490,2445.22,2445.22,2747.34,2397.14
4,2800,2677.83,2677.83,2959.29,2605.7
5,3040,2910.43,2910.43,3171.23,2814.27
6,3290,3143.04,3143.04,3383.18,3022.84
7,3530,3375.65,3375.65,3595.13,3231.41
8,3770,3608.26,3608.26,3807.07,3439.98
9,4030,3840.87,3840.87,4019.02,3648.55
10,4200,4073.48,4073.48,4230.97,3857.11
11,4480,4306.09,4306.09,4442.91,4065.68
12,4890,4538.7,4538.7,4654.86,4274.25
1,5090,4771.3,4771.3,4866.81,4482.82
2,5340,5003.91,5003.91,5078.75,4691.39
4,5380,5236.52,5236.52,5290.7,4899.95
3,5420,5469.13,5469.13,5502.65,5108.52
5,5820,5701.74,5701.74,5714.59,5317.09
6,6020,5934.35,5934.35,5926.54,5525.66
7,6260,6166.96,6166.96,6138.49,5734.23
8,6440,6399.57,6399.57,6350.43,5942.8
9,6560,6632.17,6632.17,6562.38,6151.36
10,6780,6864.78,6864.78,6774.33,6359.93
11,7090,7097.39,7097.39,6986.28,6568.5
12,7330,7330,7330,7198.22,6777.07
1,7750,7778,7783.55,7736.36,7194.21
2,7980,7986.43,7991.62,7948.31,7402.77
3,8240,8194.85,8199.7,8160.26,7611.34
4,8370,8403.28,8407.77,8372.2,7819.91
5,8640,8611.71,8615.85,8584.15,8028.48
6,8780,8820.14,8823.92,8796.1,8237.05
7,9080,9028.57,9031.99,9008.04,8445.61
8,9260,9237,9240.07,9219.99,8654.18
9,9410,9445.43,9448.14,9431.94,8862.75
10,9610,9653.85,9656.22,9643.88,9071.32
11,9840,9862.28,9864.29,9855.83,9279.89
12,10030,10070.7,10072.4,10067.8,9488.46
1,10310,10279.1,10280.4,10279.7,9697.02
2,10510,10487.6,10488.5,10491.7,9905.59
3,10720,10696,10696.6,10703.6,10114.2
4,10880,10904.4,10904.7,10915.6,10322.7
5,11140,11112.9,11112.7,11127.5,10531.3
6,11330,11321.3,11320.8,11339.5,10739.9
7,11550,11529.7,11528.9,11551.4,10948.4
8,11730,11738.1,11737,11763.4,11157
9,11930,11946.6,11945,11975.3,11365.6
10,12120,12155,12153.1,12187.2,11574.1
11,12380,12363.4,12361.2,12399.2,11782.7
12,12580,12571.9,12569.3,12611.1,11991.3
1,12980,13003.7,12992.3,13001.5,12408.4
2,13170,13209,13198.4,13206.9,12617
