Bell No,Actual Time,Contest Model,HawkEar Model,RWP Model,Metronomic Model
1,1990,1990,1990,2178.25,1990
2,2290,2264.74,2264.74,2432.01,2234.57
3,2540,2539.47,2539.47,2685.78,2479.14
4,2790,2814.21,2814.21,2939.54,2723.71
5,3120,3088.95,3088.95,3193.3,2968.28
6,3350,3363.68,3363.68,3447.07,3212.85
7,3680,3638.42,3638.42,3700.83,3457.42
8,3950,3913.16,3913.16,3954.59,3701.99
9,4240,4187.89,4187.89,4208.36,3946.56
10,4580,4462.63,4462.63,4462.12,4191.13
1,4740,4737.37,4737.37,4715.88,4435.7
2,5020,5012.11,5012.11,4969.64,4680.27
3,5330,5286.84,5286.84,5223.41,4924.84
4,5530,5561.58,5561.58,5477.17,5169.41
5,5750,5836.32,5836.32,5730.93,5413.98
6,6040,6111.05,6111.05,5984.7,5658.55
7,6280,6385.79,6385.79,6238.46,5903.12
8,6520,6660.53,6660.53,6492.22,6147.69
9,6830,6935.26,6935.26,6745.99,6392.26
10,7210,7210,7210,6999.75,6636.83
1,7590,7624.28,7665.76,7556.75,7125.97
2,7840,7872.03,7910.31,7810.51,7370.54
3,8100,8119.78,8154.87,8064.28,7615.12
4,8330,8367.52,8399.42,8318.04,7859.69
5,8550,8615.27,8643.98,8571.8,8104.26
6,8840,8863.02,8888.53,8825.57,8348.83
7,9110,9110.76,9133.08,9079.33,8593.4
8,9330,9358.51,9377.64,9333.09,8837.97
9,9600,9606.26,9622.19,9586.86,9082.54
10,9870,9854,9866.75,9840.62,9327.11
1,10100,10101.8,10111.3,10094.4,9571.68
2,10340,10349.5,10355.9,10348.1,9816.25
3,10610,10597.2,10600.4,10601.9,10060.8
4,10830,10845,10845,10855.7,10305.4
5,11050,11092.7,11089.5,11109.4,10550
6,11370,11340.5,11334.1,11363.2,10794.5
7,11600,11588.2,11578.6,11617,11039.1
8,11830,11836,11823.2,11870.7,11283.7
9,12110,12083.7,12067.7,12124.5,11528.2
10,12350,12331.5,12312.3,12378.3,11772.8
1,12910,12835.5,12829.5,12838.2,12261.9
2,13100,13084.2,13078.7,13087.2,12506.5
3,13340,13332.9,13327.8,13336.1,12751.1
4,13620,13581.6,13577,13585,12995.7
5,13810,13830.3,13826.2,13833.9,13240.2
6,14080,14079,14075.3,14082.9,13484.8
7,14300,14327.7,14324.5,14331.8,13729.4
8,14540,14576.4,14573.6,14580.7,13973.9
9,14820,14825.1,14822.8,14829.6,14218.5
10,15080,15073.8,15071.9,15078.5,14463.1
1,15350,15322.5,15321.1,15327.5,14707.7
2,15580,15571.2,15570.2,15576.4,14952.2
3,15850,15819.9,15819.4,15825.3,15196.8
4,16070,16068.6,16068.5,16074.2,15441.4
5,16320,16317.3,16317.7,16323.1,15685.9
6,16540,16566,16566.8,16572.1,15930.5
7,16830,16814.7,16816,16821,16175.1
8,17070,17063.4,17065.1,17069.9,16419.6
9,17300,17312.1,17314.3,17318.8,16664.2
10,17550,17560.8,17563.5,17567.8,16908.8
1,18050,18023.6,18036.8,18021.3,17397.9
2,18270,18271.8,18283.9,18269.5,17642.5
3,18500,18520,18531.1,18517.6,17887.1
4,18770,18768.1,18778.3,18765.8,18131.6
5,19000,19016.3,19025.4,19014,18376.2
6,19230,19264.5,19272.6,19262.2,18620.8
7,19490,19512.6,19519.7,19510.4,18865.3
8,19770,19760.8,19766.9,19758.5,19109.9
9,19990,20009,20014.1,20006.7,19354.5
10,20320,20257.2,20261.2,20254.9,19599.1
1,20520,20505.3,20508.4,20503.1,19843.6
2,20730,20753.5,20755.5,20751.3,20088.2
3,21000,21001.7,21002.7,20999.5,20332.8
4,21200,21249.8,21249.8,21247.6,20577.3
5,21450,21498,21497,21495.8,20821.9
6,21760,21746.2,21744.2,21744,21066.5
7,21990,21994.4,21991.3,21992.2,21311
8,22260,22242.5,22238.5,22240.4,21555.6
9,22500,22490.7,22485.6,22488.5,21800.2
10,22780,22738.9,22732.8,22736.7,22044.8
1,23250,23214.7,23231.4,23225.8,22533.9
2,23490,23463.8,23478.7,23474,22778.5
3,23700,23713,23726.1,23722.1,23023
