Bell No,Actual Time,Contest Model,HawkEar Model,RWP Model,Metronomic Model
1,1990,1990,1990,2305.14,1990
2,2220,2225.22,2225.22,2520.67,2195.79
3,2520,2460.43,2460.43,2736.21,2401.58
4,2740,2695.65,2695.65,2951.74,2607.38
5,3000,2930.87,2930.87,3167.27,2813.17
6,3240,3166.09,3166.09,3382.8,3018.96
7,3510,3401.3,3401.3,3598.33,3224.75
8,3760,3636.52,3636.52,3813.86,3430.54
9,3990,3871.74,3871.74,4029.39,3636.33
10,4270,4106.96,4106.96,4244.92,3842.13
11,4480,4342.17,4342.17,4460.45,4047.92
12,4800,4577.39,4577.39,4675.98,4253.71
1,4990,4812.61,4812.61,4891.52,4459.5
2,5240,5047.83,5047.83,5107.05,4665.29
3,5450,5283.04,5283.04,5322.58,4871.08
4,5690,5518.26,5518.26,5538.11,5076.88
5,5870,5753.48,5753.48,5753.64,5282.67
6,6090,5988.7,5988.7,5969.17,5488.46
7,6270,6223.91,6223.91,6184.7,5694.25
8,6450,6459.13,6459.13,6400.23,5900.04
9,6670,6694.35,6694.35,6615.76,6105.84
10,6920,6929.57,6929.57,6831.29,6311.63
11,7250,7164.78,7164.78,7046.83,6517.42
12,7400,7400,7400,7262.36,6723.21
1,7900,7885.92,7880.41,7859.73,7134.79
2,8130,8099.08,8093.93,8075.26,7340.59
3,8330,8312.24,8307.44,8290.79,7546.38
4,8530,8525.4,8520.95,8506.32,7752.17
5,8730,8738.56,8734.46,8721.85,7957.96
6,8910,8951.72,8947.97,8937.38,8163.75
7,9140,9164.88,9161.48,9152.91,8369.54
8,9350,9378.04,9374.99,9368.44,8575.34
9,9540,9591.2,9588.5,9583.97,8781.13
10,9790,9804.36,9802.01,9799.51,8986.92
11,9980,10017.5,10015.5,10015,9192.71
12,10290,10230.7,10229,10230.6,9398.5
1,10480,10443.8,10442.5,10446.1,9604.3
2,10710,10657,10656.1,10661.6,9810.09
3,10900,10870.2,10869.6,10877.2,10015.9
4,11120,11083.3,11083.1,11092.7,10221.7
5,11370,11296.5,11296.6,11308.2,10427.5
6,11520,11509.6,11510.1,11523.8,10633.3
7,11720,11722.8,11723.6,11739.3,10839
8,11910,11936,11937.1,11954.8,11044.8
9,12110,12149.1,12150.6,12170.3,11250.6
10,12330,12362.3,12364.1,12385.9,11456.4
11,12530,12575.4,12577.7,12601.4,11662.2
12,12800,12788.6,12791.2,12816.9,11868
1,13250,13235.4,13222.1,13223.1,12279.6
2,13480,13443.7,13431.3,13432.2,12485.4
3,13650,13652,13640.4,13641.4,12691.2
4,13840,13860.3,13849.6,13850.5,12897
5,14080,14068.6,14058.7,14059.7,13102.8
6,14240,14276.9,14267.9,14268.8,13308.5
7,14460,14485.2,14477,14478,13514.3
8,14650,14693.5,14686.2,14687.1,13720.1
9,14840,14901.8,14895.3,14896.3,13925.9
10,15110,15110.1,15104.5,15105.4,14131.7
11,15310,15318.4,15313.6,15314.6,14337.5
12,15560,15526.7,15522.8,15523.8,14543.3
1,15730,15735,15731.9,15732.9,14749.1
2,15980,15943.3,15941.1,15942.1,14954.9
3,16170,16151.6,16150.2,16151.2,15160.7
4,16350,16360,16359.4,16360.4,15366.5
5,16550,16568.3,16568.5,16569.5,15572.3
6,16740,16776.6,16777.7,16778.7,15778
7,16980,16984.9,16986.8,16987.8,15983.8
8,17210,17193.2,17196,17197,16189.6
9,17400,17401.5,17405.1,17406.1,16395.4
10,17620,17609.8,17614.3,17615.3,16601.2
11,17840,17818.1,17823.4,17824.5,16807
12,18040,18026.4,18032.6,18033.6,17012.8
1,18520,18478.5,18465.3,18476.4,17424.4
2,18720,18685.8,18673.4,18683.9,17630.2
3,18900,18893.1,18881.5,18891.3,17836
4,19070,19100.4,19089.6,19098.8,18041.8
5,19300,19307.6,19297.7,19306.2,18247.5
6,19490,19514.9,19505.8,19513.7,18453.3
7,19690,19722.2,19714,19721.1,18659.1
8,19890,19929.4,19922.1,19928.6,18864.9
9,20080,20136.7,20130.2,20136,19070.7
10,20330,20344,20338.3,20343.5,19276.5
11,20560,20551.2,20546.4,20550.9,19482.3
12,20790,20758.5,20754.6,20758.4,19688.1
1,21020,20965.8,20962.7,20965.8,19893.9
2,21240,21173.1,21170.8,21173.3,20099.7
3,21410,21380.3,21378.9,21380.7,20305.5
4,21600,21587.6,21587,21588.2,20511.3
5,21780,21794.9,21795.2,21795.6,20717.1
6,21960,22002.1,22003.3,22003.1,20922.8
7,22190,22209.4,22211.4,22210.5,21128.6
8,22420,22416.7,22419.5,22417.9,21334.4
9,22560,22623.9,22627.6,22625.4,21540.2
10,22840,22831.2,22835.7,22832.8,21746
11,23070,23038.5,23043.9,23040.3,21951.8
12,23260,23245.8,23252,23247.7,22157.6
1,23730,23697.8,23670,23693.8,22569.2
2,23930,23903.7,23878.1,23900.1,22775
3,24090,24109.6,24086.2,24106.4,22980.8
4,24270,24315.5,24294.2,24312.7,23186.6
5,24520,24521.4,24502.3,24519,23392.3
6,24720,24727.3,24710.4,24725.3,23598.1
7,24940,24933.3,24918.5,24931.6,23803.9
8,25120,25139.2,25126.5,25137.9,24009.7
9,25330,25345.1,25334.6,25344.2,24215.5
10,25510,25551,25542.7,25550.5,24421.3
11,25750,25756.9,25750.8,25756.8,24627.1
12,25990,25962.8,25958.9,25963.1,24832.9
1,26250,26168.8,26166.9,26169.4,25038.7
2,26460,26374.7,26375,26375.7,25244.5
3,26630,26580.6,26583.1,26582,25450.3
4,26780,26786.5,26791.2,26788.3,25656.1
5,26980,26992.4,26999.3,26994.6,25861.8
6,27160,27198.3,27207.3,27200.9,26067.6
7,27390,27404.3,27415.4,27407.2,26273.4
8,27580,27610.2,27623.5,27613.5,26479.2
9,27780,27816.1,27831.6,27819.8,26685
10,28040,28022,28039.7,28026.1,26890.8
11,28210,28227.9,28247.7,28232.4,27096.6
12,28430,28433.8,28455.8,28438.7,27302.4
1,28870,28878.3,28860.4,28877.9,27714
2,29070,29084,29068.1,29083.4,27919.8
3,29290,29289.8,29275.8,29289,28125.6
4,29480,29495.6,29483.6,29494.6,28331.3
5,29690,29701.4,29691.3,29700.2,28537.1
6,29880,29907.1,29899,29905.8,28742.9
7,30120,30112.9,30106.7,30111.4,28948.7
8,30290,30318.7,30314.4,30316.9,29154.5
9,30510,30524.5,30522.1,30522.5,29360.3
10,30690,30730.2,30729.8,30728.1,29566.1
11,30910,30936,30937.5,30933.7,29771.9
12,31180,31141.8,31145.2,31139.3,29977.7
1,31410,31347.5,31352.9,31344.9,30183.5
2,31610,31553.3,31560.6,31550.5,30389.3
3,31800,31759.1,31768.3,31756,30595.1
4,31970,31964.9,31976.1,31961.6,30800.8
5,32140,32170.6,32183.8,32167.2,31006.6
6,32330,32376.4,32391.5,32372.8,31212.4
7,32570,32582.2,32599.2,32578.4,31418.2
8,32780,32788,32806.9,32784,31624
9,32970,32993.7,33014.6,32989.6,31829.8
10,33210,33199.5,33222.3,33195.1,32035.6
11,33420,33405.3,33430,33400.7,32241.4
12,33620,33611,33637.7,33606.3,32447.2
1,34020,34049.5,34037.5,34050.2,32858.8
2,34260,34255.1,34244.7,34255.4,33064.6
3,34480,34460.7,34452,34460.7,33270.3
4,34650,34666.4,34659.2,34665.9,33476.1
5,34850,34872,34866.5,34871.1,33681.9
6,35060,35077.6,35073.7,35076.4,33887.7
7,35270,35283.3,35281,35281.6,34093.5
8,35460,35488.9,35488.2,35486.8,34299.3
9,35650,35694.5,35695.4,35692.1,34505.1
10,35910,35900.1,35902.7,35897.3,34710.9
11,36060,36105.8,36109.9,36102.6,34916.7
12,36340,36311.4,36317.2,36307.8,35122.5
1,36540,36517,36524.4,36513,35328.3
2,36760,36722.7,36731.7,36718.3,35534.1
3,36940,36928.3,36938.9,36923.5,35739.8
4,37150,37133.9,37146.2,37128.7,35945.6
5,37330,37339.5,37353.4,37334,36151.4
6,37520,37545.2,37560.6,37539.2,36357.2
7,37740,37750.8,37767.9,37744.5,36563
8,37940,37956.4,37975.1,37949.7,36768.8
9,38130,38162.1,38182.4,38154.9,36974.6
10,38400,38367.7,38389.6,38360.2,37180.4
11,38600,38573.3,38596.9,38565.4,37386.2
12,38790,38778.9,38804.1,38770.6,37592
1,39210,39211.8,39202.1,39211.2,38003.6
2,39420,39417.2,39408.9,39416.2,38209.4
3,39560,39622.5,39615.7,39621.2,38415.1
4,39790,39827.9,39822.4,39826.2,38620.9
5,40020,40033.2,40029.2,40031.2,38826.7
6,40210,40238.5,40236,40236.2,39032.5
7,40450,40443.9,40442.7,40441.2,39238.3
8,40650,40649.2,40649.5,40646.2,39444.1
9,40830,40854.6,40856.3,40851.2,39649.9
10,41050,41059.9,41063.1,41056.2,39855.7
11,41260,41265.3,41269.8,41261.2,40061.5
12,41470,41470.6,41476.6,41466.2,40267.3
1,41710,41675.9,41683.4,41671.3,40473.1
2,41930,41881.3,41890.1,41876.3,40678.9
3,42120,42086.6,42096.9,42081.3,40884.6
4,42290,42292,42303.7,42286.3,41090.4
5,42470,42497.3,42510.4,42491.3,41296.2
