Bell No,Actual Time,Contest Model,HawkEar Model,RWP Model,Metronomic Model
1,1990,1990,1990,2355.83,1990
2,2270,2230,2230,2568.19,2189.64
3,2490,2470,2470,2780.54,2389.27
4,2740,2710,2710,2992.9,2588.91
5,3020,2950,2950,3205.25,2788.54
6,3380,3190,3190,3417.61,2988.18
7,3700,3430,3430,3629.96,3187.81
8,4000,3670,3670,3842.32,3387.45
9,4320,3910,3910,4054.67,3587.08
10,4430,4150,4150,4267.03,3786.72
11,4600,4390,4390,4479.38,3986.35
12,5040,4630,4630,4691.74,4185.99
3,4750,4870,4870,4904.09,4385.63
1,5240,5110,5110,5116.45,4585.26
2,5480,5350,5350,5328.8,4784.9
5,5670,5590,5590,5541.16,4984.53
6,5780,5830,5830,5753.51,5184.17
4,5810,6070,6070,5965.87,5383.8
7,5990,6310,6310,6178.22,5583.44
8,6260,6550,6550,6390.58,5783.07
9,6670,6790,6790,6602.93,5982.71
10,6900,7030,7030,6815.29,6182.35
11,7110,7270,7270,7027.64,6381.98
12,7510,7510,7510,7240,6581.62
1,8030,8013.24,8005,7972.08,6980.89
2,8310,8221.88,8214.16,8184.44,7180.52
3,8410,8430.51,8423.32,8396.79,7380.16
4,8640,8639.15,8632.49,8609.15,7579.79
5,8870,8847.78,8841.65,8821.5,7779.43
6,9050,9056.42,9050.81,9033.86,7979.06
8,9320,9265.05,9259.97,9246.21,8178.7
7,9340,9473.69,9469.13,9458.57,8378.34
9,9710,9682.33,9678.29,9670.92,8577.97
10,9840,9890.96,9887.45,9883.28,8777.61
11,10050,10099.6,10096.6,10095.6,8977.24
12,10270,10308.2,10305.8,10308,9176.88
1,10500,10516.9,10514.9,10520.3,9376.51
2,10830,10725.5,10724.1,10732.7,9576.15
3,10920,10934.1,10933.3,10945.1,9775.78
4,11150,11142.8,11142.4,11157.4,9975.42
5,11470,11351.4,11351.6,11369.8,10175.1
6,11630,11560,11560.7,11582.1,10374.7
7,11690,11768.7,11769.9,11794.5,10574.3
8,11900,11977.3,11979.1,12006.8,10774
9,12190,12185.9,12188.2,12219.2,10973.6
10,12410,12394.6,12397.4,12431.5,11173.2
11,12600,12603.2,12606.6,12643.9,11372.9
12,12810,12811.9,12815.7,12856.2,11572.5
1,13310,13241.3,13228.1,13204.6,11971.8
2,13480,13439.2,13426.9,13405.2,12171.4
3,13580,13637.1,13625.6,13605.9,12371
4,13760,13835,13824.3,13806.5,12570.7
5,13990,14032.8,14023,14007.2,12770.3
6,14170,14230.7,14221.7,14207.8,12970
7,14320,14428.6,14420.5,14408.5,13169.6
8,14600,14626.5,14619.2,14609.1,13369.2
9,14810,14824.4,14817.9,14809.8,13568.9
10,15020,15022.3,15016.6,15010.5,13768.5
11,15250,15220.1,15215.4,15211.1,13968.1
12,15570,15418,15414.1,15411.8,14167.8
1,15700,15615.9,15612.8,15612.4,14367.4
2,15900,15813.8,15811.5,15813.1,14567
3,16020,16011.7,16010.2,16013.7,14766.7
4,16210,16209.5,16209,16214.4,14966.3
6,16360,16407.4,16407.7,16415,15165.9
5,16480,16605.3,16606.4,16615.7,15365.6
7,16670,16803.2,16805.1,16816.3,15565.2
8,16930,17001.1,17003.9,17017,15764.8
9,17140,17198.9,17202.6,17217.6,15964.5
10,17420,17396.8,17401.3,17418.3,16164.1
11,17670,17594.7,17600,17618.9,16363.8
12,17930,17792.6,17798.8,17819.6,16563.4
1,18330,18278.7,18245.5,18248.7,16962.7
2,18530,18474.8,18443.8,18447.8,17162.3
3,18650,18671,18642.1,18646.9,17361.9
4,18880,18867.2,18840.4,18845.9,17561.6
5,19070,19063.4,19038.7,19045,17761.2
6,19260,19259.6,19237.1,19244,17960.8
7,19380,19455.8,19435.4,19443.1,18160.5
8,19610,19652,19633.7,19642.2,18360.1
9,19820,19848.2,19832,19841.2,18559.7
10,19940,20044.4,20030.3,20040.3,18759.4
11,20250,20240.6,20228.6,20239.3,18959
12,20530,20436.7,20426.9,20438.4,19158.7
1,20700,20632.9,20625.2,20637.4,19358.3
2,20940,20829.1,20823.5,20836.5,19557.9
3,21130,21025.3,21021.8,21035.6,19757.6
4,21280,21221.5,21220.1,21234.6,19957.2
6,21420,21417.7,21418.4,21433.7,20156.8
5,21570,21613.9,21616.7,21632.7,20356.5
7,21670,21810.1,21815,21831.8,20556.1
8,21980,22006.3,22013.3,22030.9,20755.7
9,22150,22202.5,22211.6,22229.9,20955.4
10,22370,22398.6,22409.9,22429,21155
11,22570,22594.8,22608.3,22628,21354.6
