Bell No,Actual Time,Contest Model,HawkEar Model,RWP Model,Metronomic Model
1,1990,1990,1990,2222.2,1990
2,2320,2220,2220,2438.17,2196.99
3,2540,2450,2450,2654.14,2403.99
4,2760,2680,2680,2870.11,2610.98
5,2980,2910,2910,3086.07,2817.97
6,3300,3140,3140,3302.04,3024.96
7,3470,3370,3370,3518.01,3231.96
8,3660,3600,3600,3733.98,3438.95
9,3960,3830,3830,3949.95,3645.94
10,4200,4060,4060,4165.91,3852.93
11,4380,4290,4290,4381.88,4059.93
12,4650,4520,4520,4597.85,4266.92
1,4920,4750,4750,4813.82,4473.91
2,5180,4980,4980,5029.79,4680.91
3,5310,5210,5210,5245.75,4887.9
4,5510,5440,5440,5461.72,5094.89
5,5780,5670,5670,5677.69,5301.88
6,5990,5900,5900,5893.66,5508.88
7,6120,6130,6130,6109.62,5715.87
8,6360,6360,6360,6325.59,5922.86
9,6550,6590,6590,6541.56,6129.86
10,6750,6820,6820,6757.53,6336.85
11,6980,7050,7050,6973.5,6543.84
12,7280,7280,7280,7189.46,6750.83
1,7660,7740.45,7740.08,7684.29,7164.82
2,8000,7951.53,7951.18,7900.25,7371.81
3,8180,8162.61,8162.29,8116.22,7578.8
4,8390,8373.69,8373.39,8332.19,7785.8
5,8580,8584.77,8584.49,8548.16,7992.79
6,8820,8795.85,8795.6,8764.13,8199.78
7,9010,9006.93,9006.7,8980.09,8406.78
8,9180,9218.01,9217.81,9196.06,8613.77
9,9430,9429.09,9428.91,9412.03,8820.76
10,9600,9640.17,9640.02,9628,9027.75
11,9760,9851.26,9851.12,9843.96,9234.75
12,10130,10062.3,10062.2,10059.9,9441.74
1,10270,10273.4,10273.3,10275.9,9648.73
2,10550,10484.5,10484.4,10491.9,9855.73
3,10730,10695.6,10695.5,10707.8,10062.7
4,10970,10906.7,10906.6,10923.8,10269.7
5,11140,11117.7,11117.7,11139.8,10476.7
6,11350,11328.8,11328.9,11355.7,10683.7
7,11540,11539.9,11540,11571.7,10890.7
8,11720,11751,11751.1,11787.7,11097.7
9,11920,11962.1,11962.2,12003.6,11304.7
10,12120,12173.1,12173.3,12219.6,11511.7
11,12330,12384.2,12384.4,12435.6,11718.7
12,12650,12595.3,12595.5,12651.5,11925.7
1,13010,13053.1,13035.9,13016.1,12339.6
2,13300,13261,13244.8,13227.1,12546.6
3,13510,13468.8,13453.8,13438.2,12753.6
4,13710,13676.7,13662.7,13649.3,12960.6
5,13890,13884.6,13871.7,13860.3,13167.6
6,14110,14092.4,14080.7,14071.4,13374.6
7,14260,14300.3,14289.6,14282.5,13581.6
8,14460,14508.2,14498.6,14493.5,13788.6
9,14680,14716,14707.6,14704.6,13995.6
10,14870,14923.9,14916.5,14915.7,14202.6
11,15060,15131.7,15125.5,15126.7,14409.6
12,15320,15339.6,15334.5,15337.8,14616.6
1,15570,15547.5,15543.4,15548.9,14823.6
2,15820,15755.3,15752.4,15759.9,15030.5
3,16000,15963.2,15961.4,15971,15237.5
4,16220,16171.1,16170.3,16182.1,15444.5
5,16430,16378.9,16379.3,16393.1,15651.5
6,16610,16586.8,16588.3,16604.2,15858.5
7,16820,16794.6,16797.2,16815.3,16065.5
8,16980,17002.5,17006.2,17026.3,16272.5
9,17200,17210.4,17215.1,17237.4,16479.5
10,17390,17418.2,17424.1,17448.5,16686.5
11,17560,17626.1,17633.1,17659.5,16893.5
12,17860,17834,17842,17870.6,17100.5
1,18280,18278.2,18267.6,18240.6,17514.5
2,18500,18485.6,18475.6,18451.1,17721.5
3,18710,18692.9,18683.6,18661.6,17928.4
4,18930,18900.2,18891.7,18872.2,18135.4
5,19080,19107.6,19099.7,19082.7,18342.4
6,19300,19314.9,19307.7,19293.2,18549.4
7,19490,19522.3,19515.7,19503.8,18756.4
8,19750,19729.6,19723.7,19714.3,18963.4
9,19920,19936.9,19931.8,19924.8,19170.4
10,20140,20144.3,20139.8,20135.3,19377.4
11,20270,20351.6,20347.8,20345.9,19584.4
12,20560,20559,20555.8,20556.4,19791.4
1,20770,20766.3,20763.8,20766.9,19998.4
2,20970,20973.7,20971.9,20977.5,20205.4
3,21190,21181,21179.9,21188,20412.4
4,21430,21388.3,21387.9,21398.5,20619.3
5,21610,21595.7,21595.9,21609,20826.3
6,21840,21803,21803.9,21819.6,21033.3
7,22000,22010.4,22012,22030.1,21240.3
8,22200,22217.7,22220,22240.6,21447.3
9,22400,22425,22428,22451.2,21654.3
10,22630,22632.4,22636,22661.7,21861.3
11,22830,22839.7,22844,22872.2,22068.3
12,23080,23047.1,23052,23082.7,22275.3
2,23570,23513.2,23492.5,23497.3,22689.3
1,23730,23721.1,23701.1,23707.2,22896.3
4,23940,23929.1,23909.7,23917,23103.3
3,24170,24137.1,24118.4,24126.8,23310.3
6,24340,24345,24327,24336.7,23517.2
5,24550,24553,24535.7,24546.5,23724.2
8,24760,24761,24744.3,24756.3,23931.2
7,24980,24968.9,24952.9,24966.2,24138.2
10,25200,25176.9,25161.6,25176,24345.2
9,25370,25384.9,25370.2,25385.8,24552.2
12,25600,25592.8,25578.8,25595.7,24759.2
11,25770,25800.8,25787.5,25805.5,24966.2
1,26000,26008.8,25996.1,26015.3,25173.2
2,26260,26216.7,26204.8,26225.2,25380.2
