Bell No,Actual Time,Contest Model,HawkEar Model,RWP Model,Metronomic Model
1,1990,1990,1990,2449.05,1990
2,2360,2236.09,2236.09,2664.53,2197.6
3,2610,2482.17,2482.17,2880.01,2405.19
4,2840,2728.26,2728.26,3095.49,2612.79
5,3090,2974.35,2974.35,3310.97,2820.38
6,3350,3220.43,3220.43,3526.46,3027.98
7,3610,3466.52,3466.52,3741.94,3235.57
8,3860,3712.61,3712.61,3957.42,3443.17
9,4150,3958.7,3958.7,4172.9,3650.76
10,4410,4204.78,4204.78,4388.38,3858.36
11,4640,4450.87,4450.87,4603.86,4065.96
12,5020,4696.96,4696.96,4819.34,4273.55
1,5120,4943.04,4943.04,5034.82,4481.15
2,5400,5189.13,5189.13,5250.31,4688.74
3,5590,5435.22,5435.22,5465.79,4896.34
4,5820,5681.3,5681.3,5681.27,5103.93
5,6110,5927.39,5927.39,5896.75,5311.53
6,6310,6173.48,6173.48,6112.23,5519.12
7,6430,6419.57,6419.57,6327.71,5726.72
8,6630,6665.65,6665.65,6543.19,5934.32
9,6860,6911.74,6911.74,6758.67,6141.91
10,7050,7157.83,7157.83,6974.15,6349.51
11,7350,7403.91,7403.91,7189.64,6557.1
12,7650,7650,7650,7405.12,6764.7
1,8050,8066.06,8091.43,7999.88,7179.89
2,8270,8276.24,8299.99,8215.36,7387.49
3,8460,8486.42,8508.56,8430.85,7595.08
4,8690,8696.61,8717.12,8646.33,7802.68
5,8850,8906.79,8925.68,8861.81,8010.27
6,9060,9116.97,9134.24,9077.29,8217.87
7,9290,9327.15,9342.8,9292.77,8425.46
8,9490,9537.33,9551.36,9508.25,8633.06
9,9730,9747.51,9759.92,9723.73,8840.65
10,9910,9957.69,9968.49,9939.21,9048.25
11,10130,10167.9,10177,10154.7,9255.85
12,10450,10378.1,10385.6,10370.2,9463.44
1,10650,10588.2,10594.2,10585.7,9671.04
2,10890,10798.4,10802.7,10801.1,9878.63
3,11090,11008.6,11011.3,11016.6,10086.2
4,11280,11218.8,11219.9,11232.1,10293.8
5,11480,11429,11428.4,11447.6,10501.4
6,11650,11639.1,11637,11663.1,10709
7,11800,11849.3,11845.5,11878.5,10916.6
8,11990,12059.5,12054.1,12094,11124.2
9,12230,12269.7,12262.7,12309.5,11331.8
10,12410,12479.9,12471.2,12525,11539.4
11,12700,12690,12679.8,12740.5,11747
12,12920,12900.2,12888.3,12956,11954.6
1,13360,13337.4,13323.3,13337.7,12369.8
2,13570,13546.1,13532.9,13546.4,12577.4
3,13720,13754.8,13742.5,13755.2,12785
4,13990,13963.6,13952.2,13963.9,12992.6
5,14160,14172.3,14161.8,14172.7,13200.2
6,14370,14381,14371.4,14381.4,13407.8
7,14590,14589.8,14581.1,14590.2,13615.4
8,14780,14798.5,14790.7,14798.9,13822.9
9,15030,15007.2,15000.3,15007.7,14030.5
10,15170,15216,15210,15216.4,14238.1
11,15350,15424.7,15419.6,15425.2,14445.7
12,15680,15633.5,15629.2,15634,14653.3
1,15840,15842.2,15838.9,15842.7,14860.9
2,16080,16050.9,16048.5,16051.5,15068.5
3,16290,16259.7,16258.1,16260.2,15276.1
4,16480,16468.4,16467.8,16469,15483.7
5,16700,16677.1,16677.4,16677.7,15691.3
6,16920,16885.9,16887,16886.5,15898.9
7,17110,17094.6,17096.7,17095.2,16106.5
8,17300,17303.3,17306.3,17304,16314.1
9,17480,17512.1,17516,17512.7,16521.7
10,17680,17720.8,17725.6,17721.5,16729.3
