   1     1  1234567890ET                                                                                                                                                  
   2    13  1234567890ET                                                                                                                                                  =
   3    25  1234567890ET                                                                                                                                                  =
   4    37  1234567890ET                                                                                                                                                  =
   5    49  1234567890ET                                                                                                                                                  =
   6    61  1234567890ET                                                                                                                                                  =
   7    73  1234567890ET                                                                                                                                                  =
   8    85  1234567890ET                                                                                                                                                  =
   9    97  1234567890ET                                                                                                                                                  =
  10   109  1234567890ET                                                                                                                                                  =
  11   121  1234567890ET                                                                                                                                                  =
  12   133  1234567890ET                                                                                                                                                  =
  13   145  1234567890ET                                                                                                                                                  =
  14   157  1234567890ET                                                                                                                                                  =
  15   169  213547698E0T                                                                                                                                                  3
  16   181  2314567890ET                                                                                                                                                  1
  17   193  324165879E0T                                                                                                                                                  9
  18   205  2346185970ET                                                                                                                                                  3
  19   217  243165879E0T                                                                                                                                                  1
  20   229  4231685970ET                                                                                                                                                  345
  21   241  432165879E0T                                                                                                                                                  45
  22   253  3426185970ET                                                                                                                                                  3
  23   265  4362819507ET                                                                                                                                                  E
  24   277  463829105E7T                                                                                                                                                  1
  25   289  6432819507ET                                                                                                                                                  3
  26   301  634829105E7T                                                                                                                                                  1
  27   313  3642819507ET                                                                                                                                                  3
  28   325  346829105E7T                                                                                                                                                  1
  29   337  4386920157ET                                                                                                                                                  9
  30   349  348960251E7T                                                                                                                                                  3
  31   361  3846920157ET                                                                                                                                                  1
  32   373  834960251E7T                                                                                                                                                  3
  33   385  8436920157ET                                                                                                                                                  1
  34   397  483960251E7T                                                                                                                                                  3
  35   409  84930652E17T                                                                                                                                                  E
  36   421  8940356E271T                                                                                                                                                  1
  37   433  98430652E17T                                                                                                                                                  3
  38   445  9480356E271T                                                                                                                                                  1
  39   457  49830652E17T                                                                                                                                                  3
  40   469  4890356E271T                                                                                                                                                  1
  41   481  840953E6721T                                                                                                                                                  E
  42   493  48059E37612T                                                                                                                                                  3
  43   505  408953E6721T                                                                                                                                                  1
  44   517  04859E37612T                                                                                                                                                  3
  45   529  084953E6721T                                                                                                                                                  1
  46   541  80459E37612T                                                                                                                                                  3
  47   553  0854E973162T                                                                                                                                                  E
  48   565  058E4791326T                                                                                                                                                  1
  49   577  5084E973162T                                                                                                                                                  3
  50   589  580E4791326T                                                                                                                                                  1
  51   601  8504E973162T                                                                                                                                                  3
  52   613  805E4791326T                                                                                                                                                  1
  53   625  08E57419236T                                                                                                                                                  E
  54   637  80E75142963T                                                                                                                                                  3
  55   649  8E057419236T                                                                                                                                                  1
  56   661  E8075142963T                                                                                                                                                  3
  57   673  E0857419236T                                                                                                                                                  1
  58   685  0E875142963T                                                                                                                                                  3
  59   697  E0781524693T                                                                                                                                                  E
  60   709  E7018256439T                                                                                                                                                  1
  61   721  7E081524693T                                                                                                                                                  3
  62   733  70E18256439T                                                                                                                                                  1
  63   745  07E81524693T                                                                                                                                                  3
  64   757  0E718256439T                                                                                                                                                  1
  65   769  E0172865349T                                                                                                                                                  E
  66   781  0E127683594T                                                                                                                                                  3
  67   793  01E72865349T                                                                                                                                                  1
  68   805  10E27683594T                                                                                                                                                  3
  69   817  1E072865349T                                                                                                                                                  1
  70   829  E1027683594T                                                                                                                                                  3
  71   841  1E206738954T                                                                                                                                                  E
  72   853  12E60379845T                                                                                                                                                  1
  73   865  21E06738954T                                                                                                                                                  3
  74   877  2E160379845T                                                                                                                                                  1
  75   889  E2106738954T                                                                                                                                                  3
  76   901  E1260379845T                                                                                                                                                  1
  77   913  1E623097485T                                                                                                                                                  E
  78   925  E1632904758T                                                                                                                                                  3
  79   937  E6123097485T                                                                                                                                                  1
  80   949  6E132904758T                                                                                                                                                  3
  81   961  61E23097485T                                                                                                                                                  1
  82   973  16E32904758T                                                                                                                                                  3
  83   985  613E9240578T                                                                                                                                                  E
  84   997  6319E425087T                                                                                                                                                  1
  85  1009  361E9240578T                                                                                                                                                  3
  86  1021  3169E425087T                                                                                                                                                  1
  87  1033  136E9240578T                                                                                                                                                  3
  88  1045  1639E425087T                                                                                                                                                  1
  89  1057  61934E52807T                                                                                                                                                  E
  90  1069  169435E8270T                                                                                                                                                  3
  91  1081  19634E52807T                                                                                                                                                  1
  92  1093  196435E8270T                                                                                                                                                  23
  93  1105  96134E52807T                                                                                                                                                  ?
  94  1117  691435E8270T                                                                                                                                                  3
  95  1129  9641538E207T                                                                                                                                                  9
  96  1141  94651832E70T                                                                                                                                                  1
  97  1153  4961538E207T                                                                                                                                                  3
  98  1165  46958132E70T                                                                                                                                                  ?
  99  1177  6491538E207T                                                                                                                                                  ?
 100  1189  69458132E70T                                                                                                                                                  ?
 101  1201  965481237E0T                                                                                                                                                  56E
 102  1213  6958421730ET                                                                                                                                                  3
 103  1225  659481237E0T                                                                                                                                                  1
 104  1237  5698421730ET                                                                                                                                                  3
 105  1249  596481237E0T                                                                                                                                                  1
 106  1261  9568421730ET                                                                                                                                                  3
 107  1273  5986247103ET                                                                                                                                                  E
 108  1285  589267401E3T                                                                                                                                                  1
 109  1297  8596247103ET                                                                                                                                                  3
 110  1309  895267401E3T                                                                                                                                                  1
 111  1321  9856247103ET                                                                                                                                                  3
 112  1333  958267401E3T                                                                                                                                                  1
 113  1345  5928760413ET                                                                                                                                                  9
 114  1357  952780614E3T                                                                                                                                                  3
 115  1369  9258760413ET                                                                                                                                                  1
 116  1381  295780614E3T                                                                                                                                                  3
 117  1393  2598760413ET                                                                                                                                                  1
 118  1405  529780614E3T                                                                                                                                                  3
 119  1417  25790816E43T                                                                                                                                                  E
 120  1429  2750918E634T                                                                                                                                                  1
 121  1441  72590816E43T                                                                                                                                                  3
 122  1453  7520918E634T                                                                                                                                                  1
 123  1465  57290816E43T                                                                                                                                                  3
 124  1477  5270918E634T                                                                                                                                                  1
 125  1489  250719E8364T                                                                                                                                                  E
 126  1501  52017E93846T                                                                                                                                                  3
 127  1513  502719E8364T                                                                                                                                                  1
 128  1525  05217E93846T                                                                                                                                                  3
 129  1537  025719E8364T                                                                                                                                                  1
 130  1549  20517E93846T                                                                                                                                                  3
 131  1561  0215E739486T                                                                                                                                                  E
 132  1573  012E5374968T                                                                                                                                                  1
 133  1585  1025E739486T                                                                                                                                                  3
 134  1597  120E5374968T                                                                                                                                                  1
 135  1609  2105E739486T                                                                                                                                                  3
 136  1621  201E5374968T                                                                                                                                                  1
 137  1633  02E13547698T                                                                                                                                                  E
 138  1645  20E31456789T                                                                                                                                                  3
 139  1657  2E013547698T                                                                                                                                                  1
 140  1669  E2031456789T                                                                                                                                                  3
 141  1681  E0213547698T                                                                                                                                                  1
 142  1693  0E231456789T                                                                                                                                                  3
