   1     1  1234567890ET                                                                                                                                                  
   2    13  1234567890ET                                                                                                                                                  =
   3    25  1234567890ET                                                                                                                                                  =
   4    37  1234567890ET                                                                                                                                                  =
   5    49  1234567890ET                                                                                                                                                  =
   6    61  1234567890ET                                                                                                                                                  =
   7    73  1234567890ET                                                                                                                                                  =
   8    85  1234567890ET                                                                                                                                                  =
   9    97  1234567890ET                                                                                                                                                  =
  10   109  1234567890ET                                                                                                                                                  =
  11   121  1234567890ET                                                                                                                                                  =
  12   133  1234567890ET                                                                                                                                                  =
  13   145  1234567890ET                                                                                                                                                  =
  14   157  1234567890ET                                                                                                                                                  =
  15   169  1234567890ET                                                                                                                                                  =
  16   181  1234567890ET                                                                                                                                                  =
  17   193  1234567890ET                                                                                                                                                  =
  18   205  1234567890ET                                                                                                                                                  =
  19   217  213547698E0T                                                                                                                                                  3
  20   229  2314567890ET                                                                                                                                                  1
  21   241  324165879E0T                                                                                                                                                  9
  22   253  2346185970ET                                                                                                                                                  3
  23   265  243165879E0T                                                                                                                                                  1
  24   277  4236185970ET                                                                                                                                                  3
  25   289  432165879E0T                                                                                                                                                  1
  26   301  3426185970ET                                                                                                                                                  3
  27   313  4362819507ET                                                                                                                                                  E
  28   325  463829105E7T                                                                                                                                                  1
  29   337  6432819507ET                                                                                                                                                  3
  30   349  634829105E7T                                                                                                                                                  1
  31   361  3642819507ET                                                                                                                                                  3
  32   373  346829105E7T                                                                                                                                                  1
  33   385  4386920157ET                                                                                                                                                  9
  34   397  348960251E7T                                                                                                                                                  3
  35   409  3846920157ET                                                                                                                                                  1
  36   421  834960251E7T                                                                                                                                                  3
  37   433  8436920157ET                                                                                                                                                  1
  38   445  483960251E7T                                                                                                                                                  3
  39   457  84930652E17T                                                                                                                                                  E
  40   469  8940356E271T                                                                                                                                                  1
  41   481  98430652E17T                                                                                                                                                  3
  42   493  9480356E271T                                                                                                                                                  1
  43   505  49830652E17T                                                                                                                                                  3
  44   517  4890356E271T                                                                                                                                                  1
  45   529  840953E6721T                                                                                                                                                  E
  46   541  48059E37612T                                                                                                                                                  3
  47   553  408953E6721T                                                                                                                                                  1
  48   565  04859E37612T                                                                                                                                                  3
  49   577  084953E6721T                                                                                                                                                  1
  50   589  80459E37612T                                                                                                                                                  3
  51   601  0854E973162T                                                                                                                                                  E
  52   613  058E4791326T                                                                                                                                                  1
  53   625  5084E973162T                                                                                                                                                  3
  54   637  580E4791326T                                                                                                                                                  1
  55   649  8504E973162T                                                                                                                                                  3
  56   661  805E4791326T                                                                                                                                                  1
  57   673  08E57412936T                                                                                                                                                  ?
  58   685  80E75142963T                                                                                                                                                  389
  59   697  8E057419236T                                                                                                                                                  1
  60   709  E8075142963T                                                                                                                                                  3
  61   721  E0857419236T                                                                                                                                                  1
  62   733  0E875142963T                                                                                                                                                  3
  63   745  E0781524693T                                                                                                                                                  E
  64   757  E7018256439T                                                                                                                                                  1
  65   769  7E081524693T                                                                                                                                                  3
  66   781  70E18256439T                                                                                                                                                  1
  67   793  07E81524693T                                                                                                                                                  3
  68   805  0E718256439T                                                                                                                                                  1
  69   817  E0172865349T                                                                                                                                                  E
  70   829  0E127683594T                                                                                                                                                  3
  71   841  01E72865349T                                                                                                                                                  1
  72   853  10E27683594T                                                                                                                                                  3
  73   865  1E072865349T                                                                                                                                                  1
  74   877  E1027683594T                                                                                                                                                  3
  75   889  1E206738954T                                                                                                                                                  E
  76   901  12E60379845T                                                                                                                                                  1
  77   913  21E06738954T                                                                                                                                                  3
  78   925  2E160379845T                                                                                                                                                  1
  79   937  E2106738954T                                                                                                                                                  3
  80   949  E1260379845T                                                                                                                                                  1
  81   961  1E623097485T                                                                                                                                                  E
  82   973  E1632904758T                                                                                                                                                  3
  83   985  E6123097485T                                                                                                                                                  1
  84   997  6E132904758T                                                                                                                                                  3
  85  1009  61E23097485T                                                                                                                                                  1
  86  1021  16E32904758T                                                                                                                                                  3
  87  1033  613E9240578T                                                                                                                                                  E
  88  1045  6319E425087T                                                                                                                                                  1
  89  1057  361E9240578T                                                                                                                                                  3
  90  1069  3169E425087T                                                                                                                                                  1
  91  1081  136E9240578T                                                                                                                                                  3
  92  1093  1639E425087T                                                                                                                                                  1
  93  1105  61934E52807T                                                                                                                                                  E
  94  1117  169435E8270T                                                                                                                                                  3
  95  1129  19634E52807T                                                                                                                                                  1
  96  1141  916435E8270T                                                                                                                                                  3
  97  1153  96134E52807T                                                                                                                                                  1
  98  1165  691435E8270T                                                                                                                                                  3
  99  1177  9641538E207T                                                                                                                                                  9
 100  1189  94651832E70T                                                                                                                                                  1
 101  1201  4961538E207T                                                                                                                                                  3
 102  1213  46951832E70T                                                                                                                                                  1
 103  1225  6491538E207T                                                                                                                                                  3
 104  1237  69451832E70T                                                                                                                                                  1
 105  1249  965481237E0T                                                                                                                                                  E
 106  1261  6958421730ET                                                                                                                                                  3
 107  1273  659481237E0T                                                                                                                                                  1
 108  1285  5698421730ET                                                                                                                                                  3
 109  1297  596481237E0T                                                                                                                                                  1
 110  1309  9568421730ET                                                                                                                                                  3
 111  1321  5986247103ET                                                                                                                                                  E
 112  1333  589267401E3T                                                                                                                                                  1
 113  1345  8596247103ET                                                                                                                                                  3
 114  1357  895267401E3T                                                                                                                                                  1
 115  1369  9856247103ET                                                                                                                                                  3
 116  1381  958267401E3T                                                                                                                                                  1
 117  1393  5928760413ET                                                                                                                                                  9
 118  1405  952780614E3T                                                                                                                                                  3
 119  1417  9258760413ET                                                                                                                                                  1
 120  1429  295780614E3T                                                                                                                                                  3
 121  1441  2598760413ET                                                                                                                                                  1
 122  1453  529780614E3T                                                                                                                                                  3
 123  1465  25790816E43T                                                                                                                                                  E
 124  1477  2750918E634T                                                                                                                                                  1
 125  1489  72590816E43T                                                                                                                                                  3
 126  1501  7520918E634T                                                                                                                                                  1
 127  1513  57290816E43T                                                                                                                                                  3
 128  1525  5270918E634T                                                                                                                                                  1
 129  1537  250719E8364T                                                                                                                                                  E
 130  1549  52017E93846T                                                                                                                                                  3
 131  1561  502719E8364T                                                                                                                                                  1
 132  1573  05217E93846T                                                                                                                                                  3
 133  1585  025719E8364T                                                                                                                                                  1
 134  1597  20517E93846T                                                                                                                                                  3
 135  1609  0215E739486T                                                                                                                                                  E
 136  1621  012E5374968T                                                                                                                                                  1
 137  1633  1025E739486T                                                                                                                                                  3
 138  1645  120E5374968T                                                                                                                                                  1
 139  1657  2105E739486T                                                                                                                                                  3
 140  1669  201E5374968T                                                                                                                                                  1
 141  1681  02E13547698T                                                                                                                                                  E
 142  1693  20E31456789T                                                                                                                                                  3
