   1     1  1234567890ET                                                                                                                                                  
   2    13  1234568790ET                                                                                                                                                  (78)
   3    25  1234567890ET                                                                                                                                                  (78)
   4    37  1234567890ET                                                                                                                                                  =
   5    49  1234567890ET                                                                                                                                                  =
   6    61  1234567890ET                                                                                                                                                  =
   7    73  1234567890ET                                                                                                                                                  =
   8    85  1234567890ET                                                                                                                                                  =
   9    97  1234567890ET                                                                                                                                                  =
  10   109  1234567890ET                                                                                                                                                  =
  11   121  1234567890ET                                                                                                                                                  =
  12   133  1234567890ET                                                                                                                                                  =
  13   145  1234567890ET                                                                                                                                                  =
  14   157  1234567890ET                                                                                                                                                  =
  15   169  1234567890ET                                                                                                                                                  =
  16   181  1234567890ET                                                                                                                                                  =
  17   193  1234567890ET                                                                                                                                                  =
  18   205  1234567890ET                                                                                                                                                  =
  19   217  1234567890ET                                                                                                                                                  =
  20   229  1234567890ET                                                                                                                                                  =
  21   241  1234567890ET                                                                                                                                                  =
  22   253  1234567890ET                                                                                                                                                  =
  23   265  1234567890ET                                                                                                                                                  =
  24   277  1234567890ET                                                                                                                                                  =
  25   289  1234567890ET                                                                                                                                                  =
  26   301  1234567890ET                                                                                                                                                  =
  27   313  213547698E0T                                                                                                                                                  3
  28   325  2314567890ET                                                                                                                                                  1
  29   337  324165879E0T                                                                                                                                                  9
  30   349  2346185970ET                                                                                                                                                  3
  31   361  243165879E0T                                                                                                                                                  1
  32   373  4236185970ET                                                                                                                                                  3
  33   385  432165879E0T                                                                                                                                                  1
  34   397  3426185970ET                                                                                                                                                  3
  35   409  4362819507ET                                                                                                                                                  E
  36   421  463829105E7T                                                                                                                                                  1
  37   433  6432819507ET                                                                                                                                                  3
  38   445  634829105E7T                                                                                                                                                  1
  39   457  3642819507ET                                                                                                                                                  3
  40   469  346829105E7T                                                                                                                                                  1
  41   481  4386920157ET                                                                                                                                                  9
  42   493  348960251E7T                                                                                                                                                  3
  43   505  3846920157ET                                                                                                                                                  1
  44   517  834960251E7T                                                                                                                                                  3
  45   529  8436920157ET                                                                                                                                                  1
  46   541  483960251E7T                                                                                                                                                  3
  47   553  84930652E17T                                                                                                                                                  E
  48   565  8940356E271T                                                                                                                                                  1
  49   577  98430652E17T                                                                                                                                                  3
  50   589  9480356E271T                                                                                                                                                  1
  51   601  49830652E17T                                                                                                                                                  3
