Bell No,Actual Time,Contest Model,HawkEar Model,RWP Model,Metronomic Model
1,1990,1990,1990,2257.23,1990
2,2240,2223.04,2223.04,2471.06,2197.53
3,2550,2456.09,2456.09,2684.89,2405.06
4,2760,2689.13,2689.13,2898.71,2612.59
5,2940,2922.17,2922.17,3112.54,2820.12
6,3150,3155.22,3155.22,3326.37,3027.65
7,3380,3388.26,3388.26,3540.2,3235.18
8,3590,3621.3,3621.3,3754.03,3442.71
9,3850,3854.35,3854.35,3967.85,3650.24
10,4130,4087.39,4087.39,4181.68,3857.77
11,4350,4320.43,4320.43,4395.51,4065.3
12,4690,4553.48,4553.48,4609.34,4272.83
1,4970,4786.52,4786.52,4823.16,4480.36
2,5180,5019.57,5019.57,5036.99,4687.9
3,5360,5252.61,5252.61,5250.82,4895.43
4,5600,5485.65,5485.65,5464.65,5102.96
5,5840,5718.7,5718.7,5678.47,5310.49
6,6040,5951.74,5951.74,5892.3,5518.02
7,6230,6184.78,6184.78,6106.13,5725.55
8,6390,6417.83,6417.83,6319.96,5933.08
9,6660,6650.87,6650.87,6533.79,6140.61
10,6860,6883.91,6883.91,6747.61,6348.14
11,7090,7116.96,7116.96,6961.44,6555.67
12,7350,7350,7350,7175.27,6763.2
1,7800,7771.01,7786.03,7733.06,7178.26
2,7980,7981.81,7995.87,7946.89,7385.79
3,8190,8192.61,8205.7,8160.72,7593.32
4,8360,8403.4,8415.54,8374.55,7800.85
5,8580,8614.2,8625.38,8588.38,8008.38
6,8760,8825,8835.22,8802.2,8215.91
7,8990,9035.8,9045.06,9016.03,8423.44
8,9210,9246.59,9254.9,9229.86,8630.97
9,9460,9457.39,9464.73,9443.69,8838.5
10,9660,9668.19,9674.57,9657.51,9046.03
11,9920,9878.98,9884.41,9871.34,9253.56
12,10140,10089.8,10094.3,10085.2,9461.09
1,10350,10300.6,10304.1,10299,9668.62
2,10570,10511.4,10513.9,10512.8,9876.15
3,10720,10722.2,10723.8,10726.7,10083.7
4,10950,10933,10933.6,10940.5,10291.2
5,11160,11143.8,11143.4,11154.3,10498.7
6,11340,11354.6,11353.3,11368.1,10706.3
7,11550,11565.4,11563.1,11582,10913.8
8,11730,11776.2,11773,11795.8,11121.3
9,11920,11987,11982.8,12009.6,11328.9
10,12160,12197.8,12192.6,12223.4,11536.4
11,12450,12408.5,12402.5,12437.3,11743.9
12,12660,12619.3,12612.3,12651.1,11951.5
1,13100,13067.3,13053.1,13064.1,12366.5
2,13300,13275.6,13262.3,13272.7,12574
3,13490,13483.8,13471.4,13481.3,12781.6
4,13700,13692,13680.6,13690,12989.1
5,13900,13900.3,13889.7,13898.6,13196.6
6,14110,14108.5,14098.8,14107.2,13404.2
7,14320,14316.7,14308,14315.9,13611.7
8,14500,14525,14517.1,14524.5,13819.2
9,14700,14733.2,14726.3,14733.1,14026.8
10,14920,14941.4,14935.4,14941.8,14234.3
11,15120,15149.7,15144.5,15150.4,14441.8
12,15380,15357.9,15353.7,15359,14649.4
1,15590,15566.1,15562.8,15567.6,14856.9
2,15790,15774.4,15772,15776.3,15064.4
3,15980,15982.6,15981.1,15984.9,15271.9
4,16200,16190.8,16190.2,16193.5,15479.5
5,16400,16399.1,16399.4,16402.2,15687
6,16600,16607.3,16608.5,16610.8,15894.5
7,16820,16815.5,16817.7,16819.4,16102.1
