Bell No,Actual Time,Contest Model,HawkEar Model,RWP Model,Metronomic Model
1,1990,1990,1990,2208.23,1990
2,2270,2223.91,2223.91,2420.81,2190.4
3,2490,2457.83,2457.83,2633.39,2390.8
4,2760,2691.74,2691.74,2845.98,2591.2
5,2960,2925.65,2925.65,3058.56,2791.6
6,3220,3159.57,3159.57,3271.14,2992
7,3450,3393.48,3393.48,3483.72,3192.4
8,3710,3627.39,3627.39,3696.3,3392.8
9,3930,3861.3,3861.3,3908.88,3593.2
10,4170,4095.22,4095.22,4121.46,3793.6
11,4370,4329.13,4329.13,4334.04,3994
12,4710,4563.04,4563.04,4546.63,4194.4
2,4680,4796.96,4796.96,4759.21,4394.8
1,4810,5030.87,5030.87,4971.79,4595.2
3,5220,5264.78,5264.78,5184.37,4795.6
4,5490,5498.7,5498.7,5396.95,4996
5,5730,5732.61,5732.61,5609.53,5196.4
6,5910,5966.52,5966.52,5822.11,5396.8
7,6050,6200.43,6200.43,6034.69,5597.2
8,6240,6434.35,6434.35,6247.28,5797.6
9,6470,6668.26,6668.26,6459.86,5998
10,6730,6902.17,6902.17,6672.44,6198.4
11,6940,7136.09,7136.09,6885.02,6398.8
12,7370,7370,7370,7097.6,6599.2
1,7590,7675.65,7730.29,7596.98,7000.01
2,7800,7882.37,7933.51,7809.56,7200.41
3,8030,8089.08,8136.73,8022.14,7400.81
4,8300,8295.79,8339.96,8234.73,7601.21
5,8480,8502.5,8543.18,8447.31,7801.61
6,8670,8709.21,8746.4,8659.89,8002.01
7,8900,8915.92,8949.63,8872.47,8202.41
8,9130,9122.63,9152.85,9085.05,8402.81
9,9320,9329.34,9356.07,9297.63,8603.21
10,9490,9536.05,9559.29,9510.21,8803.61
11,9690,9742.77,9762.52,9722.79,9004.01
12,10040,9949.48,9965.74,9935.38,9204.41
1,10160,10156.2,10169,10148,9404.81
2,10380,10362.9,10372.2,10360.5,9605.21
3,10580,10569.6,10575.4,10573.1,9805.61
