   1     1  1234567890ET                                                                                                                                                  
   2    13  2134567890ET                                                                                                                                                  (12)
   3    25  1234567890ET                                                                                                                                                  (12)
   4    37  1234567890ET                                                                                                                                                  =
   5    49  1234567890ET                                                                                                                                                  =
   6    61  1234567890ET                                                                                                                                                  =
   7    73  1234567890ET                                                                                                                                                  =
   8    85  1234567890ET                                                                                                                                                  =
   9    97  1234567890ET                                                                                                                                                  =
  10   109  1234567890ET                                                                                                                                                  =
  11   121  1234567890ET                                                                                                                                                  =
  12   133  1234567890ET                                                                                                                                                  =
  13   145  1234567890ET                                                                                                                                                  =
  14   157  1234567890ET                                                                                                                                                  =
  15   169  1234567890ET                                                                                                                                                  =
  16   181  1234567890ET                                                                                                                                                  =
  17   193  1234567890ET                                                                                                                                                  =
  18   205  1234567890ET                                                                                                                                                  =
  19   217  1234567890ET                                                                                                                                                  =
  20   229  1234567890ET                                                                                                                                                  =
  21   241  2143658709TE                                                                                                                                                  -
  22   253  124638507T9E                                                                                                                                                  3
  23   265  21648305T7E9                                                                                                                                                  -
  24   277  261438507T9E                                                                                                                                                  4
  25   289  62418305T7E9                                                                                                                                                  -
  26   301  6214803T5E79                                                                                                                                                  25
  27   313  264108T3E597                                                                                                                                                  -
  28   325  6240183T5E79                                                                                                                                                  36
  29   337  260481T3E597                                                                                                                                                  -
  30   349  206418TE3957                                                                                                                                                  47
  31   361  024681ET9375                                                                                                                                                  -
  32   373  20648E1T3957                                                                                                                                                  58
  33   385  0246E8T19375                                                                                                                                                  -
  34   397  042E681T9735                                                                                                                                                  69
  35   409  40E286T17953                                                                                                                                                  -
  36   421  042E68T71935                                                                                                                                                  70
  37   433  40E286T79153                                                                                                                                                  78
  38   445  4E08276T1935                                                                                                                                                  ?
  39   457  E48072T69153                                                                                                                                                  -
  40   469  4E08276T9513                                                                                                                                                  9
  41   481  E48072T56931                                                                                                                                                  ?
  42   493  E8470T256913                                                                                                                                                  890
