 137  1633  0215E739486T                                                                                                                                                  E
 138  1645  012E5374968T                                                                                                                                                  1
 139  1657  1025E739486T                                                                                                                                                  3
 140  1669  120E5374968T                                                                                                                                                  1
 141  1681  2105E739486T                                                                                                                                                  3
 142  1693  201E5374968T                                                                                                                                                  1
 143  1705  02E13547698T                                                                                                                                                  E
 144  1717  20E31456789T                                                                                                                                                  3
 145  1729  2E013547698T                                                                                                                                                  1
 146  1741  E2031456789T                                                                                                                                                  3
 147  1753  E0213547698T                                                                                                                                                  1
 148  1765  0E231456789T                                                                                                                                                  3
 149  1777  E0324165879T                                                                                                                                                  E
 150  1789  E3042618597T                                                                                                                                                  1
 151  1801  3E024165879T                                                                                                                                                  3
 152  1813  30E42618597T                                                                                                                                                  1
 153  1825  03E24165879T                                                                                                                                                  3
 154  1837  0E342618597T                                                                                                                                                  1
 155  1849  E0436281957T                                                                                                                                                  E
 156  1861  0E463829175T                                                                                                                                                  3
 157  1873  04E36281957T                                                                                                                                                  1
 158  1885  40E63829175T                                                                                                                                                  3
 159  1897  4E036281957T                                                                                                                                                  1
 160  1909  E4063829175T                                                                                                                                                  3
 161  1921  4E608392715T                                                                                                                                                  E
 162  1933  46E80937251T                                                                                                                                                  1
 163  1945  64E08392715T                                                                                                                                                  3
 164  1957  6E480937251T                                                                                                                                                  1
 165  1969  E6408392715T                                                                                                                                                  3
 166  1981  E4680937251T                                                                                                                                                  1
 167  1993  4E869073521T                                                                                                                                                  E
 168  2005  E4896705312T                                                                                                                                                  3
 169  2017  E8469073521T                                                                                                                                                  1
 170  2029  8E496705312T                                                                                                                                                  3
 171  2041  84E69073521T                                                                                                                                                  1
 172  2053  48E96705312T                                                                                                                                                  3
 173  2065  849E7650132T                                                                                                                                                  E
 174  2077  8947E561023T                                                                                                                                                  1
 175  2089  984E7650132T                                                                                                                                                  3
 176  2101  9487E561023T                                                                                                                                                  1
 177  2113  498E7650132T                                                                                                                                                  3
 178  2125  4897E561023T                                                                                                                                                  1
 179  2137  84795E16203T                                                                                                                                                  E
 180  2149  487591E2630T                                                                                                                                                  3
 181  2161  47895E16203T                                                                                                                                                  1
 182  2173  748591E2630T                                                                                                                                                  3
 183  2185  78495E16203T                                                                                                                                                  1
 184  2197  874591E2630T                                                                                                                                                  3
 185  2209  7854192E603T                                                                                                                                                  9
 186  2221  75814296E30T                                                                                                                                                  1
 187  2233  5784192E603T                                                                                                                                                  3
 188  2245  58714296E30T                                                                                                                                                  1
