   1     1  1234567890ET                                                                                                                                                  
   2    13  1234567890ET                                                                                                                                                  =
   3    25  1234567890ET                                                                                                                                                  =
   4    37  1234567890ET                                                                                                                                                  =
   5    49  1234567890ET                                                                                                                                                  =
   6    61  1234567890ET                                                                                                                                                  =
   7    73  1234567890ET                                                                                                                                                  =
   8    85  1234567890ET                                                                                                                                                  =
   9    97  1234567890ET                                                                                                                                                  =
  10   109  1234567890ET                                                                                                                                                  =
  11   121  1234567890ET                                                                                                                                                  =
  12   133  1234567890ET                                                                                                                                                  =
  13   145  1234567890ET                                                                                                                                                  =
  14   157  1234567890ET                                                                                                                                                  =
  15   169  1234567890ET                                                                                                                                                  =
  16   181  1234567890ET                                                                                                                                                  =
  17   193  1234567890ET                                                                                                                                                  =
  18   205  1234567890ET                                                                                                                                                  =
  19   217  1234567890ET                                                                                                                                                  =
  20   229  1234567890ET                                                                                                                                                  =
  21   241  1234567890ET                                                                                                                                                  =
  22   253  1234567890ET                                                                                                                                                  =
  23   265  2143658709TE                                                                                                                                                  -
  24   277  124638507T9E                                                                                                                                                  3
  25   289  21648305T7E9                                                                                                                                                  -
  26   301  261438507T9E                                                                                                                                                  4
  27   313  62418305T7E9                                                                                                                                                  -
  28   325  6214803T5E79                                                                                                                                                  25
  29   337  264108T3E597                                                                                                                                                  -
  30   349  6240183T5E79                                                                                                                                                  36
  31   361  260481T3E597                                                                                                                                                  -
  32   373  206418TE3957                                                                                                                                                  47
  33   385  024681ET9375                                                                                                                                                  -
  34   397  20648E1T3957                                                                                                                                                  58
  35   409  0246E8T19375                                                                                                                                                  -
  36   421  042E681T9735                                                                                                                                                  69
  37   433  40E286T17953                                                                                                                                                  -
  38   445  042E68T71935                                                                                                                                                  70
  39   457  40E2867T9153                                                                                                                                                  -
  40   469  4E08276T1935                                                                                                                                                  8
  41   481  E48072T69153                                                                                                                                                  -
  42   493  4E08276T9513                                                                                                                                                  9
  43   505  E48072T65931                                                                                                                                                  -
  44   517  E8470T256913                                                                                                                                                  0
  45   529  8E74T0529631                                                                                                                                                  -
  46   541  E8470T256931                                                                                                                                                  E
  47   553  8E74T0529613                                                                                                                                                  -
  48   565  87ET45092631                                                                                                                                                  0
  49   577  78TE54906213                                                                                                                                                  -
  50   589  87ET45096123                                                                                                                                                  9
  51   601  78TE54901632                                                                                                                                                  -
  52   613  7T85E9406123                                                                                                                                                  8
  53   625  T7589E041632                                                                                                                                                  -
  54   637  7T85E9014623                                                                                                                                                  70
  55   649  T7589E106432                                                                                                                                                  -
  56   661  T5798E016342                                                                                                                                                  69
  57   673  5T97E8103624                                                                                                                                                  -
  58   685  T579E1806342                                                                                                                                                  58
  59   697  5T971E083624                                                                                                                                                  -
  60   709  59T7E1038264                                                                                                                                                  47
  61   721  957T1E302846                                                                                                                                                  -
  62   733  5971TE038264                                                                                                                                                  36
  63   745  9517ET302846                                                                                                                                                  -
  64   757  9571E3T20486                                                                                                                                                  25
  65   769  59173E2T4068                                                                                                                                                  -
  66   781  5197E3T20486                                                                                                                                                  4
  67   793  15793E2T4068                                                                                                                                                  -
  68   805  517392E4T608                                                                                                                                                  3
  69   817  1537294E6T80                                                                                                                                                  -
  70   829  157392E4T608                                                                                                                                                  2
  71   841  5137294E6T80                                                                                                                                                  -
  72   853  15327496E8T0                                                                                                                                                  3
  73   865  512347698E0T                                                                                                                                                  -
  74   877  52137496E8T0                                                                                                                                                  4
  75   889  253147698E0T                                                                                                                                                  -
  76   901  2513467890ET                                                                                                                                                  25
  77   913  5231648709TE                                                                                                                                                  -
  78   925  2536147890ET                                                                                                                                                  36
  79   937  5263418709TE                                                                                                                                                  -
  80   949  562314807T9E                                                                                                                                                  47
  81   961  65324108T7E9                                                                                                                                                  -
  82   973  562340187T9E                                                                                                                                                  58
  83   985  65320481T7E9                                                                                                                                                  -
  84   997  63502418TE79                                                                                                                                                  69
  85  1009  36054281ET97                                                                                                                                                  -
  86  1021  6350248E1T79                                                                                                                                                  70
  87  1033  360542E8T197                                                                                                                                                  -
  88  1045  30645E281T79                                                                                                                                                  8
  89  1057  0346E582T197                                                                                                                                                  -
  90  1069  30645E28T917                                                                                                                                                  9
  91  1081  0346E5829T71                                                                                                                                                  -
  92  1093  043E68592T17                                                                                                                                                  0
  93  1105  40E38695T271                                                                                                                                                  -
  94  1117  043E68592T71                                                                                                                                                  E
  95  1129  40E38695T217                                                                                                                                                  -
  96  1141  4E08396T5271                                                                                                                                                  0
  97  1153  E48093T62517                                                                                                                                                  -
  98  1165  4E08396T2157                                                                                                                                                  9
  99  1177  E48093T61275                                                                                                                                                  -
 100  1189  E8490T362157                                                                                                                                                  8
 101  1201  8E94T0631275                                                                                                                                                  -
 102  1213  E8490T613257                                                                                                                                                  70
 103  1225  8E94T0162375                                                                                                                                                  -
 104  1237  89ET40612735                                                                                                                                                  69
 105  1249  98TE04167253                                                                                                                                                  -
 106  1261  89ET01462735                                                                                                                                                  58
 107  1273  98TE10647253                                                                                                                                                  -
 108  1285  9T8E01674523                                                                                                                                                  47
 109  1297  T9E810765432                                                                                                                                                  -
 110  1309  9TE180674523                                                                                                                                                  36
 111  1321  T91E08765432                                                                                                                                                  -
 112  1333  T9E107856342                                                                                                                                                  25
 113  1345  9T1E70583624                                                                                                                                                  -
 114  1357  91TE07856342                                                                                                                                                  4
 115  1369  19ET70583624                                                                                                                                                  -
 116  1381  91E7T5038264                                                                                                                                                  3
 117  1393  197E5T302846                                                                                                                                                  -
 118  1405  19E7T5038264                                                                                                                                                  2
 119  1417  917E5T302846                                                                                                                                                  -
 120  1429  1975E3T20486                                                                                                                                                  3
 121  1441  91573E2T4068                                                                                                                                                  -
 122  1453  9517E3T20486                                                                                                                                                  4
 123  1465  59713E2T4068                                                                                                                                                  -
 124  1477  591732E4T608                                                                                                                                                  25
 125  1489  9571234E6T80                                                                                                                                                  -
 126  1501  597213E4T608                                                                                                                                                  36
 127  1513  9527314E6T80                                                                                                                                                  -
 128  1525  92571346E8T0                                                                                                                                                  47
 129  1537  297531648E0T                                                                                                                                                  -
 130  1549  92573614E8T0                                                                                                                                                  58
 131  1561  297563418E0T                                                                                                                                                  -
 132  1573  2796531480ET                                                                                                                                                  69
 133  1585  7269354108TE                                                                                                                                                  -
 134  1597  2796534018ET                                                                                                                                                  70
 135  1609  7269350481TE                                                                                                                                                  -
 136  1621  7623905418ET                                                                                                                                                  8
 137  1633  6732094581TE                                                                                                                                                  -
 138  1645  762390548T1E                                                                                                                                                  9
 139  1657  67320945T8E1                                                                                                                                                  -
 140  1669  6370249T581E                                                                                                                                                  0
