Bell No,Actual Time,Contest Model,HawkEar Model,RWP Model,Metronomic Model
1,1990,1990,1990,2176.68,1990
2,2210,2211.74,2211.74,2384.8,2191.99
3,2460,2433.48,2433.48,2592.91,2393.98
4,2630,2655.22,2655.22,2801.02,2595.97
5,2870,2876.96,2876.96,3009.14,2797.96
6,3080,3098.7,3098.7,3217.25,2999.95
7,3320,3320.43,3320.43,3425.37,3201.94
8,3580,3542.17,3542.17,3633.48,3403.93
9,3800,3763.91,3763.91,3841.6,3605.92
10,4020,3985.65,3985.65,4049.71,3807.91
11,4280,4207.39,4207.39,4257.83,4009.9
12,4550,4429.13,4429.13,4465.94,4211.89
1,4790,4650.87,4650.87,4674.06,4413.87
2,5020,4872.61,4872.61,4882.17,4615.86
3,5170,5094.35,5094.35,5090.29,4817.85
4,5410,5316.09,5316.09,5298.4,5019.84
5,5590,5537.83,5537.83,5506.52,5221.83
6,5790,5759.57,5759.57,5714.63,5423.82
7,5970,5981.3,5981.3,5922.75,5625.81
8,6160,6203.04,6203.04,6130.86,5827.8
9,6400,6424.78,6424.78,6338.98,6029.79
10,6620,6646.52,6646.52,6547.09,6231.78
11,6880,6868.26,6868.26,6755.2,6433.77
12,7090,7090,7090,6963.32,6635.76
1,7550,7532.79,7532.84,7512.93,7039.74
2,7760,7739.18,7739.23,7721.05,7241.73
3,7940,7945.57,7945.62,7929.16,7443.72
4,8120,8151.96,8152.01,8137.27,7645.71
5,8340,8358.36,8358.4,8345.39,7847.7
6,8570,8564.75,8564.78,8553.5,8049.69
7,8800,8771.14,8771.17,8761.62,8251.68
8,8970,8977.53,8977.56,8969.73,8453.67
9,9170,9183.92,9183.95,9177.85,8655.66
10,9350,9390.31,9390.33,9385.96,8857.65
11,9580,9596.7,9596.72,9594.08,9059.63
12,9830,9803.09,9803.11,9802.19,9261.62
1,9980,10009.5,10009.5,10010.3,9463.61
2,10230,10215.9,10215.9,10218.4,9665.6
3,10440,10422.3,10422.3,10426.5,9867.59
4,10640,10628.7,10628.7,10634.7,10069.6
5,10890,10835.1,10835,10842.8,10271.6
6,11050,11041.4,11041.4,11050.9,10473.6
7,11260,11247.8,11247.8,11259,10675.6
8,11450,11454.2,11454.2,11467.1,10877.5
9,11640,11660.6,11660.6,11675.2,11079.5
10,11870,11867,11867,11883.3,11281.5
11,12060,12073.4,12073.4,12091.5,11483.5
12,12260,12279.8,12279.8,12299.6,11685.5
1,12720,12699.5,12692.9,12695.3,12089.5
2,12940,12902.4,12896.3,12898.5,12291.5
3,13090,13105.4,13099.7,13101.7,12493.5
4,13280,13308.3,13303,13304.8,12695.4
5,13500,13511.2,13506.4,13508,12897.4
6,13680,13714.2,13709.7,13711.1,13099.4
7,13880,13917.1,13913.1,13914.3,13301.4
8,14100,14120.1,14116.4,14117.5,13503.4
9,14330,14323,14319.8,14320.6,13705.4
10,14530,14525.9,14523.2,14523.8,13907.4
11,14730,14728.9,14726.5,14726.9,14109.4
12,14990,14931.8,14929.9,14930.1,14311.4
1,15130,15134.8,15133.2,15133.2,14513.4
2,15350,15337.7,15336.6,15336.4,14715.3
3,15540,15540.6,15539.9,15539.6,14917.3
4,15740,15743.6,15743.3,15742.7,15119.3
5,15960,15946.5,15946.7,15945.9,15321.3
6,16110,16149.5,16150,16149,15523.3
7,16320,16352.4,16353.4,16352.2,15725.3
8,16530,16555.3,16556.7,16555.4,15927.3
9,16730,16758.3,16760.1,16758.5,16129.3
10,16980,16961.2,16963.4,16961.7,16331.3
11,17190,17164.2,17166.8,17164.8,16533.2
12,17410,17367.1,17370.2,17368,16735.2
1,17830,17793,17785.6,17795,17139.2
2,18050,17995.2,17988.3,17997.1,17341.2
3,18200,18197.5,18191,18199.1,17543.2
4,18390,18399.7,18393.7,18401.2,17745.2
5,18600,18601.9,18596.4,18603.3,17947.2
6,18770,18804.1,18799.1,18805.3,18149.2
7,18950,19006.4,19001.8,19007.4,18351.2
8,19170,19208.6,19204.5,19209.5,18553.1
9,19390,19410.8,19407.2,19411.5,18755.1
10,19590,19613,19609.9,19613.6,18957.1
11,19810,19815.3,19812.6,19815.7,19159.1
12,20070,20017.5,20015.3,20017.7,19361.1
1,20210,20219.7,20218,20219.8,19563.1
2,20450,20421.9,20420.7,20421.8,19765.1
3,20640,20624.2,20623.4,20623.9,19967.1
4,20850,20826.4,20826.1,20826,20169.1
5,21060,21028.6,21028.8,21028,20371
6,21220,21230.8,21231.5,21230.1,20573
7,21410,21433.1,21434.2,21432.2,20775
8,21640,21635.3,21636.9,21634.2,20977
9,21810,21837.5,21839.6,21836.3,21179
10,22030,22039.7,22042.3,22038.4,21381
11,22250,22242,22245,22240.4,21583
12,22460,22444.2,22447.6,22442.5,21785
1,22940,22871,22855.3,22873.5,22189
2,23130,23072.5,23058,23074.9,22390.9
3,23270,23274,23260.7,23276.3,22592.9
4,23470,23475.6,23463.4,23477.6,22794.9
5,23650,23677.1,23666.1,23679,22996.9
6,23850,23878.6,23868.8,23880.3,23198.9
7,24030,24080.1,24071.5,24081.7,23400.9
8,24240,24281.6,24274.2,24283,23602.9
9,24470,24483.2,24476.9,24484.4,23804.9
10,24680,24684.7,24679.6,24685.8,24006.9
11,24870,24886.2,24882.3,24887.1,24208.9
12,25150,25087.7,25085,25088.5,24410.8
1,25310,25289.3,25287.7,25289.8,24612.8
2,25520,25490.8,25490.4,25491.2,24814.8
3,25730,25692.3,25693.2,25692.6,25016.8
4,25920,25893.8,25895.9,25893.9,25218.8
5,26050,26095.4,26098.6,26095.3,25420.8
6,26250,26296.9,26301.3,26296.6,25622.8
7,26470,26498.4,26504,26498,25824.8
8,26680,26699.9,26706.7,26699.4,26026.8
9,26870,26901.4,26909.4,26900.7,26228.7
10,27110,27103,27112.1,27102.1,26430.7
11,27330,27304.5,27314.8,27303.4,26632.7
12,27550,27506,27517.5,27504.8,26834.7
1,27970,27933.6,27915.9,27934.4,27238.7
2,28170,28134.2,28118.3,28135,27440.7
3,28350,28334.7,28320.8,28335.6,27642.7
4,28540,28535.3,28523.2,28536.1,27844.7
5,28730,28735.8,28725.6,28736.7,28046.7
6,28930,28936.4,28928.1,28937.2,28248.6
7,29100,29137,29130.5,29137.8,28450.6
8,29330,29337.5,29332.9,29338.3,28652.6
9,29480,29538.1,29535.3,29538.9,28854.6
10,29710,29738.6,29737.8,29739.4,29056.6
11,29930,29939.2,29940.2,29940,29258.6
12,30200,30139.8,30142.6,30140.6,29460.6
1,30360,30340.3,30345.1,30341.1,29662.6
2,30570,30540.9,30547.5,30541.7,29864.6
3,30760,30741.5,30749.9,30742.2,30066.5
4,30950,30942,30952.3,30942.8,30268.5
5,31130,31142.6,31154.8,31143.3,30470.5
6,31320,31343.1,31357.2,31343.9,30672.5
7,31520,31543.7,31559.6,31544.4,30874.5
8,31750,31744.3,31762.1,31745,31076.5
9,31890,31944.8,31964.5,31945.6,31278.5
10,32180,32145.4,32166.9,32146.1,31480.5
11,32340,32346,32369.3,32346.7,31682.5
12,32570,32546.5,32571.8,32547.2,31884.5
1,32990,32968.7,32959.7,32970,32288.4
2,33190,33169,33161.6,33170.1,32490.4
3,33390,33369.3,33363.5,33370.1,32692.4
4,33560,33569.6,33565.4,33570.2,32894.4
5,33760,33769.9,33767.3,33770.3,33096.4
6,33910,33970.2,33969.2,33970.3,33298.4
7,34120,34170.5,34171.1,34170.4,33500.4
8,34360,34370.9,34373,34370.5,33702.4
9,34580,34571.2,34574.9,34570.6,33904.4
10,34750,34771.5,34776.8,34770.6,34106.3
11,34930,34971.8,34978.7,34970.7,34308.3
12,35210,35172.1,35180.6,35170.8,34510.3
1,35400,35372.4,35382.6,35370.9,34712.3
2,35600,35572.7,35584.5,35570.9,34914.3
3,35780,35773,35786.4,35771,35116.3
4,36010,35973.3,35988.3,35971.1,35318.3
5,36170,36173.7,36190.2,36171.2,35520.3
6,36330,36374,36392.1,36371.2,35722.3
7,36560,36574.3,36594,36571.3,35924.2
8,36780,36774.6,36795.9,36771.4,36126.2
9,36970,36974.9,36997.8,36971.5,36328.2
10,37190,37175.2,37199.7,37171.5,36530.2
11,37370,37375.5,37401.6,37371.6,36732.2
12,37590,37575.8,37603.5,37571.7,36934.2
1,38020,38001.8,37991.6,37993.9,37338.2
2,38230,38201.5,38193,38194.2,37540.2
3,38410,38401.2,38394.4,38394.6,37742.2
4,38610,38600.9,38595.8,38595,37944.1
5,38790,38800.5,38797.2,38795.4,38146.1
6,38980,39000.2,38998.6,38995.8,38348.1
7,39180,39199.9,39200,39196.2,38550.1
8,39400,39399.6,39401.4,39396.6,38752.1
9,39590,39599.2,39602.8,39597,38954.1
10,39760,39798.9,39804.2,39797.4,39156.1
11,39920,39998.6,40005.6,39997.7,39358.1
12,40240,40198.3,40207,40198.1,39560.1
1,40430,40398,40408.4,40398.5,39762
2,40640,40597.6,40609.8,40598.9,39964
3,40840,40797.3,40811.2,40799.3,40166
