   1     1  1234567890ET                                                                                                                                                  
   2    13  1234567890ET                                                                                                                                                  =
   3    25  1234567890ET                                                                                                                                                  =
   4    37  1234567890ET                                                                                                                                                  =
   5    49  1234567890ET                                                                                                                                                  =
   6    61  1234567890ET                                                                                                                                                  =
   7    73  1234567890ET                                                                                                                                                  =
   8    85  1234567890ET                                                                                                                                                  =
   9    97  1234567890ET                                                                                                                                                  =
  10   109  1234567890ET                                                                                                                                                  =
  11   121  1234567890ET                                                                                                                                                  =
  12   133  1234567890ET                                                                                                                                                  =
  13   145  1234567890ET                                                                                                                                                  =
  14   157  1234567890ET                                                                                                                                                  =
  15   169  1234567890ET                                                                                                                                                  =
  16   181  1234567890ET                                                                                                                                                  =
  17   193  1234567890ET                                                                                                                                                  =
  18   205  1234567890ET                                                                                                                                                  =
  19   217  1234567890ET                                                                                                                                                  =
  20   229  1234567890ET                                                                                                                                                  =
  21   241  1234567890ET                                                                                                                                                  =
  22   253  1234567890ET                                                                                                                                                  =
  23   265  1234567890ET                                                                                                                                                  =
  24   277  1234567890ET                                                                                                                                                  =
  25   289  2143658709TE                                                                                                                                                  -
  26   301  124638507T9E                                                                                                                                                  3
  27   313  21648305T7E9                                                                                                                                                  -
  28   325  261438507T9E                                                                                                                                                  4
  29   337  62418305T7E9                                                                                                                                                  -
  30   349  6214803T5E79                                                                                                                                                  25
  31   361  264108T3E597                                                                                                                                                  -
  32   373  6240183T5E79                                                                                                                                                  36
  33   385  260481T3E597                                                                                                                                                  -
  34   397  206418TE3957                                                                                                                                                  47
  35   409  024681ET9375                                                                                                                                                  -
  36   421  20648E1T3957                                                                                                                                                  58
  37   433  0246E8T19375                                                                                                                                                  -
  38   445  042E681T9735                                                                                                                                                  69
  39   457  40E286T17953                                                                                                                                                  -
  40   469  042E68T71935                                                                                                                                                  70
  41   481  40E2867T9153                                                                                                                                                  -
  42   493  4E08276T1935                                                                                                                                                  8
  43   505  E48072T69153                                                                                                                                                  -
  44   517  4E08276T9513                                                                                                                                                  9
  45   529  E48072T65931                                                                                                                                                  -
  46   541  E8470T256913                                                                                                                                                  0
  47   553  8E74T0529631                                                                                                                                                  -
  48   565  E8470T256931                                                                                                                                                  E
  49   577  8E74T0529613                                                                                                                                                  -
  50   589  87ET45092631                                                                                                                                                  0
  51   601  78TE54906213                                                                                                                                                  -
  52   613  87ET45096123                                                                                                                                                  9
  53   625  78TE54901632                                                                                                                                                  -
  54   637  7T85E9406123                                                                                                                                                  8
  55   649  T7589E041632                                                                                                                                                  -
  56   661  7T85E9014623                                                                                                                                                  70
  57   673  T7589E106432                                                                                                                                                  -
  58   685  T5798E016342                                                                                                                                                  69
  59   697  5T97E8103624                                                                                                                                                  -
  60   709  T579E1806342                                                                                                                                                  58
  61   721  5T971E083624                                                                                                                                                  -
  62   733  59T7E1038264                                                                                                                                                  47
  63   745  957T1E302846                                                                                                                                                  -
  64   757  5971TE038264                                                                                                                                                  36
  65   769  9517ET302846                                                                                                                                                  -
  66   781  9571E3T20486                                                                                                                                                  25
  67   793  59173E2T4068                                                                                                                                                  -
  68   805  5197E3T20486                                                                                                                                                  4
  69   817  15793E2T4068                                                                                                                                                  -
  70   829  517392E4T608                                                                                                                                                  3
  71   841  1537294E6T80                                                                                                                                                  -
  72   853  157392E4T608                                                                                                                                                  2
  73   865  5137294E6T80                                                                                                                                                  -
  74   877  15327496E8T0                                                                                                                                                  3
  75   889  512347698E0T                                                                                                                                                  -
  76   901  52137496E8T0                                                                                                                                                  4
  77   913  253147698E0T                                                                                                                                                  -
  78   925  2513467890ET                                                                                                                                                  25
  79   937  5231648709TE                                                                                                                                                  -
  80   949  2536147890ET                                                                                                                                                  36
  81   961  5263418709TE                                                                                                                                                  -
  82   973  562314807T9E                                                                                                                                                  47
  83   985  65324108T7E9                                                                                                                                                  -
  84   997  562341087T9E                                                                                                                                                  5678
  85  1009  65320481T7E9                                                                                                                                                  ?
  86  1021  63524018TE79                                                                                                                                                  49
  87  1033  36504281ET97                                                                                                                                                  ?
  88  1045  6352048E1T79                                                                                                                                                  ?
  89  1057  360542E8T197                                                                                                                                                  ?
  90  1069  30645E281T79                                                                                                                                                  8
  91  1081  0346E582T197                                                                                                                                                  -
  92  1093  30645E28T917                                                                                                                                                  9
  93  1105  0346E5829T71                                                                                                                                                  -
  94  1117  043E68592T17                                                                                                                                                  0
  95  1129  40E38695T271                                                                                                                                                  -
  96  1141  043E68952T71                                                                                                                                                  78E
  97  1153  40E38695T217                                                                                                                                                  78
  98  1165  4E08396T5271                                                                                                                                                  0
  99  1177  E48093T62517                                                                                                                                                  -
 100  1189  4E08396T2157                                                                                                                                                  9
 101  1201  E48093T61275                                                                                                                                                  -
 102  1213  E8490T362157                                                                                                                                                  8
 103  1225  8E94T0631275                                                                                                                                                  -
 104  1237  E8490T613257                                                                                                                                                  70
 105  1249  8E94T0162375                                                                                                                                                  -
 106  1261  89ET40612735                                                                                                                                                  69
 107  1273  98TE04167253                                                                                                                                                  -
 108  1285  89ET01462735                                                                                                                                                  58
 109  1297  98TE10647253                                                                                                                                                  -
 110  1309  9T8E01674523                                                                                                                                                  47
 111  1321  T9E810765432                                                                                                                                                  -
 112  1333  9TE180674523                                                                                                                                                  36
 113  1345  T91E08765432                                                                                                                                                  -
 114  1357  T9E107856342                                                                                                                                                  25
 115  1369  9T1E70583624                                                                                                                                                  -
 116  1381  91TE07856342                                                                                                                                                  4
 117  1393  19ET70583624                                                                                                                                                  -
 118  1405  91E7T5038264                                                                                                                                                  3
 119  1417  197E5T302846                                                                                                                                                  -
 120  1429  19E7T5038264                                                                                                                                                  2
 121  1441  917E5T302846                                                                                                                                                  -
 122  1453  1975E3T20486                                                                                                                                                  3
 123  1465  91573E2T4068                                                                                                                                                  -
 124  1477  9517E3T20486                                                                                                                                                  4
 125  1489  59713E2T4068                                                                                                                                                  -
 126  1501  591732E4T608                                                                                                                                                  25
 127  1513  9571234E6T80                                                                                                                                                  -
 128  1525  597213E4T608                                                                                                                                                  36
 129  1537  9527314E6T80                                                                                                                                                  -
 130  1549  92571346E8T0                                                                                                                                                  47
 131  1561  297531648E0T                                                                                                                                                  -
 132  1573  92573614E8T0                                                                                                                                                  58
 133  1585  297563418E0T                                                                                                                                                  -
 134  1597  2796531480ET                                                                                                                                                  69
 135  1609  7269354108TE                                                                                                                                                  -
 136  1621  2796534018ET                                                                                                                                                  70
 137  1633  7269350481TE                                                                                                                                                  -
 138  1645  7623905418ET                                                                                                                                                  8
 139  1657  6732094581TE                                                                                                                                                  -
 140  1669  762390548T1E                                                                                                                                                  9
