 207  1649  47625318                                                                  7
 208  1657  46752138                                                                  1
 209  1665  64571238                                                                  7
 210  1673  65417328                                                                  1
 211  1681  56143728                                                                  7
 212  1689  51634278                                                                  1
 213  1697  15362478                                                                  7
 214  1705  15634278                                                                  27
 215  1713  51362478                                                                  7
 216  1721  53126748                                                                  1
 217  1729  35217648                                                                  7
 218  1737  32574168                                                                  ?
 219  1745  23754168                                                                  567
 220  1753  27435618                                                                  ?
 221  1761  74236518                                                                  ?
 222  1769  74263158                                                                  23
 223  1777  47621358                                                                  7
 224  1785  46712538                                                                  1
 225  1793  64175238                                                                  7
 226  1801  61457328                                                                  1
 227  1809  16543728                                                                  7
 228  1817  16457328                                                                  27
 229  1825  61543728                                                                  7
 230  1833  65134278                                                                  1
 231  1841  56312478                                                                  7
 232  1849  53621748                                                                  1
 233  1857  35267148                                                                  7
 234  1865  32576418                                                                  1
 235  1873  23754618                                                                  7
 236  1881  27345168                                                                  1
 237  1889  72431568                                                                  7
 238  1897  74213658                                                                  1
 239  1905  47126358                                                                  7
 240  1913  41762538                                                                  1
 241  1921  14675238                                                                  7
 242  1929  16472538                                                                  47
 243  1937  61745238                                                                  7
 244  1945  67154328                                                                  1
 245  1953  76513428                                                                  7
 246  1961  75631248                                                                  1
 247  1969  57362148                                                                  7
 248  1977  53726418                                                                  1
 249  1985  35274618                                                                  7
 250  1993  32547168                                                                  1
 251  2001  23451768                                                                  7
 252  2009  24315678                                                                  1
 253  2017  42136578                                                                  7
 254  2025  41263758                                                                  1
 255  2033  14627358                                                                  7
 256  2041  14263758                                                                  27
 257  2049  41627358                                                                  7
 258  2057  46172538                                                                  1
 259  2065  64715238                                                                  7
 260  2073  67451328                                                                  1
 261  2081  76543128                                                                  7
 262  2089  75634218                                                                  1
 263  2097  57362418                                                                  7
 264  2105  53726148                                                                  1
 265  2113  35271648                                                                  7
 266  2121  32517468                                                                  1
 267  2129  23154768                                                                  7
 268  2137  21345678                                                                  1
 269  2145  12436578                                                                  7
 270  2153  12345678                                                                  27
 271  2161  12345678                                                                  =
 272  2169  12345678                                                                  =
