   1     1  1234567890ET                                                                                                                                                  
   2    13  1234567890ET                                                                                                                                                  =
   3    25  1234567890ET                                                                                                                                                  =
   4    37  1234567890ET                                                                                                                                                  =
   5    49  1234567890ET                                                                                                                                                  =
   6    61  1234567890ET                                                                                                                                                  =
   7    73  1234567890ET                                                                                                                                                  =
   8    85  1234567890ET                                                                                                                                                  =
   9    97  1234567890ET                                                                                                                                                  =
  10   109  1234567890ET                                                                                                                                                  =
  11   121  1234567890ET                                                                                                                                                  =
  12   133  1234567890ET                                                                                                                                                  =
  13   145  1234567890ET                                                                                                                                                  =
  14   157  1234567890ET                                                                                                                                                  =
  15   169  1234567890ET                                                                                                                                                  =
  16   181  1234567890ET                                                                                                                                                  =
  17   193  1234567890ET                                                                                                                                                  =
  18   205  1234567890ET                                                                                                                                                  =
  19   217  1234567890ET                                                                                                                                                  =
  20   229  1234567890ET                                                                                                                                                  =
  21   241  1234567890ET                                                                                                                                                  =
  22   253  1234567890ET                                                                                                                                                  =
  23   265  1234567890ET                                                                                                                                                  =
  24   277  1234567890ET                                                                                                                                                  =
  25   289  1234567890ET                                                                                                                                                  =
  26   301  1234567890ET                                                                                                                                                  =
  27   313  1234567890ET                                                                                                                                                  =
  28   325  1234567890ET                                                                                                                                                  =
  29   337  1234567890ET                                                                                                                                                  =
  30   349  1234567890ET                                                                                                                                                  =
  31   361  1234567890ET                                                                                                                                                  =
  32   373  1234567890ET                                                                                                                                                  =
  33   385  1234567890ET                                                                                                                                                  =
  34   397  1234567890ET                                                                                                                                                  =
  35   409  1234567890ET                                                                                                                                                  =
  36   421  1234567890ET                                                                                                                                                  =
  37   433  1234567890ET                                                                                                                                                  =
  38   445  1234567890ET                                                                                                                                                  =
  39   457  1234567890ET                                                                                                                                                  =
  40   469  1234567890ET                                                                                                                                                  =
  41   481  1234567890ET                                                                                                                                                  =
  42   493  1234567890ET                                                                                                                                                  =
  43   505  2143658709TE                                                                                                                                                  -
  44   517  124638507T9E                                                                                                                                                  3
  45   529  21648305T7E9                                                                                                                                                  -
  46   541  261438507T9E                                                                                                                                                  4
  47   553  62418305T7E9                                                                                                                                                  -
  48   565  6214803T5E79                                                                                                                                                  25
  49   577  264108T3E597                                                                                                                                                  -
  50   589  6240183T5E79                                                                                                                                                  36
  51   601  260481T3E597                                                                                                                                                  -
  52   613  206418TE3957                                                                                                                                                  47
  53   625  024681ET9375                                                                                                                                                  -
  54   637  20648E1T3957                                                                                                                                                  58
  55   649  0246E8T19375                                                                                                                                                  -
  56   661  042E681T9735                                                                                                                                                  69
  57   673  40E286T17953                                                                                                                                                  -
  58   685  042E68T71935                                                                                                                                                  70
  59   697  40E2867T9153                                                                                                                                                  -
  60   709  4E08276T1935                                                                                                                                                  8
  61   721  E48072T69153                                                                                                                                                  -
  62   733  4E08276T9513                                                                                                                                                  9
  63   745  E48072T65931                                                                                                                                                  -
  64   757  E8470T256913                                                                                                                                                  0
  65   769  8E74T0529631                                                                                                                                                  -
  66   781  E8470T256931                                                                                                                                                  E
  67   793  8E74T0529613                                                                                                                                                  -
  68   805  87ET45092631                                                                                                                                                  0
  69   817  78TE54906213                                                                                                                                                  -
  70   829  87ET45096123                                                                                                                                                  9
  71   841  78TE54901632                                                                                                                                                  -
  72   853  7T85E9406123                                                                                                                                                  8
  73   865  T7589E041632                                                                                                                                                  -
  74   877  7T85E9014623                                                                                                                                                  70
  75   889  T7589E106432                                                                                                                                                  -
  76   901  T5798E016342                                                                                                                                                  69
  77   913  5T97E8103624                                                                                                                                                  -
  78   925  T579E1806342                                                                                                                                                  58
  79   937  5T971E083624                                                                                                                                                  -
  80   949  59T7E1038264                                                                                                                                                  47
  81   961  957T1E302846                                                                                                                                                  -
  82   973  5971TE038264                                                                                                                                                  36
  83   985  9517ET302846                                                                                                                                                  -
  84   997  9571E3T20486                                                                                                                                                  25
  85  1009  59173E2T4068                                                                                                                                                  -
  86  1021  5197E3T20486                                                                                                                                                  4
  87  1033  15793E2T4068                                                                                                                                                  -
  88  1045  517392E4T608                                                                                                                                                  3
  89  1057  1537294E6T80                                                                                                                                                  -
  90  1069  157392E4T608                                                                                                                                                  2
  91  1081  5137294E6T80                                                                                                                                                  -
  92  1093  15327496E8T0                                                                                                                                                  3
  93  1105  512347698E0T                                                                                                                                                  -
  94  1117  52137496E8T0                                                                                                                                                  4
  95  1129  253147698E0T                                                                                                                                                  -
  96  1141  2513467890ET                                                                                                                                                  25
  97  1153  5231648709TE                                                                                                                                                  -
  98  1165  2536147890ET                                                                                                                                                  36
  99  1177  5263418709TE                                                                                                                                                  -
 100  1189  562314807T9E                                                                                                                                                  47
 101  1201  65324108T7E9                                                                                                                                                  -
 102  1213  562340187T9E                                                                                                                                                  58
 103  1225  65320481T7E9                                                                                                                                                  -
 104  1237  63502418TE79                                                                                                                                                  69
 105  1249  36054281ET97                                                                                                                                                  -
 106  1261  6350248E1T79                                                                                                                                                  70
 107  1273  360542E8T197                                                                                                                                                  -
 108  1285  30645E281T79                                                                                                                                                  8
 109  1297  0346E582T197                                                                                                                                                  -
 110  1309  30645E28T917                                                                                                                                                  9
 111  1321  0346E5829T71                                                                                                                                                  -
 112  1333  043E68592T17                                                                                                                                                  0
 113  1345  40E38695T271                                                                                                                                                  -
 114  1357  043E68592T71                                                                                                                                                  E
 115  1369  40E38695T217                                                                                                                                                  -
 116  1381  4E08396T5271                                                                                                                                                  0
 117  1393  E48093T62517                                                                                                                                                  -
 118  1405  4E08396T2157                                                                                                                                                  9
 119  1417  E48093T61275                                                                                                                                                  -
 120  1429  E8490T362157                                                                                                                                                  8
 121  1441  8E94T0631275                                                                                                                                                  -
 122  1453  E8490T613257                                                                                                                                                  70
 123  1465  8E94T0162375                                                                                                                                                  -
 124  1477  89ET40612735                                                                                                                                                  69
 125  1489  98TE04167253                                                                                                                                                  -
 126  1501  89ET01462735                                                                                                                                                  58
 127  1513  98TE10647253                                                                                                                                                  -
 128  1525  9T8E01674523                                                                                                                                                  47
 129  1537  T9E810765432                                                                                                                                                  -
 130  1549  9T8E10674523                                                                                                                                                  56
 131  1561  T91E80765432                                                                                                                                                  ?
 132  1573  T9E108756342                                                                                                                                                  27
 133  1585  9T1E70853624                                                                                                                                                  ?
 134  1597  91TE08756342                                                                                                                                                  ?
 135  1609  19ET70583624                                                                                                                                                  ?
 136  1621  91E7T5038264                                                                                                                                                  3
 137  1633  197E5T302846                                                                                                                                                  -
 138  1645  19E7T5038264                                                                                                                                                  2
 139  1657  917E5T302846                                                                                                                                                  -
 140  1669  1975E3T20486                                                                                                                                                  3
