Bell No,Actual Time,Contest Model,HawkEar Model,RWP Model,Metronomic Model
1,1990,1990,1990,2119.23,1990
2,2230,2217.83,2217.83,2332.99,2189.11
3,2470,2445.65,2445.65,2546.75,2388.23
4,2710,2673.48,2673.48,2760.52,2587.34
5,2870,2901.3,2901.3,2974.28,2786.45
6,3130,3129.13,3129.13,3188.04,2985.56
7,3320,3356.96,3356.96,3401.81,3184.68
8,3600,3584.78,3584.78,3615.57,3383.79
9,3840,3812.61,3812.61,3829.33,3582.9
10,4100,4040.43,4040.43,4043.09,3782.02
11,4370,4268.26,4268.26,4256.86,3981.13
12,4680,4496.09,4496.09,4470.62,4180.24
1,4600,4723.91,4723.91,4684.38,4379.35
2,4850,4951.74,4951.74,4898.14,4578.47
3,5060,5179.57,5179.57,5111.91,4777.58
4,5320,5407.39,5407.39,5325.67,4976.69
5,5540,5635.22,5635.22,5539.43,5175.81
6,5790,5863.04,5863.04,5753.19,5374.92
7,5970,6090.87,6090.87,5966.96,5574.03
8,6210,6318.7,6318.7,6180.72,5773.14
9,6420,6546.52,6546.52,6394.48,5972.26
10,6650,6774.35,6774.35,6608.25,6171.37
11,6910,7002.17,7002.17,6822.01,6370.48
12,7230,7230,7230,7035.77,6569.59
1,7660,7635.45,7652.22,7552.98,6967.82
2,7880,7842.34,7858.04,7766.74,7166.93
3,8030,8049.23,8063.86,7980.5,7366.05
4,8290,8256.13,8269.68,8194.27,7565.16
5,8390,8463.02,8475.5,8408.03,7764.27
6,8590,8669.91,8681.32,8621.79,7963.38
7,8810,8876.8,8887.14,8835.56,8162.5
8,9080,9083.69,9092.96,9049.32,8361.61
9,9240,9290.58,9298.78,9263.08,8560.72
10,9440,9497.47,9504.6,9476.84,8759.84
11,9700,9704.36,9710.42,9690.61,8958.95
12,9850,9911.25,9916.25,9904.37,9158.06
1,10180,10118.1,10122.1,10118.1,9357.17
2,10390,10325,10327.9,10331.9,9556.29
3,10610,10531.9,10533.7,10545.7,9755.4
4,10830,10738.8,10739.5,10759.4,9954.51
5,10990,10945.7,10945.3,10973.2,10153.6
6,11220,11152.6,11151.2,11186.9,10352.7
7,11300,11359.5,11357,11400.7,10551.9
8,11530,11566.4,11562.8,11614.5,10751
9,11740,11773.3,11768.6,11828.2,10950.1
10,11930,11980.2,11974.5,12042,11149.2
11,12220,12187.1,12180.3,12255.8,11348.3
12,12370,12393.9,12386.1,12469.5,11547.4
1,12940,12881.5,12851.7,12860.2,11945.6
2,13140,13087.9,13060,13069,12144.8
3,13320,13294.3,13268.3,13277.7,12343.9
4,13580,13500.8,13476.7,13486.4,12543
5,13690,13707.2,13685,13695.1,12742.1
6,13870,13913.6,13893.3,13903.8,12941.2
7,14100,14120,14101.7,14112.5,13140.3
8,14340,14326.5,14310,14321.2,13339.4
9,14490,14532.9,14518.3,14529.9,13538.5
10,14670,14739.3,14726.6,14738.6,13737.7
11,14920,14945.7,14935,14947.4,13936.8
12,15190,15152.2,15143.3,15156.1,14135.9
1,15370,15358.6,15351.6,15364.8,14335
2,15610,15565,15559.9,15573.5,14534.1
3,15820,15771.4,15768.3,15782.2,14733.2
4,16020,15977.9,15976.6,15990.9,14932.3
5,16190,16184.3,16184.9,16199.6,15131.4
6,16370,16390.7,16393.2,16408.3,15330.6
7,16590,16597.1,16601.6,16617,15529.7
8,16780,16803.6,16809.9,16825.7,15728.8
9,16970,17010,17018.2,17034.5,15927.9
10,17160,17216.4,17226.5,17243.2,16127
11,17420,17422.8,17434.9,17451.9,16326.1
12,17700,17629.3,17643.2,17660.6,16525.2
1,18140,18093.6,18076,18071.1,16923.5
2,18330,18297.9,18281.4,18277.3,17122.6
3,18510,18502.1,18486.8,18483.4,17321.7
4,18750,18706.4,18692.1,18689.5,17520.8
5,18860,18910.6,18897.5,18895.7,17719.9
