Bell No,Actual Time,Contest Model,HawkEar Model,RWP Model,Metronomic Model
1,1980,1980,1980,2509.28,1980
2,2300,2233.91,2233.91,2735.98,2191.75
3,2670,2487.83,2487.83,2962.67,2403.5
4,2930,2741.74,2741.74,3189.36,2615.24
5,3180,2995.65,2995.65,3416.06,2826.99
6,3480,3249.57,3249.57,3642.75,3038.74
7,3740,3503.48,3503.48,3869.44,3250.49
8,4000,3757.39,3757.39,4096.13,3462.24
9,4270,4011.3,4011.3,4322.83,3673.98
10,4560,4265.22,4265.22,4549.52,3885.73
11,4740,4519.13,4519.13,4776.21,4097.48
12,5140,4773.04,4773.04,5002.9,4309.23
1,5510,5026.96,5026.96,5229.6,4520.98
2,5790,5280.87,5280.87,5456.29,4732.72
3,5980,5534.78,5534.78,5682.98,4944.47
4,6200,5788.7,5788.7,5909.67,5156.22
5,6400,6042.61,6042.61,6136.37,5367.97
6,6640,6296.52,6296.52,6363.06,5579.72
9,6720,6550.43,6550.43,6589.75,5791.46
7,6830,6804.35,6804.35,6816.44,6003.21
8,7050,7058.26,7058.26,7043.14,6214.96
10,7300,7312.17,7312.17,7269.83,6426.71
11,7560,7566.09,7566.09,7496.52,6638.46
12,7820,7820,7820,7723.22,6850.2
1,8370,8407.62,8380.17,8318.87,7273.7
2,8650,8626.11,8600.42,8545.56,7485.45
3,8880,8844.61,8820.66,8772.25,7697.2
4,9060,9063.1,9040.91,8998.95,7908.94
5,9280,9281.6,9261.16,9225.64,8120.69
6,9530,9500.09,9481.41,9452.33,8332.44
7,9790,9718.59,9701.66,9679.02,8544.19
8,9980,9937.09,9921.9,9905.72,8755.94
9,10240,10155.6,10142.2,10132.4,8967.68
10,10320,10374.1,10362.4,10359.1,9179.43
11,10580,10592.6,10582.6,10585.8,9391.18
12,10790,10811.1,10802.9,10812.5,9602.93
1,11050,11029.6,11023.1,11039.2,9814.68
2,11290,11248.1,11243.4,11265.9,10026.4
3,11470,11466.6,11463.6,11492.6,10238.2
4,11670,11685,11683.9,11719.3,10449.9
5,11940,11903.5,11904.1,11946,10661.7
6,12100,12122,12124.4,12172.6,10873.4
7,12340,12340.5,12344.6,12399.3,11085.2
8,12590,12559,12564.9,12626,11296.9
9,12630,12777.5,12785.1,12852.7,11508.7
10,12970,12996,13005.4,13079.4,11720.4
11,13220,13214.5,13225.6,13306.1,11932.2
12,13480,13433,13445.9,13532.8,12143.9
1,13760,13859.6,13852,13816.9,12567.4
2,14060,14074,14066.9,14034.2,12779.1
3,14250,14288.5,14281.9,14251.4,12990.9
4,14450,14502.9,14496.8,14468.7,13202.6
5,14660,14717.4,14711.7,14685.9,13414.4
6,14870,14931.8,14926.6,14903.2,13626.1
7,15130,15146.2,15141.6,15120.5,13837.9
8,15310,15360.7,15356.5,15337.7,14049.6
9,15550,15575.1,15571.4,15555,14261.4
10,15760,15789.6,15786.3,15772.3,14473.1
11,16050,16004,16001.3,15989.5,14684.9
12,16320,16218.4,16216.2,16206.8,14896.6
1,16480,16432.9,16431.1,16424,15108.4
2,16700,16647.3,16646,16641.3,15320.1
3,16870,16861.8,16861,16858.6,15531.9
4,17080,17076.2,17075.9,17075.8,15743.6
5,17330,17290.6,17290.8,17293.1,15955.4
6,17530,17505.1,17505.7,17510.4,16167.1
7,17710,17719.5,17720.7,17727.6,16378.9
8,17860,17934,17935.6,17944.9,16590.6
9,18110,18148.4,18150.5,18162.2,16802.4
10,18340,18362.9,18365.4,18379.4,17014.1
11,18590,18577.3,18580.4,18596.7,17225.9
12,18800,18791.7,18795.3,18813.9,17437.6
1,19170,19221.3,19220.1,19178,17861.1
2,19450,19433.4,19432.3,19393.8,18072.8
3,19650,19645.5,19644.5,19609.5,18284.6
4,19830,19857.6,19856.7,19825.3,18496.3
5,20040,20069.8,20068.9,20041,18708.1
6,20260,20281.9,20281.1,20256.8,18919.8
7,20530,20494,20493.3,20472.5,19131.6
8,20740,20706.1,20705.5,20688.3,19343.3
9,20920,20918.2,20917.7,20904,19555.1
10,21060,21130.4,21129.9,21119.8,19766.8
11,21310,21342.5,21342.1,21335.5,19978.6
12,21590,21554.6,21554.3,21551.3,20190.3
1,21820,21766.7,21766.5,21767,20402.1
2,22030,21978.9,21978.7,21982.8,20613.8
3,22200,22191,22190.9,22198.6,20825.6
4,22420,22403.1,22403.1,22414.3,21037.3
5,22660,22615.2,22615.3,22630.1,21249.1
6,22780,22827.3,22827.4,22845.8,21460.8
7,23040,23039.5,23039.6,23061.6,21672.6
8,23240,23251.6,23251.8,23277.3,21884.3
9,23440,23463.7,23464,23493.1,22096.1
10,23650,23675.8,23676.2,23708.8,22307.8
11,23920,23888,23888.4,23924.6,22519.6
12,24070,24100.1,24100.6,24140.3,22731.3
1,24500,24532.5,24529.4,24510.5,23154.8
2,24780,24744.9,24741.8,24724.7,23366.5
3,24950,24957.2,24954.1,24938.9,23578.3
4,25140,25169.6,25166.4,25153.2,23790
5,25360,25381.9,25378.8,25367.4,24001.8
6,25580,25594.3,25591.1,25581.6,24213.5
7,25780,25806.6,25803.4,25795.9,24425.3
8,26020,26018.9,26015.7,26010.1,24637
9,26300,26231.3,26228.1,26224.3,24848.8
10,26410,26443.6,26440.4,26438.6,25060.5
11,26600,26656,26652.7,26652.8,25272.3
12,26870,26868.3,26865.1,26867,25484
1,27200,27080.7,27077.4,27081.3,25695.8
2,27420,27293,27289.7,27295.5,25907.5
3,27460,27505.4,27502,27509.8,26119.3
4,27710,27717.7,27714.4,27724,26331
5,27960,27930.1,27926.7,27938.2,26542.8
6,28100,28142.4,28139,28152.5,26754.5
7,28340,28354.7,28351.4,28366.7,26966.3
8,28530,28567.1,28563.7,28580.9,27178
9,28730,28779.4,28776,28795.2,27389.8
10,28980,28991.8,28988.3,29009.4,27601.5
11,29250,29204.1,29200.7,29223.6,27813.3
12,29410,29416.5,29413,29437.9,28025
1,29800,29815,29820.1,29770.8,28448.5
