Bell No,Actual Time,Contest Model,HawkEar Model,RWP Model,Metronomic Model
1,1980,1980,1980,2346.91,1980
2,2260,2218.26,2218.26,2565.66,2188.78
3,2500,2456.52,2456.52,2784.41,2397.56
4,2820,2694.78,2694.78,3003.15,2606.35
5,3040,2933.04,2933.04,3221.9,2815.13
6,3290,3171.3,3171.3,3440.65,3023.91
7,3520,3409.57,3409.57,3659.39,3232.69
8,3800,3647.83,3647.83,3878.14,3441.47
9,4100,3886.09,3886.09,4096.89,3650.26
10,4280,4124.35,4124.35,4315.63,3859.04
11,4500,4362.61,4362.61,4534.38,4067.82
12,4780,4600.87,4600.87,4753.13,4276.6
1,5120,4839.13,4839.13,4971.87,4485.38
2,5400,5077.39,5077.39,5190.62,4694.17
3,5630,5315.65,5315.65,5409.37,4902.95
4,5940,5553.91,5553.91,5628.11,5111.73
5,6020,5792.17,5792.17,5846.86,5320.51
6,6210,6030.43,6030.43,6065.61,5529.29
7,6460,6268.7,6268.7,6284.35,5738.08
8,6630,6506.96,6506.96,6503.1,5946.86
9,6730,6745.22,6745.22,6721.85,6155.64
10,7000,6983.48,6983.48,6940.59,6364.42
11,7230,7221.74,7221.74,7159.34,6573.2
12,7460,7460,7460,7378.09,6781.99
1,7970,7968.68,7957.52,7936.5,7199.55
2,8220,8184.43,8173.99,8155.24,7408.33
3,8410,8400.19,8390.45,8373.99,7617.11
4,8630,8615.94,8606.92,8592.74,7825.9
5,8810,8831.7,8823.39,8811.48,8034.68
6,9010,9047.45,9039.85,9030.23,8243.46
7,9260,9263.21,9256.32,9248.98,8452.24
8,9540,9478.96,9472.79,9467.72,8661.03
9,9700,9694.71,9689.26,9686.47,8869.81
10,9830,9910.47,9905.72,9905.22,9078.59
11,10090,10126.2,10122.2,10124,9287.37
12,10370,10342,10338.7,10342.7,9496.15
1,10530,10557.7,10555.1,10561.5,9704.94
2,10760,10773.5,10771.6,10780.2,9913.72
3,11030,10989.2,10988.1,10999,10122.5
4,11280,11205,11204.5,11217.7,10331.3
5,11470,11420.8,11421,11436.4,10540.1
6,11690,11636.5,11637.5,11655.2,10748.8
7,11910,11852.3,11853.9,11873.9,10957.6
8,12130,12068,12070.4,12092.7,11166.4
9,12220,12283.8,12286.9,12311.4,11375.2
10,12430,12499.5,12503.3,12530.2,11584
11,12660,12715.3,12719.8,12748.9,11792.8
12,12900,12931,12936.3,12967.7,12001.5
1,13370,13372.4,13362.3,13350.8,12419.1
2,13590,13584,13574.6,13563.9,12627.9
3,13800,13795.6,13786.8,13777,12836.7
4,13990,14007.2,13999.1,13990.1,13045.4
5,14170,14218.8,14211.3,14203.2,13254.2
6,14380,14430.5,14423.6,14416.4,13463
7,14650,14642.1,14635.9,14629.5,13671.8
8,14890,14853.7,14848.1,14842.6,13880.6
9,15030,15065.3,15060.4,15055.7,14089.4
10,15230,15276.9,15272.6,15268.9,14298.1
11,15430,15488.5,15484.9,15482,14506.9
12,15710,15700.2,15697.2,15695.1,14715.7
1,15880,15911.8,15909.4,15908.2,14924.5
2,16100,16123.4,16121.7,16121.4,15133.3
3,16380,16335,16334,16334.5,15342.1
4,16590,16546.6,16546.2,16547.6,15550.8
5,16800,16758.3,16758.5,16760.7,15759.6
6,16980,16969.9,16970.7,16973.8,15968.4
7,17230,17181.5,17183,17187,16177.2
8,17430,17393.1,17395.3,17400.1,16386
9,17580,17604.7,17607.5,17613.2,16594.7
10,17790,17816.4,17819.8,17826.3,16803.5
11,18000,18028,18032,18039.5,17012.3
12,18240,18239.6,18244.3,18252.6,17221.1
1,18700,18693.6,18682.1,18661.9,17638.7
2,18920,18903.7,18892.9,18874.7,17847.4
3,19110,19113.8,19103.8,19087.6,18056.2
4,19310,19323.9,19314.6,19300.5,18265
5,19530,19534,19525.5,19513.4,18473.8
6,19700,19744.1,19736.3,19726.3,18682.6
7,19940,19954.3,19947.2,19939.2,18891.3
8,20200,20164.4,20158,20152,19100.1
9,20330,20374.5,20368.8,20364.9,19308.9
10,20520,20584.6,20579.7,20577.8,19517.7
11,20720,20794.7,20790.5,20790.7,19726.5
12,21020,21004.8,21001.4,21003.6,19935.3
1,21290,21214.9,21212.2,21216.4,20144
2,21530,21425,21423.1,21429.3,20352.8
3,21680,21635.1,21633.9,21642.2,20561.6
4,21880,21845.2,21844.8,21855.1,20770.4
5,22090,22055.3,22055.6,22068,20979.2
6,22280,22265.5,22266.4,22280.8,21187.9
7,22500,22475.6,22477.3,22493.7,21396.7
8,22740,22685.7,22688.1,22706.6,21605.5
9,22840,22895.8,22899,22919.5,21814.3
10,23020,23105.9,23109.8,23132.4,22023.1
11,23270,23316,23320.7,23345.3,22231.9
12,23520,23526.1,23531.5,23558.1,22440.6
1,24080,24005.5,23987.3,24008,22858.2
2,24280,24217.2,24199.1,24220.1,23067
3,24470,24428.9,24410.8,24432.3,23275.8
4,24670,24640.7,24622.6,24644.4,23484.5
5,24840,24852.4,24834.3,24856.5,23693.3
6,25060,25064.1,25046.1,25068.6,23902.1
7,25280,25275.9,25257.8,25280.8,24110.9
8,25500,25487.6,25469.6,25492.9,24319.7
9,25640,25699.3,25681.4,25705,24528.5
10,25820,25911,25893.1,25917.2,24737.2
11,26060,26122.8,26104.9,26129.3,24946
12,26260,26334.5,26316.6,26341.4,25154.8
1,26600,26546.2,26528.4,26553.6,25363.6
2,26830,26758,26740.1,26765.7,25572.4
3,27030,26969.7,26951.9,26977.8,25781.2
4,27260,27181.4,27163.6,27190,25989.9
5,27440,27393.2,27375.4,27402.1,26198.7
6,27630,27604.9,27587.1,27614.2,26407.5
