Bell No,Actual Time,Contest Model,HawkEar Model,RWP Model,Metronomic Model
1,1990,1990,1990,2291.08,1990
2,2280,2224.35,2224.35,2507.91,2197.68
3,2520,2458.7,2458.7,2724.73,2405.35
4,2740,2693.04,2693.04,2941.56,2613.03
5,2990,2927.39,2927.39,3158.39,2820.71
6,3240,3161.74,3161.74,3375.21,3028.38
7,3500,3396.09,3396.09,3592.04,3236.06
8,3750,3630.43,3630.43,3808.87,3443.74
9,4060,3864.78,3864.78,4025.69,3651.41
10,4270,4099.13,4099.13,4242.52,3859.09
11,4490,4333.48,4333.48,4459.34,4066.77
12,4770,4567.83,4567.83,4676.17,4274.44
1,4980,4802.17,4802.17,4893,4482.12
2,5240,5036.52,5036.52,5109.82,4689.8
3,5410,5270.87,5270.87,5326.65,4897.47
4,5620,5505.22,5505.22,5543.48,5105.15
5,5920,5739.57,5739.57,5760.3,5312.83
6,6060,5973.91,5973.91,5977.13,5520.5
7,6220,6208.26,6208.26,6193.95,5728.18
8,6480,6442.61,6442.61,6410.78,5935.86
9,6720,6676.96,6676.96,6627.61,6143.53
10,6950,6911.3,6911.3,6844.43,6351.21
11,7250,7145.65,7145.65,7061.26,6558.89
12,7380,7380,7380,7278.08,6766.56
1,7850,7823.07,7831.5,7777.75,7181.92
2,8100,8036.11,8044,7994.57,7389.59
3,8250,8249.14,8256.5,8211.4,7597.27
4,8460,8462.18,8469,8428.23,7804.95
5,8650,8675.22,8681.5,8645.05,8012.62
6,8880,8888.26,8894,8861.88,8220.3
7,9060,9101.3,9106.5,9078.71,8427.98
8,9210,9314.33,9319,9295.53,8635.65
9,9550,9527.37,9531.5,9512.36,8843.33
10,9740,9740.41,9744,9729.18,9051.01
11,9950,9953.45,9956.5,9946.01,9258.69
12,10230,10166.5,10169,10162.8,9466.36
1,10360,10379.5,10381.5,10379.7,9674.04
2,10610,10592.6,10594,10596.5,9881.72
3,10810,10805.6,10806.5,10813.3,10089.4
4,10990,11018.6,11019,11030.1,10297.1
5,11230,11231.7,11231.5,11247,10504.7
6,11420,11444.7,11444,11463.8,10712.4
7,11610,11657.8,11656.5,11680.6,10920.1
8,11820,11870.8,11869,11897.4,11127.8
9,12010,12083.8,12081.5,12114.3,11335.5
10,12300,12296.9,12294,12331.1,11543.1
11,12600,12509.9,12506.5,12547.9,11750.8
12,12820,12722.9,12719,12764.8,11958.5
1,13250,13202.5,13179,13152.1,12373.8
2,13530,13410.4,13388.4,13364.5,12581.5
3,13690,13618.3,13597.8,13577,12789.2
4,13880,13826.2,13807.2,13789.5,12996.9
5,14010,14034.1,14016.5,14001.9,13204.5
6,14210,14241.9,14225.9,14214.4,13412.2
7,14350,14449.8,14435.3,14426.9,13619.9
8,14670,14657.7,14644.7,14639.3,13827.6
