   1     1  1234567890ET                                                                                                                                                  
   2    13  1234567890ET                                                                                                                                                  =
   3    25  1234567890ET                                                                                                                                                  =
   4    37  1234567890ET                                                                                                                                                  =
   5    49  1234567890ET                                                                                                                                                  =
   6    61  1234567890ET                                                                                                                                                  =
   7    73  1234567890ET                                                                                                                                                  =
   8    85  1234567890ET                                                                                                                                                  =
   9    97  1234567890ET                                                                                                                                                  =
  10   109  1234567890ET                                                                                                                                                  =
  11   121  1234567890ET                                                                                                                                                  =
  12   133  1234567890ET                                                                                                                                                  =
  13   145  1234567890ET                                                                                                                                                  =
  14   157  1234567890ET                                                                                                                                                  =
  15   169  1234567890ET                                                                                                                                                  =
  16   181  1234567890ET                                                                                                                                                  =
  17   193  1234567890ET                                                                                                                                                  =
  18   205  1234567890ET                                                                                                                                                  =
  19   217  1234567890ET                                                                                                                                                  =
  20   229  1234567890ET                                                                                                                                                  =
  21   241  1234567890ET                                                                                                                                                  =
  22   253  1234567890ET                                                                                                                                                  =
  23   265  2143658709TE                                                                                                                                                  -
  24   277  124638507T9E                                                                                                                                                  3
  25   289  21648305T7E9                                                                                                                                                  -
  26   301  261438507T9E                                                                                                                                                  4
  27   313  62418305T7E9                                                                                                                                                  -
  28   325  6214803T5E79                                                                                                                                                  25
  29   337  264108T3E597                                                                                                                                                  -
  30   349  6240183T5E79                                                                                                                                                  36
  31   361  260481T3E597                                                                                                                                                  -
  32   373  206418TE3957                                                                                                                                                  47
  33   385  024681ET9375                                                                                                                                                  -
  34   397  20648E1T3957                                                                                                                                                  58
  35   409  0246E8T19375                                                                                                                                                  -
  36   421  042E681T9735                                                                                                                                                  69
  37   433  40E286T17953                                                                                                                                                  -
  38   445  042E68T71935                                                                                                                                                  70
  39   457  40E2867T9153                                                                                                                                                  -
  40   469  4E08276T1935                                                                                                                                                  8
  41   481  E48072T69153                                                                                                                                                  -
  42   493  4E08276T9513                                                                                                                                                  9
  43   505  E48072T65931                                                                                                                                                  -
  44   517  E8470T256913                                                                                                                                                  0
  45   529  8E74T0529631                                                                                                                                                  -
  46   541  E8470T256931                                                                                                                                                  E
  47   553  8E74T0529613                                                                                                                                                  -
  48   565  87ET45092631                                                                                                                                                  0
  49   577  78TE54906213                                                                                                                                                  -
  50   589  87ET45096123                                                                                                                                                  9
  51   601  78TE54901632                                                                                                                                                  -
  52   613  7T85E9406123                                                                                                                                                  8
  53   625  T7589E041632                                                                                                                                                  -
  54   637  7T85E9014623                                                                                                                                                  70
  55   649  T7589E106432                                                                                                                                                  -
  56   661  T5798E016342                                                                                                                                                  69
  57   673  5T97E8103624                                                                                                                                                  -
  58   685  T579E1806342                                                                                                                                                  58
  59   697  5T971E083624                                                                                                                                                  -
  60   709  59T7E1038264                                                                                                                                                  47
  61   721  957T1E302846                                                                                                                                                  -
  62   733  5971TE038264                                                                                                                                                  36
  63   745  9517ET302846                                                                                                                                                  -
  64   757  9571E3T20486                                                                                                                                                  25
  65   769  59173E2T4068                                                                                                                                                  -
  66   781  5197E3T20486                                                                                                                                                  4
  67   793  15793E2T4068                                                                                                                                                  -
  68   805  517392E4T608                                                                                                                                                  3
  69   817  1537294E6T80                                                                                                                                                  -
  70   829  157392E4T608                                                                                                                                                  2
  71   841  5137294E6T80                                                                                                                                                  -
  72   853  53127496E8T0                                                                                                                                                  1
  73   865  352147698E0T                                                                                                                                                  -
  74   877  32517496E8T0                                                                                                                                                  4
  75   889  231547698E0T                                                                                                                                                  -
  76   901  2134567890ET                                                                                                                                                  1
  77   913  1243658709TE                                                                                                                                                  -
  78   925  1234567890ET                                                                                                                                                  2
  79   937  1234567890ET                                                                                                                                                  =
  80   949  1234567890ET                                                                                                                                                  =
