Bell No,Actual Time,Contest Model,HawkEar Model,RWP Model,Metronomic Model
1,1990,1990,1990,2199.17,1990
2,2240,2218.26,2218.26,2410.98,2190.8
3,2480,2446.52,2446.52,2622.8,2391.6
4,2750,2674.78,2674.78,2834.61,2592.4
5,2900,2903.04,2903.04,3046.42,2793.21
6,3190,3131.3,3131.3,3258.23,2994.01
7,3360,3359.57,3359.57,3470.04,3194.81
8,3640,3587.83,3587.83,3681.85,3395.61
9,3900,3816.09,3816.09,3893.66,3596.41
10,4150,4044.35,4044.35,4105.47,3797.21
11,4270,4272.61,4272.61,4317.28,3998.02
12,4590,4500.87,4500.87,4529.09,4198.82
1,4830,4729.13,4729.13,4740.91,4399.62
2,5060,4957.39,4957.39,4952.72,4600.42
3,5270,5185.65,5185.65,5164.53,4801.22
4,5530,5413.91,5413.91,5376.34,5002.02
5,5730,5642.17,5642.17,5588.15,5202.83
6,5810,5870.43,5870.43,5799.96,5403.63
7,6000,6098.7,6098.7,6011.77,5604.43
8,6250,6326.96,6326.96,6223.58,5805.23
9,6450,6555.22,6555.22,6435.39,6006.03
10,6690,6783.48,6783.48,6647.2,6206.83
11,6920,7011.74,7011.74,6859.02,6407.64
12,7240,7240,7240,7070.83,6608.44
1,7610,7633.64,7654.7,7575.42,7010.04
2,7850,7840.76,7860.48,7787.23,7210.84
3,8000,8047.89,8066.26,7999.05,7411.64
4,8250,8255.01,8272.04,8210.86,7612.44
5,8410,8462.14,8477.82,8422.67,7813.25
6,8640,8669.26,8683.6,8634.48,8014.05
7,8870,8876.39,8889.38,8846.29,8214.85
8,9120,9083.51,9095.16,9058.1,8415.65
9,9330,9290.64,9300.94,9269.91,8616.45
10,9480,9497.76,9506.72,9481.72,8817.25
11,9610,9704.89,9712.5,9693.53,9018.06
12,9920,9912.01,9918.28,9905.34,9218.86
1,10140,10119.1,10124.1,10117.2,9419.66
2,10380,10326.3,10329.8,10329,9620.46
3,10530,10533.4,10535.6,10540.8,9821.26
4,10760,10740.5,10741.4,10752.6,10022.1
5,10910,10947.6,10947.2,10964.4,10222.9
6,11210,11154.8,11153,11176.2,10423.7
7,11370,11361.9,11358.7,11388,10624.5
8,11600,11569,11564.5,11599.8,10825.3
9,11750,11776.1,11770.3,11811.6,11026.1
10,11940,11983.3,11976.1,12023.5,11226.9
11,12190,12190.4,12181.9,12235.3,11427.7
12,12400,12397.5,12387.6,12447.1,11628.5
1,12920,12860.9,12839.6,12835,12030.1
2,13140,13065.4,13045.4,13042.1,12230.9
3,13290,13269.8,13251.2,13249.1,12431.7
4,13480,13474.3,13457.1,13456.2,12632.5
5,13630,13678.7,13662.9,13663.3,12833.3
6,13860,13883.2,13868.7,13870.3,13034.1
7,14070,14087.7,14074.5,14077.4,13234.9
8,14330,14292.1,14280.3,14284.5,13435.7
9,14450,14496.6,14486.2,14491.5,13636.5
10,14660,14701,14692,14698.6,13837.3
11,14850,14905.5,14897.8,14905.7,14038.1
12,15090,15110,15103.6,15112.7,14238.9
1,15340,15314.4,15309.4,15319.8,14439.7
2,15570,15518.9,15515.3,15526.8,14640.5
3,15810,15723.4,15721.1,15733.9,14841.3
4,15990,15927.8,15926.9,15941,15042.1
5,16170,16132.3,16132.7,16148,15242.9
6,16360,16336.7,16338.5,16355.1,15443.7
7,16520,16541.2,16544.4,16562.2,15644.5
8,16740,16745.7,16750.2,16769.2,15845.3
9,16870,16950.1,16956,16976.3,16046.1
10,17100,17154.6,17161.8,17183.4,16246.9
11,17340,17359.1,17367.6,17390.4,16447.7
12,17610,17563.5,17573.5,17597.5,16648.5
1,18060,18040.4,18017.3,17992.9,17050.1
2,18280,18241.6,18219.9,18198.3,17250.9
3,18450,18442.8,18422.5,18403.7,17451.7
4,18670,18643.9,18625.2,18609.2,17652.5
5,18810,18845.1,18827.8,18814.6,17853.3
6,19030,19046.2,19030.5,19020.1,18054.1
7,19210,19247.4,19233.1,19225.5,18254.9
8,19440,19448.6,19435.8,19430.9,18455.7
9,19610,19649.7,19638.4,19636.4,18656.5
10,19820,19850.9,19841,19841.8,18857.3
11,19950,20052.1,20043.7,20047.3,19058.1
12,20240,20253.2,20246.3,20252.7,19258.9
1,20520,20454.4,20449,20458.1,19459.7
2,20740,20655.6,20651.6,20663.6,19660.5
3,20960,20856.7,20854.3,20869,19861.3
4,21140,21057.9,21056.9,21074.5,20062.1
5,21310,21259,21259.6,21279.9,20262.9
6,21490,21460.2,21462.2,21485.3,20463.7
7,21630,21661.4,21664.8,21690.8,20664.5
8,21830,21862.5,21867.5,21896.2,20865.4
9,22010,22063.7,22070.1,22101.6,21066.2
10,22250,22264.9,22272.8,22307.1,21267
11,22430,22466,22475.4,22512.5,21467.8
12,22650,22667.2,22678.1,22718,21668.6
1,23180,23143.6,23115.7,23121.9,22070.2
2,23400,23346.7,23319.3,23326.9,22271
3,23550,23549.7,23522.8,23531.9,22471.8
4,23750,23752.8,23726.4,23736.8,22672.6
5,23890,23955.9,23929.9,23941.8,22873.4
6,24170,24159,24133.5,24146.8,23074.2
7,24340,24362,24337,24351.8,23275
8,24580,24565.1,24540.6,24556.8,23475.8
9,24760,24768.2,24744.1,24761.7,23676.6
10,24910,24971.3,24947.7,24966.7,23877.4
11,25110,25174.3,25151.2,25171.7,24078.2
12,25340,25377.4,25354.8,25376.7,24279
1,25580,25580.5,25558.4,25581.7,24479.8
2,25810,25783.6,25761.9,25786.6,24680.6
3,26010,25986.6,25965.5,25991.6,24881.4
4,26230,26189.7,26169,26196.6,25082.2
5,26420,26392.8,26372.6,26401.6,25283
6,26620,26595.9,26576.1,26606.6,25483.8
7,26780,26798.9,26779.7,26811.5,25684.6
8,27050,27002,26983.2,27016.5,25885.4
9,27180,27205.1,27186.8,27221.5,26086.2
10,27390,27408.2,27390.3,27426.5,26287
11,27610,27611.2,27593.9,27631.5,26487.8
12,27840,27814.3,27797.5,27836.4,26688.6
1,28270,28275.9,28229,28252,27090.2
2,28480,28477.8,28433.1,28455.7,27291
3,28680,28679.8,28637.3,28659.5,27491.8
4,28930,28881.7,28841.5,28863.3,27692.6
5,29020,29083.7,29045.7,29067.1,27893.4
6,29260,29285.6,29249.9,29270.9,28094.2
7,29460,29487.6,29454.1,29474.6,28295
8,29750,29689.5,29658.2,29678.4,28495.8
9,29880,29891.5,29862.4,29882.2,28696.6
10,30090,30093.5,30066.6,30086,28897.4
11,30230,30295.4,30270.8,30289.7,29098.2
12,30490,30497.4,30475,30493.5,29299
1,30680,30699.3,30679.2,30697.3,29499.8
2,30890,30901.3,30883.3,30901.1,29700.6
3,31080,31103.2,31087.5,31104.9,29901.4
4,31320,31305.2,31291.7,31308.6,30102.2
5,31550,31507.1,31495.9,31512.4,30303
6,31720,31709.1,31700.1,31716.2,30503.8
7,31890,31911.1,31904.3,31920,30704.6
8,32200,32113,32108.4,32123.8,30905.4
9,32280,32315,32312.6,32327.5,31106.2
10,32500,32516.9,32516.8,32531.3,31307
11,32700,32718.9,32721,32735.1,31507.8
12,32940,32920.8,32925.2,32938.9,31708.6
1,33340,33370.6,33321.7,33320.4,32110.2
2,33580,33570.1,33525.4,33523.8,32311
3,33750,33769.6,33729.2,33727.1,32511.8
4,33990,33969,33932.9,33930.5,32712.6
5,34110,34168.5,34136.6,34133.9,32913.4
6,34360,34368,34340.4,34337.3,33114.2
7,34560,34567.4,34544.1,34540.6,33315.1
8,34750,34766.9,34747.8,34744,33515.9
9,34900,34966.4,34951.6,34947.4,33716.7
10,35120,35165.8,35155.3,35150.7,33917.5
11,35300,35365.3,35359,35354.1,34118.3
12,35610,35564.8,35562.8,35557.5,34319.1
1,35790,35764.2,35766.5,35760.9,34519.9
2,36020,35963.7,35970.2,35964.2,34720.7
3,36210,36163.2,36174,36167.6,34921.5
4,36400,36362.6,36377.7,36371,35122.3
5,36640,36562.1,36581.4,36574.3,35323.1
6,36740,36761.6,36785.2,36777.7,35523.9
7,36960,36961,36988.9,36981.1,35724.7
8,37130,37160.5,37192.6,37184.4,35925.5
9,37300,37360,37396.4,37387.8,36126.3
10,37540,37559.4,37600.1,37591.2,36327.1
