Bell No,Actual Time,Contest Model,HawkEar Model,RWP Model,Metronomic Model
1,1990,1990,1990,2221.71,1990
2,2210,2220.43,2220.43,2434.9,2193.33
3,2440,2450.87,2450.87,2648.08,2396.66
4,2680,2681.3,2681.3,2861.27,2599.99
5,2940,2911.74,2911.74,3074.45,2803.32
6,3170,3142.17,3142.17,3287.63,3006.65
7,3420,3372.61,3372.61,3500.82,3209.98
8,3690,3603.04,3603.04,3714,3413.31
9,3970,3833.48,3833.48,3927.19,3616.64
10,4190,4063.91,4063.91,4140.37,3819.97
11,4420,4294.35,4294.35,4353.56,4023.29
12,4690,4524.78,4524.78,4566.74,4226.62
1,4870,4755.22,4755.22,4779.93,4429.95
2,5090,4985.65,4985.65,4993.11,4633.28
3,5290,5216.09,5216.09,5206.29,4836.61
4,5530,5446.52,5446.52,5419.48,5039.94
5,5680,5676.96,5676.96,5632.66,5243.27
6,5880,5907.39,5907.39,5845.85,5446.6
7,6120,6137.83,6137.83,6059.03,5649.93
8,6270,6368.26,6368.26,6272.22,5853.26
9,6550,6598.7,6598.7,6485.4,6056.59
10,6770,6829.13,6829.13,6698.59,6259.92
11,7010,7059.57,7059.57,6911.77,6463.25
12,7290,7290,7290,7124.95,6666.58
1,7700,7689.86,7710.31,7658.8,7073.24
2,7920,7900.71,7919.85,7871.98,7276.57
3,8120,8111.56,8129.39,8085.16,7479.9
4,8290,8322.41,8338.93,8298.35,7683.23
5,8510,8533.25,8548.48,8511.53,7886.55
6,8700,8744.1,8758.02,8724.72,8089.88
7,8890,8954.95,8967.56,8937.9,8293.21
8,9160,9165.8,9177.1,9151.09,8496.54
9,9370,9376.65,9386.65,9364.27,8699.87
10,9540,9587.49,9596.19,9577.46,8903.2
11,9790,9798.34,9805.73,9790.64,9106.53
12,10070,10009.2,10015.3,10003.8,9309.86
1,10220,10220,10224.8,10217,9513.19
2,10450,10430.9,10434.4,10430.2,9716.52
3,10650,10641.7,10643.9,10643.4,9919.85
4,10870,10852.6,10853.4,10856.6,10123.2
5,11080,11063.4,11063,11069.7,10326.5
6,11250,11274.3,11272.5,11282.9,10529.8
7,11460,11485.1,11482.1,11496.1,10733.2
8,11690,11696,11691.6,11709.3,10936.5
9,11870,11906.8,11901.2,11922.5,11139.8
10,12110,12117.7,12110.7,12135.7,11343.2
11,12360,12328.5,12320.2,12348.9,11546.5
12,12580,12539.4,12529.8,12562,11749.8
1,12990,12960.5,12956.4,12958.4,12156.5
2,13220,13168.5,13164.7,13166.7,12359.8
3,13400,13376.5,13373,13374.9,12563.1
4,13590,13584.5,13581.2,13583.2,12766.5
5,13770,13792.5,13789.5,13791.4,12969.8
6,13940,14000.5,13997.8,13999.7,13173.1
7,14150,14208.6,14206,14207.9,13376.5
8,14380,14416.6,14414.3,14416.2,13579.8
9,14560,14624.6,14622.6,14624.5,13783.1
10,14830,14832.6,14830.8,14832.7,13986.4
11,15060,15040.6,15039.1,15041,14189.8
12,15310,15248.6,15247.4,15249.2,14393.1
1,15490,15456.6,15455.6,15457.5,14596.4
2,15700,15664.6,15663.9,15665.7,14799.8
3,15920,15872.6,15872.2,15874,15003.1
4,16120,16080.6,16080.4,16082.2,15206.4
5,16320,16288.6,16288.7,16290.5,15409.7
6,16470,16496.7,16497,16498.7,15613.1
7,16670,16704.7,16705.3,16707,15816.4
8,16880,16912.7,16913.5,16915.2,16019.7
9,17090,17120.7,17121.8,17123.5,16223.1
10,17330,17328.7,17330.1,17331.7,16426.4
11,17520,17536.7,17538.3,17540,16629.7
12,17770,17744.7,17746.6,17748.2,16833.1
1,18210,18158,18159.6,18165.6,17239.7
2,18400,18365.5,18366.9,18372.3,17443
3,18570,18572.9,18574.3,18579.1,17646.4
4,18750,18780.4,18781.7,18785.8,17849.7
5,18960,18987.8,18989,18992.6,18053
6,19140,19195.3,19196.4,19199.4,18256.4
7,19360,19402.7,19403.7,19406.1,18459.7
8,19600,19610.2,19611.1,19612.9,18663
9,19800,19817.7,19818.4,19819.7,18866.3
10,20010,20025.1,20025.8,20026.4,19069.7
11,20220,20232.6,20233.1,20233.2,19273
12,20480,20440,20440.5,20440,19476.3
1,20700,20647.5,20647.9,20646.7,19679.7
2,20920,20854.9,20855.2,20853.5,19883
3,21090,21062.4,21062.6,21060.2,20086.3
4,21280,21269.9,21269.9,21267,20289.7
5,21480,21477.3,21477.3,21473.8,20493
6,21650,21684.8,21684.6,21680.5,20696.3
7,21850,21892.2,21892,21887.3,20899.6
8,22090,22099.7,22099.3,22094.1,21103
9,22290,22307.1,22306.7,22300.8,21306.3
10,22500,22514.6,22514.1,22507.6,21509.6
11,22740,22722,22721.4,22714.4,21713
12,22950,22929.5,22928.8,22921.1,21916.3
1,23380,23341.6,23335.1,23343.7,22322.9
2,23580,23547.7,23542.2,23549.6,22526.3
3,23770,23753.8,23749.3,23755.6,22729.6
4,23950,23959.9,23956.3,23961.5,22932.9
5,24150,24166,24163.4,24167.4,23136.3
6,24320,24372.1,24370.5,24373.3,23339.6
7,24530,24578.2,24577.6,24579.2,23542.9
8,24770,24784.3,24784.6,24785.1,23746.3
9,24980,24990.4,24991.7,24991,23949.6
10,25200,25196.5,25198.8,25196.9,24152.9
11,25420,25402.6,25405.9,25402.8,24356.2
12,25660,25608.7,25612.9,25608.7,24559.6
1,25880,25814.8,25820,25814.6,24762.9
2,26070,26021,26027.1,26020.5,24966.2
3,26250,26227.1,26234.2,26226.4,25169.6
4,26400,26433.2,26441.2,26432.3,25372.9
5,26600,26639.3,26648.3,26638.2,25576.2
6,26770,26845.4,26855.4,26844.2,25779.5
7,27010,27051.5,27062.5,27050.1,25982.9
8,27240,27257.6,27269.5,27256,26186.2
9,27450,27463.7,27476.6,27461.9,26389.5
10,27650,27669.8,27683.7,27667.8,26592.9
11,27920,27875.9,27890.8,27873.7,26796.2
12,28130,28082,28097.8,28079.6,26999.5
1,28560,28503,28494.3,28506.3,27406.2
2,28750,28707.6,28700.8,28710.9,27609.5
3,28930,28912.3,28907.2,28915.4,27812.8
4,29130,29116.9,29113.7,29120,28016.2
5,29320,29321.5,29320.2,29324.6,28219.5
6,29510,29526.1,29526.7,29529.1,28422.8
7,29690,29730.8,29733.1,29733.7,28626.2
8,29930,29935.4,29939.6,29938.2,28829.5
9,30120,30140,30146.1,30142.8,29032.8
10,30340,30344.6,30352.6,30347.4,29236.1
11,30550,30549.3,30559,30551.9,29439.5
12,30800,30753.9,30765.5,30756.5,29642.8
1,30980,30958.5,30972,30961,29846.1
2,31180,31163.2,31178.5,31165.6,30049.5
3,31370,31367.8,31384.9,31370.1,30252.8
4,31560,31572.4,31591.4,31574.7,30456.1
5,31800,31777,31797.9,31779.3,30659.5
6,31940,31981.7,32004.4,31983.8,30862.8
7,32140,32186.3,32210.8,32188.4,31066.1
8,32370,32390.9,32417.3,32392.9,31269.4
9,32570,32595.5,32623.8,32597.5,31472.8
10,32820,32800.2,32830.3,32802.1,31676.1
11,33020,33004.8,33036.7,33006.6,31879.4
12,33230,33209.4,33243.2,33211.2,32082.8
1,33660,33623,33620.5,33620.7,32489.4
2,33870,33826.3,33825.9,33824.1,32692.7
3,34070,34029.5,34031.3,34027.5,32896.1
4,34240,34232.7,34236.7,34230.9,33099.4
5,34420,34435.9,34442.1,34434.2,33302.7
6,34600,34639.1,34647.5,34637.6,33506.1
7,34800,34842.4,34852.8,34841,33709.4
8,35030,35045.6,35058.2,35044.4,33912.7
9,35220,35248.8,35263.6,35247.8,34116.1
10,35440,35452,35469,35451.1,34319.4
11,35630,35655.2,35674.4,35654.5,34522.7
12,35910,35858.4,35879.8,35857.9,34726
1,36060,36061.7,36085.2,36061.3,34929.4
2,36270,36264.9,36290.5,36264.7,35132.7
3,36470,36468.1,36495.9,36468,35336
4,36670,36671.3,36701.3,36671.4,35539.4
5,36850,36874.5,36906.7,36874.8,35742.7
6,37030,37077.8,37112.1,37078.2,35946
7,37250,37281,37317.5,37281.5,36149.4
8,37500,37484.2,37522.9,37484.9,36352.7
9,37700,37687.4,37728.3,37688.3,36556
10,37910,37890.6,37933.6,37891.7,36759.3
11,38100,38093.9,38139,38095.1,36962.7
12,38330,38297.1,38344.4,38298.4,37166
1,38730,38713.8,38720.4,38709.6,37572.7
2,38950,38916.8,38924.8,38912.9,37776
3,39140,39119.7,39129.1,39116.2,37979.3
4,39310,39322.6,39333.5,39319.5,38182.6
5,39500,39525.5,39537.8,39522.8,38386
6,39700,39728.5,39742.2,39726.1,38589.3
7,39910,39931.4,39946.5,39929.4,38792.6
8,40110,40134.3,40150.9,40132.7,38996
9,40340,40337.3,40355.2,40336,39199.3
10,40560,40540.2,40559.6,40539.3,39402.6
11,40740,40743.1,40764,40742.6,39606
12,41010,40946,40968.3,40945.9,39809.3
1,41130,41149,41172.7,41149.1,40012.6
2,41350,41351.9,41377,41352.4,40215.9
3,41590,41554.8,41581.4,41555.7,40419.3
4,41780,41757.7,41785.7,41759,40622.6
5,41950,41960.7,41990.1,41962.3,40825.9
6,42120,42163.6,42194.4,42165.6,41029.3
7,42320,42366.5,42398.8,42368.9,41232.6
8,42530,42569.5,42603.1,42572.2,41435.9
9,42740,42772.4,42807.5,42775.5,41639.2
10,43000,42975.3,43011.8,42978.8,41842.6
11,43190,43178.2,43216.2,43182.1,42045.9
12,43440,43381.2,43420.5,43385.4,42249.2
1,43880,43808.4,43811.5,43810.6,42655.9
2,44050,44011.3,44015.3,44013.5,42859.2
3,44250,44214.1,44219.1,44216.4,43062.6
4,44420,44417,44422.9,44419.3,43265.9
5,44630,44619.8,44626.6,44622.3,43469.2
6,44840,44822.6,44830.4,44825.2,43672.5
7,45000,45025.5,45034.2,45028.1,43875.9
8,45220,45228.3,45238,45231,44079.2
9,45410,45431.1,45441.8,45433.9,44282.5
10,45560,45634,45645.6,45636.9,44485.9
11,45800,45836.8,45849.4,45839.8,44689.2
12,46100,46039.7,46053.2,46042.7,44892.5
1,46230,46242.5,46257,46245.6,45095.8
2,46440,46445.3,46460.8,46448.5,45299.2
3,46640,46648.2,46664.5,46651.5,45502.5
4,46850,46851,46868.3,46854.4,45705.8
5,47050,47053.9,47072.1,47057.3,45909.2
6,47240,47256.7,47275.9,47260.2,46112.5
7,47460,47459.5,47479.7,47463.2,46315.8
8,47680,47662.4,47683.5,47666.1,46519.2
9,47860,47865.2,47887.3,47869,46722.5
10,48070,48068,48091.1,48071.9,46925.8
11,48290,48270.9,48294.9,48274.8,47129.1
12,48490,48473.7,48498.6,48477.8,47332.5
1,48920,48889.4,48888,48875.6,47739.1
2,49130,49091.6,49091.2,49078.9,47942.5
3,49280,49293.7,49294.5,49282.2,48145.8
4,49480,49495.9,49497.7,49485.5,48349.1
5,49700,49698.1,49700.9,49688.7,48552.4
6,49880,49900.2,49904.2,49892,48755.8
7,50070,50102.4,50107.4,50095.3,48959.1
8,50280,50304.5,50310.7,50298.6,49162.4
9,50500,50506.7,50513.9,50501.9,49365.8
10,50680,50708.9,50717.1,50705.1,49569.1
11,50920,50911,50920.4,50908.4,49772.4
12,51170,51113.2,51123.6,51111.7,49975.8
1,51330,51315.3,51326.9,51315,50179.1
2,51530,51517.5,51530.1,51518.3,50382.4
3,51720,51719.7,51733.3,51721.5,50585.7
4,51900,51921.8,51936.6,51924.8,50789.1
5,52110,52124,52139.8,52128.1,50992.4
6,52270,52326.1,52343.1,52331.4,51195.7
7,52520,52528.3,52546.3,52534.6,51399.1
8,52740,52730.5,52749.5,52737.9,51602.4
9,52910,52932.6,52952.8,52941.2,51805.7
10,53160,53134.8,53156,53144.5,52009
11,53350,53336.9,53359.2,53347.8,52212.4
12,53570,53539.1,53562.5,53551,52415.7
2,54030,53978.2,53979.6,53981.4,52822.4
1,54190,54182,54183.1,54185.5,53025.7
3,54380,54385.9,54386.6,54389.5,53229
5,54610,54589.8,54590.1,54593.5,53432.4
4,54850,54793.6,54793.6,54797.6,53635.7
7,55030,54997.5,54997.1,55001.6,53839
6,55190,55201.3,55200.7,55205.7,54042.3
9,55380,55405.2,55404.2,55409.7,54245.7
8,55650,55609.1,55607.7,55613.8,54449
11,55810,55812.9,55811.2,55817.8,54652.3
10,56000,56016.8,56014.7,56021.9,54855.7
12,56240,56220.6,56218.2,56225.9,55059
2,56460,56424.5,56421.7,56429.9,55262.3
3,56650,56628.4,56625.3,56634,55465.6
1,56810,56832.2,56828.8,56838,55669
4,57000,57036.1,57032.3,57042.1,55872.3
5,57200,57239.9,57235.8,57246.1,56075.6
6,57380,57443.8,57439.3,57450.2,56279
7,57620,57647.7,57642.8,57654.2,56482.3
8,57850,57851.5,57846.3,57858.2,56685.6
9,58050,58055.4,58049.9,58062.3,56889
10,58280,58259.3,58253.4,58266.3,57092.3
11,58500,58463.1,58456.9,58470.4,57295.6
12,58710,58667,58660.4,58674.4,57498.9
3,59120,59088,59081.2,59089.1,57905.6
2,59340,59292.2,59285.1,59293.1,58108.9
4,59530,59496.4,59489,59497.2,58312.3
1,59670,59700.6,59692.9,59701.2,58515.6
