Bell No,Actual Time,Contest Model,HawkEar Model,RWP Model,Metronomic Model
1,1990,1990,1990,2288.14,1990
2,2240,2224.35,2224.35,2501.7,2196.88
3,2520,2458.7,2458.7,2715.27,2403.75
4,2770,2693.04,2693.04,2928.84,2610.63
5,2990,2927.39,2927.39,3142.41,2817.51
6,3200,3161.74,3161.74,3355.98,3024.38
7,3430,3396.09,3396.09,3569.54,3231.26
8,3740,3630.43,3630.43,3783.11,3438.14
9,3990,3864.78,3864.78,3996.68,3645.01
10,4250,4099.13,4099.13,4210.25,3851.89
11,4410,4333.48,4333.48,4423.81,4058.76
12,4710,4567.83,4567.83,4637.38,4265.64
1,4920,4802.17,4802.17,4850.95,4472.52
2,5170,5036.52,5036.52,5064.52,4679.39
3,5440,5270.87,5270.87,5278.09,4886.27
4,5670,5505.22,5505.22,5491.65,5093.15
5,5860,5739.57,5739.57,5705.22,5300.02
6,6030,5973.91,5973.91,5918.79,5506.9
7,6260,6208.26,6208.26,6132.36,5713.78
8,6450,6442.61,6442.61,6345.93,5920.65
9,6620,6676.96,6676.96,6559.49,6127.53
10,6760,6911.3,6911.3,6773.06,6334.41
11,7060,7145.65,7145.65,6986.63,6541.28
12,7380,7380,7380,7200.2,6748.16
1,7760,7784.64,7806.07,7751.89,7161.91
2,7990,7995.74,8015.81,7965.45,7368.79
3,8190,8206.84,8225.54,8179.02,7575.66
4,8410,8417.95,8435.28,8392.59,7782.54
5,8610,8629.05,8645.01,8606.16,7989.42
6,8830,8840.15,8854.74,8819.73,8196.29
7,9050,9051.26,9064.48,9033.29,8403.17
8,9260,9262.36,9274.21,9246.86,8610.05
9,9460,9473.46,9483.95,9460.43,8816.92
10,9600,9684.56,9693.68,9674,9023.8
11,9850,9895.67,9903.42,9887.56,9230.68
12,10140,10106.8,10113.2,10101.1,9437.55
1,10330,10317.9,10322.9,10314.7,9644.43
2,10540,10529,10532.6,10528.3,9851.31
3,10760,10740.1,10742.4,10741.8,10058.2
4,10940,10951.2,10952.1,10955.4,10265.1
5,11200,11162.3,11161.8,11169,10471.9
6,11410,11373.4,11371.6,11382.5,10678.8
7,11630,11584.5,11581.3,11596.1,10885.7
8,11840,11795.6,11791,11809.7,11092.6
9,12010,12006.7,12000.8,12023.2,11299.4
10,12140,12217.8,12210.5,12236.8,11506.3
11,12380,12428.9,12420.2,12450.4,11713.2
12,12660,12640,12630,12663.9,11920.1
1,13100,13082.4,13070.3,13075.7,12333.8
2,13310,13290.1,13278.8,13284.2,12540.7
3,13520,13497.8,13487.3,13492.6,12747.6
4,13690,13705.5,13695.8,13701.1,12954.5
5,13910,13913.2,13904.3,13909.5,13161.3
6,14100,14121,14112.7,14118,13368.2
7,14360,14328.7,14321.2,14326.4,13575.1
8,14530,14536.4,14529.7,14534.9,13782
9,14700,14744.1,14738.2,14743.3,13988.8
10,14890,14951.8,14946.7,14951.8,14195.7
11,15090,15159.5,15155.2,15160.2,14402.6
12,15450,15367.2,15363.6,15368.7,14609.5
