Bell No,Actual Time,Contest Model,HawkEar Model,RWP Model,Metronomic Model
1,1980,1980,1980,2300.68,1980
2,2260,2223.91,2223.91,2523.37,2190.62
3,2540,2467.83,2467.83,2746.07,2401.24
4,2800,2711.74,2711.74,2968.76,2611.85
5,3000,2955.65,2955.65,3191.46,2822.47
6,3290,3199.57,3199.57,3414.15,3033.09
7,3500,3443.48,3443.48,3636.85,3243.71
8,3830,3687.39,3687.39,3859.54,3454.33
9,4130,3931.3,3931.3,4082.24,3664.94
10,4340,4175.22,4175.22,4304.93,3875.56
11,4660,4419.13,4419.13,4527.62,4086.18
12,4980,4663.04,4663.04,4750.32,4296.8
1,4620,4906.96,4906.96,4973.01,4507.42
2,5280,5150.87,5150.87,5195.71,4718.03
3,5440,5394.78,5394.78,5418.4,4928.65
4,5720,5638.7,5638.7,5641.1,5139.27
5,5960,5882.61,5882.61,5863.79,5349.89
6,6190,6126.52,6126.52,6086.49,5560.51
7,6390,6370.43,6370.43,6309.18,5771.12
8,6690,6614.35,6614.35,6531.88,5981.74
9,6960,6858.26,6858.26,6754.57,6192.36
10,7170,7102.17,7102.17,6977.27,6402.98
11,7360,7346.09,7346.09,7199.96,6613.6
12,7590,7590,7590,7422.65,6824.21
1,7900,8003.09,8028.16,7990.26,7245.45
2,8210,8225.11,8248.58,8212.96,7456.07
3,8400,8447.14,8469.01,8435.65,7666.69
4,8650,8669.17,8689.43,8658.35,7877.3
5,8820,8891.19,8909.86,8881.04,8087.92
6,9060,9113.22,9130.29,9103.73,8298.54
7,9270,9335.24,9350.71,9326.43,8509.16
8,9570,9557.27,9571.14,9549.12,8719.78
9,9790,9779.3,9791.56,9771.82,8930.39
10,9980,10001.3,10012,9994.51,9141.01
11,10200,10223.4,10232.4,10217.2,9351.63
12,10470,10445.4,10452.8,10439.9,9562.25
1,10810,10667.4,10673.3,10662.6,9772.87
2,11020,10889.4,10893.7,10885.3,9983.48
3,11190,11111.5,11114.1,11108,10194.1
4,11440,11333.5,11334.5,11330.7,10404.7
5,11650,11555.5,11555,11553.4,10615.3
6,11800,11777.5,11775.4,11776.1,10826
7,11990,11999.6,11995.8,11998.8,11036.6
8,12210,12221.6,12216.2,12221.5,11247.2
9,12360,12443.6,12436.7,12444.2,11457.8
10,12580,12665.6,12657.1,12666.8,11668.4
11,12840,12887.7,12877.5,12889.5,11879
12,13020,13109.7,13098,13112.2,12089.7
1,13470,13533.4,13535.6,13491.1,12510.9
2,13780,13745.3,13747.3,13706.7,12721.5
3,14000,13957.2,13959.1,13922.2,12932.1
4,14220,14169.1,14170.8,14137.8,13142.8
5,14360,14381,14382.6,14353.4,13353.4
6,14570,14592.9,14594.3,14568.9,13564
7,14790,14804.8,14806.1,14784.5,13774.6
8,15070,15016.6,15017.8,15000,13985.2
9,15210,15228.5,15229.6,15215.6,14195.8
10,15380,15440.4,15441.3,15431.1,14406.5
11,15640,15652.3,15653.1,15646.7,14617.1
12,15840,15864.2,15864.8,15862.2,14827.7
1,16020,16076.1,16076.6,16077.8,15038.3
2,16330,16288,16288.4,16293.3,15248.9
3,16520,16499.9,16500.1,16508.9,15459.6
4,16790,16711.8,16711.9,16724.4,15670.2
5,16930,16923.7,16923.6,16940,15880.8
6,17120,17135.6,17135.4,17155.5,16091.4
7,17300,17347.5,17347.1,17371.1,16302
