   1     1  1234567890ET                                                                                                                                                  
   2    13  1234567890ET                                                                                                                                                  =
   3    25  1234567890ET                                                                                                                                                  =
   4    37  1234567890ET                                                                                                                                                  =
   5    49  1234567890ET                                                                                                                                                  =
   6    61  1234567890ET                                                                                                                                                  =
   7    73  1234567890ET                                                                                                                                                  =
   8    85  1234567890ET                                                                                                                                                  =
   9    97  1234567890ET                                                                                                                                                  =
  10   109  1234567890ET                                                                                                                                                  =
  11   121  1234567890ET                                                                                                                                                  =
  12   133  1234567890ET                                                                                                                                                  =
  13   145  1234567890ET                                                                                                                                                  =
  14   157  1234567890ET                                                                                                                                                  =
  15   169  1234567890ET                                                                                                                                                  =
  16   181  1234567890ET                                                                                                                                                  =
  17   193  1234567890ET                                                                                                                                                  =
  18   205  1234567890ET                                                                                                                                                  =
  19   217  213547698E0T                                                                                                                                                  3
  20   229  2314567890ET                                                                                                                                                  1
  21   241  3241658709ET                                                                                                                                                  E
  22   253  342168507E9T                                                                                                                                                  45
  23   265  43628105E79T                                                                                                                                                  ?
  24   277  4638201E597T                                                                                                                                                  1
  25   289  648302E1957T                                                                                                                                                  E
  26   301  68403E29175T                                                                                                                                                  1
  27   313  8604E392715T                                                                                                                                                  E
  28   325  806E4937251T                                                                                                                                                  1
  29   337  08E69473521T                                                                                                                                                  E
  30   349  0E896745312T                                                                                                                                                  1
  31   361  E0987654132T                                                                                                                                                  E
  32   373  E9078561423T                                                                                                                                                  1
  33   385  9E705816243T                                                                                                                                                  E
  34   397  97E50182634T                                                                                                                                                  1
  35   409  795E1028364T                                                                                                                                                  E
  36   421  7591E203846T                                                                                                                                                  1
  37   433  57192E30486T                                                                                                                                                  E
  38   445  517293E4068T                                                                                                                                                  1
  39   457  15792E30486T                                                                                                                                                  3
  40   469  175293E4068T                                                                                                                                                  1
  41   481  71592E30486T                                                                                                                                                  3
  42   493  751923E4068T                                                                                                                                                  45
  43   505  5721934E608T                                                                                                                                                  ?
  44   517  52731496E80T                                                                                                                                                  ?
  45   529  253741698E0T                                                                                                                                                  E
  46   541  2354761890ET                                                                                                                                                  1
  47   553  3245678109ET                                                                                                                                                  E
  48   565  342658701E9T                                                                                                                                                  1
  49   577  43628507E19T                                                                                                                                                  E
  50   589  4638205E791T                                                                                                                                                  1
  51   601  648302E5971T                                                                                                                                                  E
  52   613  68403E29517T                                                                                                                                                  1
  53   625  8604E392157T                                                                                                                                                  E
  54   637  806E4931275T                                                                                                                                                  1
  55   649  08E69413725T                                                                                                                                                  E
  56   661  0E896147352T                                                                                                                                                  1
  57   673  E0981674532T                                                                                                                                                  E
  58   685  E9018765423T                                                                                                                                                  1
  59   697  9E107856243T                                                                                                                                                  E
  60   709  91E70582634T                                                                                                                                                  1
  61   721  19E07856243T                                                                                                                                                  3
  62   733  1E970582634T                                                                                                                                                  1
  63   745  E1907856243T                                                                                                                                                  3
  64   757  E9170582634T                                                                                                                                                  1
  65   769  9E715028364T                                                                                                                                                  E
  66   781  97E51203846T                                                                                                                                                  1
  67   793  795E2103486T                                                                                                                                                  78E
  68   805  7592E314068T                                                                                                                                                  ?
  69   817  57293E41608T                                                                                                                                                  E
  70   829  527394E6180T                                                                                                                                                  1
  71   841  2537496E810T                                                                                                                                                  E
  72   853  23547698E01T                                                                                                                                                  1
  73   865  324567890E1T                                                                                                                                                  E
  74   877  3426587091ET                                                                                                                                                  1
  75   889  4362850719ET                                                                                                                                                  E
  76   901  463820517E9T                                                                                                                                                  1
  77   913  64830215E79T                                                                                                                                                  E
  78   925  6840312E597T                                                                                                                                                  1
  79   937  860413E2957T                                                                                                                                                  E
  80   949  80614E3927T5                                                                                                                                                  ?
  81   961  0816E493725T                                                                                                                                                  -
  82   973  018E6947352T                                                                                                                                                  1
  83   985  1086E493725T                                                                                                                                                  3
  84   997  180E6947352T                                                                                                                                                  1
  85  1009  8106E493725T                                                                                                                                                  3
  86  1021  801E6947352T                                                                                                                                                  1
  87  1033  08E19674532T                                                                                                                                                  E
  88  1045  0E981765423T                                                                                                                                                  ?
  89  1057  E0987156243T                                                                                                                                                  34E
  90  1069  E9078512634T                                                                                                                                                  1
  91  1081  9E705821364T                                                                                                                                                  E
  92  1093  97E50283146T                                                                                                                                                  1
  93  1105  795E2038416T                                                                                                                                                  E
  94  1117  7592E304861T                                                                                                                                                  1
  95  1129  57293E40681T                                                                                                                                                  E
  96  1141  527394E6018T                                                                                                                                                  1
  97  1153  2537496E108T                                                                                                                                                  E
  98  1165  23547691E80T                                                                                                                                                  1
  99  1177  324567198E0T                                                                                                                                                  E
 100  1189  3426517890ET                                                                                                                                                  1
 101  1201  4362158709ET                                                                                                                                                  E
 102  1213  463128507E9T                                                                                                                                                  1
 103  1225  64138205E79T                                                                                                                                                  E
 104  1237  6148302E597T                                                                                                                                                  1
 105  1249  16438205E79T                                                                                                                                                  3
 106  1261  1468302E597T                                                                                                                                                  1
 107  1273  41638205E79T                                                                                                                                                  3
 108  1285  4618302E597T                                                                                                                                                  1
 109  1297  648103E2957T                                                                                                                                                  E
 110  1309  68401E39275T                                                                                                                                                  1
 111  1321  8604E193725T                                                                                                                                                  E
 112  1333  806E4917352T                                                                                                                                                  1
 113  1345  08E69471532T                                                                                                                                                  E
 114  1357  0E896745123T                                                                                                                                                  1
 115  1369  E0987654213T                                                                                                                                                  E
 116  1381  E9078562431T                                                                                                                                                  1
 117  1393  9E705826341T                                                                                                                                                  E
 118  1405  97E50283614T                                                                                                                                                  1
 119  1417  795E2038164T                                                                                                                                                  E
 120  1429  7592E301846T                                                                                                                                                  1
 121  1441  57293E10486T                                                                                                                                                  E
 122  1453  527391E4068T                                                                                                                                                  1
 123  1465  2537194E608T                                                                                                                                                  E
 124  1477  23517496E80T                                                                                                                                                  1
 125  1489  321547698E0T                                                                                                                                                  E
 126  1501  3124567890ET                                                                                                                                                  1
 127  1513  132547698E0T                                                                                                                                                  3
 128  1525  1234567890ET                                                                                                                                                  1
 129  1537  1234567890ET                                                                                                                                                  =
 130  1549  1234567890ET                                                                                                                                                  =
 131  1561  1234567890ET                                                                                                                                                  =
 132  1573  1234567890ET                                                                                                                                                  =
